ProteinAccessions,gene,PG.ProteinDescriptions,PG.Organisms,iBAQ_mean_male,iBAQ_mean_female,iBAQ_mean_all_1_10
A0A140LHV9,Smim27,Small integral membrane protein 27,Mus musculus,23652.18,33923.1004,28787.6402
A1L317,Krt24,"Keratin, type I cytoskeletal 24",Mus musculus,80650.1796,57895.239,69272.7093
A2A5R2,Arfgef2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,Mus musculus,170.225,56.333333333333336,121.41428571428571
A2A8L5,Ptprf,Receptor-type tyrosine-protein phosphatase F,Mus musculus,2918.08,5323.4,4120.74
A2ADY9,Ddi2,Protein DDI1 homolog 2,Mus musculus,2038.6,NA,2038.6
A2AEP0,Obp1b,Odorant-binding protein 1b,Mus musculus,32017340.8,26716901.2,29367121
A2AGH6,Med12,Mediator of RNA polymerase II transcription subunit 12,Mus musculus,371.2,385.46000000000004,378.33
A2AGL3,Ryr3,Ryanodine receptor 3,Mus musculus,NA,36.6,36.6
A2AQ07,Tubb1,Tubulin beta-1 chain,Mus musculus,9138.5,NA,9138.5
A2AQP0,Myh7b,Myosin-7B,Mus musculus,437.5,462.29999999999995,449.9
A2ASQ1,Agrn,Agrin,Mus musculus,246.92,355.3,301.11
A2ASS6,Ttn,Titin,Mus musculus,195.86,112.28,154.07
A2BGH0,Bpifb4,BPI fold-containing family B member 4,Mus musculus,34914.6586,150161.72175000003,86135.57555555557
A3KMP2,Ttc38,Tetratricopeptide repeat protein 38,Mus musculus,1929.525,537.96,1156.4333333333334
A6H8H2,Dennd4c,DENN domain-containing protein 4C,Mus musculus,1083.1,355.15999999999997,678.6888888888889
A6X935,Itih4,"Inter alpha-trypsin inhibitor, heavy chain 4",Mus musculus,67798.6624,17461.1002,42629.881299999994
B1AQ75,Krt36,"Keratin, type I cuticular Ha6",Mus musculus,17338.7994,37512.3598,27425.5796
B2RQC6,Cad,Multifunctional protein CAD,Mus musculus,193.2,187.92,189.9
B2RX12,Abcc3,ATP-binding cassette sub-family C member 3,Mus musculus,2681.16,14136.08,8408.62
C0HKE1;C0HKE2;C0HKE3;C0HKE4;C0HKE5;C0HKE6;C0HKE7;C0HKE8;C0HKE9;Q8BFU2;Q8CGP5;Q8CGP6;Q8CGP7;Q8R1M2,H2ac4;H2ac6;H2ac7;H2ac8;H2ac11;H2ac13;Hist1h2an;Hist1h2ao;Hist1h2ap;H2ac25;Hist1h2af;H2ac12;H2ac15;H2aj,Histone H2A type 1-B;Histone H2A type 1-C;Histone H2A type 1-D;Histone H2A type 1-E;Histone H2A type 1-G;Histone H2A type 1-I;Histone H2A type 1-N;Histone H2A type 1-O;Histone H2A type 1-P;Histone H2A type 3;Histone H2A type 1-F;Histone H2A type 1-H;Histone H2A type 1-K;Histone H2A.J,Mus musculus,2863264.375,3168291.3,3015777.8375
C0HKG5;C0HKG6,Rnaset2a;Rnaset2b,Ribonuclease T2-A;Ribonuclease T2-B,Mus musculus,113399.1412,194547.661,153973.4011
D3YZF7,Vsig10l,V-set and immunoglobulin domain-containing protein 10-like,Mus musculus,150.26666666666665,88.5,114.97142857142858
D3Z690,Izumo4,Izumo sperm-egg fusion protein 4,Mus musculus,3666.16,3530.76,3598.46
D3Z6Q9,Bin2,Bridging integrator 2,Mus musculus,859.3,985.76,922.53
E9PV24,Fga,Fibrinogen alpha chain,Mus musculus,104279.2816,51400.9388,77840.1102
E9Q3E1,Aldh3b2,Aldehyde dehydrogenase family 3 member B2,Mus musculus,7807.82,8610.960000000001,8209.39
E9Q414,Apob,Apolipoprotein B-100,Mus musculus,4203.25,NA,4203.25
E9Q557,Dsp,Desmoplakin,Mus musculus,42305.918600000005,37842.8996,40074.409100000004
E9Q912,Rap1gds1,Rap1 GTPase-GDP dissociation stimulator 1,Mus musculus,9111.5,382.05,2127.9399999999996
G3X8U3,QNG1,Queuosine 5'-phosphate N-glycosylase/hydrolase,Mus musculus,1692.4250000000002,882.68,1242.5666666666666
G3X982,Aox3,Aldehyde oxidase 3,Mus musculus,1076.5500000000002,NA,1076.5500000000002
G3X9C2,Nccrp1,F-box only protein 50,Mus musculus,6996.7,10308.98,8652.84
G3XA57;Q9D620,Rab11fip2;Rab11fip1,Rab11 family-interacting protein 2;Rab11 family-interacting protein 1,Mus musculus,148.03333333333333,381.82,294.15
O08529,Capn2,Calpain-2 catalytic subunit,Mus musculus,1284.225,322.2,803.2125
O08539,Bin1,Myc box-dependent-interacting protein 1,Mus musculus,221.1,NA,221.1
