Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,"p value, -log10",Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
Female / Male,P02088,P02088,-5.555846585,5.555846585,0.000985526,3.01,0.005497051,20,P02088,Hbb-b1,Hemoglobin subunit beta-1,HBB1_MOUSE,24,-97.8741945,0.021258055,Female,Male,NaN,NaN,NaN
Female / Male,P04443;P04444,P04443;P04444,-4.856797413,4.856797413,0.006371702,2.2,0.018539729,20,P04443;P04444,Hbb-bh0;Hbb-bh1,Hemoglobin subunit beta-H0;Hemoglobin subunit beta-H1,HBB0_MOUSE;HBBZ_MOUSE,1,-96.54889402,0.03451106,Female,Male,NaN,NaN,NaN
Female / Male,P01942,P01942,-4.821882635,4.821882635,0.001294422,2.89,0.006642426,20,P01942,Hba,Hemoglobin subunit alpha,HBA_MOUSE,17,-96.46435469,0.035356453,Female,Male,NaN,NaN,NaN
Female / Male,P02089,P02089,-4.580062355,4.580062355,0.003020844,2.52,0.011781292,20,P02089,Hbb-b2,Hemoglobin subunit beta-2,HBB2_MOUSE,11,-95.8191571,0.041808429,Female,Male,NaN,NaN,NaN
Female / Male,P01648,P01648,-4.405489217,4.405489217,0.002627163,2.58,0.010842261,20,P01648,NaN,Ig kappa chain V-V region HP 91A3,KV5AF_MOUSE,1,-95.28137353,0.047186265,Female,Male,NaN,NaN,NaN
Female / Male,P01753;P01754;P06328,P01753;P01754;P06328,-4.378132686,4.378132686,0.041981585,1.38,0.047526323,20,P01753;P01754;P06328,Ighv1-62-3;Ighv1-72,Ig heavy chain V region 186-1;Ig heavy chain V region 1-62-3;Ig heavy chain V region 1-72,HVM09_MOUSE;HVM10_MOUSE;HVM49_MOUSE,1,-95.19104474,0.048089553,Female,Male,NaN,NaN,NaN
Female / Male,P00920,P00920,-4.266816601,4.266816601,0.002064485,2.69,0.009254589,20,P00920,Ca2,Carbonic anhydrase 2,CAH2_MOUSE,13,-94.80530304,0.05194697,Female,Male,NaN,NaN,NaN
Female / Male,Q9Z126,Q9Z126,-4.003266485,4.003266485,0.012046359,1.92,0.025258495,20,Q9Z126,Pf4,Platelet factor 4,PLF4_MOUSE,1,-93.76413496,0.06235865,Female,Male,NaN,NaN,NaN
Female / Male,Q07456,Q07456,-3.958724036,3.958724036,0.020413984,1.69,0.033734973,20,Q07456,Ambp,Protein AMBP,AMBP_MOUSE,4,-93.56860297,0.06431397,Female,Male,NaN,NaN,NaN
Female / Male,Q9R0Y5,Q9R0Y5,-3.897938557,3.897938557,0.004710386,2.33,0.015601562,20,Q9R0Y5,Ak1,Adenylate kinase isoenzyme 1,KAD1_MOUSE,2,-93.29183752,0.067081625,Female,Male,NaN,NaN,NaN
