Geneid,mouse_gene,ortholog_type,adult_PAR_01,adult_PAR_02,adult_PAR_03,adult_PAR_04,adult_SL_01,adult_SL_02,adult_SL_03,adult_SM_01,adult_SM_02,adult_SM_03,adult_SM_04,adult_SM_05,adult_SM_06,Secretome location,Secretome function,Level,Reliability,Cell type
A1BG,A1bg,one-to-one,0.389775255258373,0.707896376469474,0.649920198578337,0.70364422647015,1.49589492160702,1.53298491784002,0.902369970257735,0.416606203475153,0.889715290754687,0.675046892603955,0.577263354340578,1.15007258827129,0.946612273823571,Secreted to blood,No annotated function,Not detected,Supported,glandular cells
A1BG-AS1,NA,human-specific,0.325727678103241,0.0991758717986645,0.121404590532556,0.648720974263166,0.362314391850676,0.801459892291558,0.307023665936787,0.413427869763194,0.35317102269159,0.306238576899608,0.396356739374157,0.232409888644768,0.601209898604942,NA,NA,NA,NA,NA
A1CF,A1cf,one-to-one,0.102449102004416,0.289650869117711,0.0545494732273695,0.145741554179996,0.253236652603151,0.346774241153703,0.120707806642693,0.111456769867601,0.121659799610878,0.0412797069167491,0.111306805039942,0.149180485124642,0.14857449556285,NA,NA,Not detected,Enhanced,glandular cells
A2M,A2m,one-to-one,56.4844816913593,45.0233321224237,40.5663368837673,57.8540442597247,243.083645270814,89.2670583182727,46.6696016011631,66.5861783007198,36.1201459040887,61.8346138507424,73.6460674086489,67.4736473864264,72.684060299314993,Secreted to blood,Enzyme inhibitor,Not detected,Supported,glandular cells
A2M-AS1,NA,human-specific,0.814460815987713,2.3879825131348,0.843234058155474,1.90244477017611,2.34874242717112,1.0171184236956201,0.758214966313456,2.98638722967205,1.17744147913005,1.72998166506809,3.32648855857903,0.614947904115969,1.00219076141363,NA,NA,NA,NA,NA
A2ML1,NA,human-specific,0.172637576465433,0.298892154615706,0.217637986321353,0.685404600784,0.564790438116173,0.546011496358531,1.15661908695083,0.32653055990079,0.139469470026626,0.525114889985203,0.231696388740565,0.134564858994932,0.290529051557994,Secreted in other tissues,Enzyme inhibitor,Not detected,Enhanced,glandular cells
A2ML1-AS1,NA,human-specific,0.169426118280807,0,0.078935219119153,0,0.104698094511184,0.540395558905039,0,0.215043067788914,0.122467118979746,0.23893339516343,0.257704473402611,0,0,NA,NA,NA,NA,NA
A2MP1,NA,human-specific,0.577685224279686,1.28986437759795,0.26914215011901,2.17320626127017,1.92771770518386,0.842315142606356,0.544513245999464,1.46644689857719,0.37581396086582203,0.868993397230527,3.47080290042097,1.0010184450847,0.69306836354583,NA,NA,NA,NA,NA
A3GALT2,A3galt2,one-to-one,0.610381191518977,0.137663477961001,0.505555772892171,0.150078817766976,0.502919292695953,0,0,0.344321158395153,0,0.063762284339801,0.1547360437806,0.207387123088963,0.312946501473247,NA,NA,NA,NA,NA
A4GALT,A4galt,one-to-one,1.6263477598685,0.924339583383708,1.34872645494941,2.46527149424043,10.2310359486573,8.31456711201361,3.47470759292735,3.81194838941994,4.76110302742461,6.42196509363312,4.41563566847607,4.12776212713567,10.2512206796939,NA,NA,NA,NA,NA
A4GNT,A4gnt,one-to-one,0.134197283241761,0,0,0.296964469198484,0.0829281812424177,0.0611472731062762,0.0527047395587811,0,0.0485012429615144,0,0,0,0.0619234566744935,Intracellular and membrane,Enzyme,Not detected,Enhanced,glandular cells
AA06,NA,human-specific,0,0,0,0.121464106468051,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
