Geneid,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Annotation,Tissue specificity,Subcellular location [CC],Gene Ontology (GO),Function [CC],Catalytic activity,DNA binding,Gene Ontology (molecular function),Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology IDs,.secreted_match_cols,secreted,Reference,Function
Scgb1b26-ps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual_annotation,doi: 10.1021/bi00395a026 / https://doi.org/10.3389/fimmu.2021.729040,immunity
Scgb2b1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual_annotation,doi: 10.1021/bi00395a026 / https://doi.org/10.3389/fimmu.2021.729040,immunity
Scgb2b10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual_annotation,doi: 10.1021/bi00395a026 / https://doi.org/10.3389/fimmu.2021.729040,immunity
Scgb2b13-ps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual_annotation,doi: 10.1021/bi00395a026 / https://doi.org/10.3389/fimmu.2021.729040,immunity
Scgb2b15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual_annotation,doi: 10.1021/bi00395a026 / https://doi.org/10.3389/fimmu.2021.729040,immunity
Scgb2b17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual_annotation,doi: 10.1021/bi00395a026 / https://doi.org/10.3389/fimmu.2021.729040,immunity
Scgb2b23-ps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual_annotation,doi: 10.1021/bi00395a026 / https://doi.org/10.3389/fimmu.2021.729040,immunity
Scgb2b30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual_annotation,doi: 10.1021/bi00395a026 / https://doi.org/10.3389/fimmu.2021.729040,immunity
Scgb2b33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual_annotation,doi: 10.1021/bi00395a026 / https://doi.org/10.3389/fimmu.2021.729040,immunity
Scgb2b4-ps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual_annotation,doi: 10.1021/bi00395a026 / https://doi.org/10.3389/fimmu.2021.729040,immunity
