size,observed_n_clusters,null_mean,null_sd,p_empirical,p_adj_fdr
1,1044,1194.657,22.083501353545184,1,1
2,175,150.465,10.360507473821691,0.013986013986013986,0.06526806526806528
3,43,27.452,4.838916315778887,9.99000999000999e-4,0.006993006993006993
4,11,6.133,2.3475139662676816,0.04295704295704296,0.15034965034965037
5,4,1.632,1.2861688187132474,0.08691308691308691,0.24335664335664334
6,1,0.458,0.6485804935832226,0.37662337662337664,0.8787878787878789
7,0,0.137,0.36105589783489395,1,1
8,0,0.051,0.22010780869257557,1,1
9,0,0.018,0.14034135418933258,1,1
10,0,0.004,0.06315051850925682,1,1
11,0,0.001,0.03162277660168379,1,1
12,0,0.002,0.04469897088298564,1,1
13,0,0.001,0.03162277660168379,1,1
22,1,0,0,9.99000999000999e-4,0.006993006993006993
