"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031638","zymogen activation","19/1262","56/16937",0.339285714285714,4.55347237944306,7.55751813297412,9.68465238939834e-09,4.87428554758419e-05,4.47532884099566e-05,"Thbs1/Prss12/Serpine1/Hpn/Klk1b8/Klk1b1/Klk1b9/Klk1b11/Klk1b21/Klk1b26/Klk1b27/Klk1b22/Klk1b16/Klk1b24/Klk1b3/Klk1b4/Klk1b5/Klk1/Cuzd1",19
"GO:0003073","regulation of systemic arterial blood pressure","27/1262","114/16937",0.236842105263158,3.17860121778297,6.62231401977855,5.36629312487555e-08,0.000135042766487493,0.000123989614832651,"Ren1/Adra1d/Postn/Kcnk3/Tac1/Klk1b8/Klk1b1/Klk1b9/Klk1b11/Klk1b21/Klk1b26/Klk1b27/Klk1b22/Klk1b16/Klk1b24/Klk1b3/Klk1b4/Klk1b5/Klk1/Agt/Tpm1/F2r/Adra1a/Tnf/Ier3/Adrb2/G6pdx",27
"GO:0008015","blood circulation","69/1262","489/16937",0.141104294478528,1.8937269695585,5.69028566819841,1.89077420312804e-07,0.000317208885478114,0.000291245570236214,"Ren1/Tnnt2/Tgfb2/Adra1d/Slc23a2/Postn/S100a1/Casq2/Camk2d/Ank2/Tacr3/Cnr1/Htr1d/Sema3a/Kcnk3/Slit2/Nos1/Tac1/Cftr/Mgll/Grip2/Hrh1/Alox5/Cacna1c/Scn1b/Klk1b8/Klk1b1/Klk1b9/Klk1b11/Klk1b21/Klk1b26/Klk1b27/Klk1b22/Klk1b16/Klk1b24/Klk1b3/Klk1b4/Klk1b5/Klk1/Kcne3/Pde2a/Scnn1b/Comp/Tmem38a/Agt/Scn4b/Tpm1/Gclc/Ccn2/Kcnip1/Kcnmb1/Scpep1/Kcnj2/Esr2/F2r/Adra1a/Npr3/Popdc2/App/Tnf/Ier3/Vegfa/Adcyap1/Adrb2/Acta2/Adra2a/G6pdx/Cysltr1/Uty",69
"GO:0008217","regulation of blood pressure","36/1262","194/16937",0.185567010309278,2.49045043867532,5.92424609229255,2.91891407123831e-07,0.00036727236301356,0.000337211388756215,"Ren1/Adra1d/Postn/Tacr3/Cnr1/Kcnk3/Nos1/Tac1/Grip2/Cacna1c/Klk1b8/Klk1b1/Klk1b9/Klk1b11/Klk1b21/Klk1b26/Klk1b27/Klk1b22/Klk1b16/Klk1b24/Klk1b3/Klk1b4/Klk1b5/Klk1/Scnn1b/Agt/Tpm1/Scpep1/F2r/Adra1a/Npr3/Tnf/Ier3/Adrb2/Acta2/G6pdx",36
"GO:0043269","regulation of monoatomic ion transport","61/1262","452/16937",0.134955752212389,1.81120885516738,4.96008078200682,4.25404331061994e-06,0.00428211999647003,0.00393163160707822,"Lrrc52/Akt3/Tgfb2/Grin1/Lcn2/Capn3/B2m/Kcnip3/Jph2/Mmp9/Casq2/Ngf/Camk2d/Ank2/Egf/Cnr1/Slc6a9/Lrrc38/Reln/Nos1/Serpine1/Cftr/Snca/Cacna1c/Clec4b1/Cracr2a/Atp4a/Hamp2/Scn1b/Homer2/Kcne3/Scnn1b/Tmem38a/Agt/Scn4b/Gramd2a/Sgk1/Nkain2/Best3/Stc2/Kcnip1/Kcnmb1/Pirt/Kcnab3/Itgb3/Rgs9/Kcnj16/Kcnj2/Kcnf1/Wnk2/F2r/Lgals3/Mchr1/Cntn1/Rapgef3/Mylk/Kcnj15/Adcyap1/Adrb2/Gsto1/G6pdx",61
"GO:0019730","antimicrobial humoral response","23/1262","114/16937",0.201754385964912,2.70769733366697,5.1909031822674,9.53063784331425e-06,0.00695897823306585,0.00638939095509826,"Il36rn/B2m/Wfdc12/Wfdc3/Pglyrp4/Spon2/Pf4/Tac1/Reg3d/Reg3a/Reg2/Reg1/Reg3g/Hamp2/Defa24/Ccl2/Ccl7/Ccl8/Wfdc17/Ighg1/Ighg3/Lgals3/App",23
"GO:0007611","learning or memory","45/1262","308/16937",0.146103896103896,1.96082542655443,4.8285652460287,1.03041336728917e-05,0.00695897823306585,0.00638939095509826,"Grin1/Lcn2/Lmx1b/B2m/Bche/Bglap/Ngf/Cnr1/Musk/Reln/Prkar1b/Nptx2/Tac1/Ptprz1/Ptn/Hrh1/Cacna1c/Pirb/Brsk1/Pak1/Nfix/Man2b1/Agt/Aph1b/Aph1c/Clstn2/Ulk4/Sgk1/Egr2/Slc2a4/Ppp1r1b/Mapt/Esr2/Dnah11/Dcdc2a/Arc/Rapgef3/Tuba1a/Chrd/App/Nrxn1/Adrb2/Npas4/Aff2/Sts",45
"GO:0030198","extracellular matrix organization","44/1262","301/16937",0.146179401993355,1.9618387730281,4.77740871264622,1.27065748235774e-05,0.00695897823306585,0.00638939095509826,"Col4a3/Serpinb5/Tgfb2/Lamb3/Lmx1b/Creb3l1/Grem1/Fermt1/Cst3/Tcf15/Mmp9/Postn/Ptx3/Col11a1/Ccn1/Adamtsl1/Col8a2/Adamts3/Col28a1/Aplp1/Hpn/Gas2/Csgalnact1/Comp/Zfp469/Agt/Loxl1/Col6a6/Col6a5/Ccn2/Col23a1/Mfap4/Itgb3/Smoc1/Lgals3/Myh11/Col8a1/App/Col11a2/Tnf/Vit/Mkx/Lox/Nfkb2",44
"GO:0045229","external encapsulating structure organization","44/1262","301/16937",0.146179401993355,1.9618387730281,4.77740871264622,1.27065748235774e-05,0.00695897823306585,0.00638939095509826,"Col4a3/Serpinb5/Tgfb2/Lamb3/Lmx1b/Creb3l1/Grem1/Fermt1/Cst3/Tcf15/Mmp9/Postn/Ptx3/Col11a1/Ccn1/Adamtsl1/Col8a2/Adamts3/Col28a1/Aplp1/Hpn/Gas2/Csgalnact1/Comp/Zfp469/Agt/Loxl1/Col6a6/Col6a5/Ccn2/Col23a1/Mfap4/Itgb3/Smoc1/Lgals3/Myh11/Col8a1/App/Col11a2/Tnf/Vit/Mkx/Lox/Nfkb2",44
"GO:0043062","extracellular structure organization","44/1262","302/16937",0.145695364238411,1.95534261815052,4.75316123236869,1.38267002445179e-05,0.00695897823306585,0.00638939095509826,"Col4a3/Serpinb5/Tgfb2/Lamb3/Lmx1b/Creb3l1/Grem1/Fermt1/Cst3/Tcf15/Mmp9/Postn/Ptx3/Col11a1/Ccn1/Adamtsl1/Col8a2/Adamts3/Col28a1/Aplp1/Hpn/Gas2/Csgalnact1/Comp/Zfp469/Agt/Loxl1/Col6a6/Col6a5/Ccn2/Col23a1/Mfap4/Itgb3/Smoc1/Lgals3/Myh11/Col8a1/App/Col11a2/Tnf/Vit/Mkx/Lox/Nfkb2",44
