Cluster_name,Number_of_genes,Genes
1,1,Xkr4
2,1,A830018L16Rik
3,1,Gm30898
4,1,Xkr9
5,1,Crispld1
6,1,Tfap2b
7,1,Gm39628
8,2,"Aff3, Gm16150"
9,1,Fhl2
10,1,1700019D03Rik
11,1,Pgap1
12,1,Plcl1
13,1,Aox2
14,2,"Akr1cl, D630023F18Rik"
15,1,Gm53558
16,1,Gm28497
17,1,Igfbp2
18,1,Vil1
19,1,Stk36
20,1,Cfap65
21,1,Col4a3
22,1,Slc16a14
23,1,A530040E14Rik
24,3,"Sp140l2, LOC118567760, Gm53567"
25,2,"Sp110, Sp140"
26,1,Pde6d
27,1,Alpi
28,1,Ugt1a1
29,3,"Gm34194, Sh3bp4, Gm34331"
30,1,Kif1a
31,1,Gm51640
32,1,Serpinb5
33,2,"Serpinb3a, Serpinb3d"
34,1,Serpinb11
35,1,Serpinb10
36,1,Tmem37
37,1,Nckap5
38,1,Tmem163
39,1,Lct
40,1,Gm15848
41,1,Ikbke
42,1,Pm20d1
43,2,"Klhdc8a, Tmcc2"
44,1,Gm51646
45,1,Lrrn2
46,4,"Golt1a, Gm53474, Kiss1, Ren1"
47,1,Fmod
48,2,"Tnnt2, Pkp1"
49,1,Atp6v1g3
50,1,Niban1
51,1,Lamc2
52,1,Npl
53,1,Rnasel
54,1,BC034090
55,1,Tdrd5
56,1,4930523C07Rik
57,1,Suco
58,1,Fmo1
59,1,Fmo3
60,1,Gm26685
61,1,Gpr161
62,1,Lrrc52
63,1,Rxrg
64,1,Gm51671
65,1,Gm7694
66,1,Gm39701
67,2,"Mpz, Fcer1g"
68,1,Cd48
69,2,"Pea15a, Atp1a4"
70,2,"Slamf9, Tagln2"
71,1,Fmn2
72,1,Opn3
73,1,Akt3
74,1,Kif26b
75,1,Gm31349
76,1,Gm32767
77,1,Tlr5
78,1,Hhipl2
79,1,Gm35426
80,2,"Gm35546, Tgfb2"
81,1,Esrrg
82,1,Vash2
83,2,"Gm46178, Atf3"
84,2,"Gm39742, Gm39743"
85,3,"Hsd11b1, Lamb3, Gm51741"
86,3,"Phyh, Gm13194, Ucma"
