perm	size	n_clusters
0001	1	1200
0001	2	152
0001	3	27
0001	4	5
0001	5	2
0002	1	1189
0002	2	150
0002	3	28
0002	4	8
0002	5	2
0003	1	1160
0003	2	151
0003	3	33
0003	4	11
0003	5	2
0004	1	1172
0004	2	160
0004	3	27
0004	4	6
0004	5	2
0004	8	1
0005	1	1158
0005	2	163
0005	3	28
0005	4	9
0005	5	1
0005	6	1
0006	1	1189
0006	2	145
0006	3	31
0006	4	7
0006	5	3
0007	1	1201
0007	2	150
0007	3	30
0007	4	6
0008	1	1179
0008	2	154
0008	3	29
0008	4	6
0008	5	1
0008	6	2
0009	1	1219
0009	2	146
0009	3	24
0009	4	5
0009	5	1
0009	7	1
0010	1	1192
0010	2	151
0010	3	28
0010	4	8
0010	5	1
0011	1	1207
0011	2	145
0011	3	19
0011	4	6
0011	5	5
0011	6	2
0012	1	1189
0012	2	160
0012	3	25
0012	4	5
0012	5	1
0012	6	1
0013	1	1155
0013	2	158
0013	3	30
0013	4	9
0013	5	1
0013	6	1
0013	7	1
0014	1	1213
0014	2	138
0014	3	29
0014	4	6
0014	5	3
0015	1	1165
0015	2	155
0015	3	32
0015	4	4
0015	5	4
0015	8	1
0016	1	1196
0016	2	146
0016	3	27
0016	4	6
0016	5	2
0016	6	2
0017	1	1166
0017	2	160
0017	3	32
0017	4	7
0017	5	1
0018	1	1184
0018	2	163
0018	3	25
0018	4	5
0018	5	2
0019	1	1240
0019	2	143
0019	3	17
0019	4	7
0019	5	2
0020	1	1227
0020	2	139
0020	3	23
0020	4	5
0020	5	3
0020	6	1
0021	1	1167
0021	2	157
0021	3	36
0021	4	4
0021	5	2
0022	1	1190
0022	2	156
0022	3	26
0022	4	3
0022	5	1
0022	6	3
0023	1	1174
0023	2	162
0023	3	24
0023	4	3
0023	5	4
0023	6	1
0023	7	1
0024	1	1168
0024	2	170
0024	3	30
0024	4	3
0024	5	1
0025	1	1217
0025	2	139
0025	3	31
0025	4	5
0025	7	1
0026	1	1189
0026	2	149
0026	3	29
0026	4	7
0026	6	1
0026	7	1
0027	1	1200
0027	2	130
0027	3	39
0027	4	5
