gene,log2FoldChange_strain_PAR,log2FoldChange_strain_SL,log2FoldChange_strain_SM,log2FoldChange_strain_LIV,log2FoldChange_strain_PANC,log2FoldChange_sex_PAR,log2FoldChange_sex_SL,log2FoldChange_sex_SM,log2FoldChange_sex_LIV,log2FoldChange_sex_PANC,padj_strain_PAR,padj_strain_SL,padj_strain_SM,padj_strain_LIV,padj_strain_PANC,padj_sex_PAR,padj_sex_SL,padj_sex_SM,padj_sex_LIV,padj_sex_PANC,baseMean_strain_PAR,baseMean_strain_SL,baseMean_strain_SM,baseMean_strain_LIV,baseMean_strain_PANC,baseMean_sex_PAR,baseMean_sex_SL,baseMean_sex_SM,baseMean_sex_LIV,baseMean_sex_PANC
Xkr4,5.43464068320897,0.00498839994753915,0.515836568456418,-0.123925103968925,-0.727158321433352,-6.34730308415704,-0.28457542890048,1.7319366133469,-0.353319310537471,0.0811779927853223,NA,0.994534324330994,0.791769284146917,0.968011052081607,0.679116158062853,NA,0.999703591649468,0.0444230082083328,NA,NA,6.63717237777345,34.1807513692472,11.8460329547909,2.36287798694031,4.11295984896885,6.63717237777345,34.1807513692472,11.8460329547909,2.36287798694031,4.11295984896885
Sox17,0.239453161145414,-0.0306551533916511,-0.470294340628634,0.11665544651185,0.679763248701041,-0.0299547438620518,-0.136734362645776,-0.420677415622081,0.00569719186698587,-0.140120448175507,0.999997843896355,0.966399110766666,0.33065592301388,0.813983353663314,0.393942821016531,0.999978656998048,0.999703591649468,0.277679357571808,0.994062707310435,0.915454942732394,126.350403979184,82.1386776565325,72.6122503852151,130.815264526019,62.5377517826423,126.350403979184,82.1386776565325,72.6122503852151,130.815264526019,62.5377517826423
Mrpl15,-0.302583175404887,-0.354145569656742,-0.45748025061706,0.243072688830957,-0.316223906694907,2.36016176365009e-4,0.0375541357686891,-0.0458472090638264,-0.0598902507266977,0.207002070165511,0.999997843896355,0.0161468984334208,0.102958020494986,0.133320414688258,0.487955414153193,0.999978656998048,0.999703591649468,0.911582266525781,0.856727451612445,0.747707900442937,1112.52720140995,1108.04336272942,774.433714891112,2415.51844579508,690.57588090668,1112.52720140995,1108.04336272942,774.433714891112,2415.51844579508,690.57588090668
Lypla1,-0.0195545732988257,-0.172552780771691,-0.251738879668966,0.267779480718812,-0.51005378431672,-0.0476967268120685,-0.0337005031570171,-0.160130818455158,0.0606243755406036,-0.214054020742308,0.999997843896355,0.244544918399391,0.409696373024161,0.190308366609958,0.37167954720041,0.999978656998048,0.999703591649468,0.53685350231918,0.887053673273499,0.803468036617784,1721.99330359684,2343.72892836166,1513.93754979923,5628.42003405245,878.786437521406,1721.99330359684,2343.72892836166,1513.93754979923,5628.42003405245,878.786437521406
Gm57794,-0.845634273252913,-0.00368160231726957,-0.868331614291773,-0.567314785607086,1.26184182093751,1.39689707066774,0.705221789819073,-0.0518421757356766,-0.791869200247732,-1.11151029604414,NA,0.998346796319303,0.677111194004195,0.627234773306166,0.590733332258497,NA,0.999703591649468,0.97835098573812,0.60381856266267,NA,4.98462666893668,4.52059312313027,4.10721787964498,13.9740296394968,3.15274460147098,4.98462666893668,4.52059312313027,4.10721787964498,13.9740296394968,3.15274460147098
Tcea1,-0.305502717732911,-0.0113566971775499,0.0455953552674324,0.205282072240332,-0.0505434407707373,0.0949341483424012,-0.169171793761155,-0.217166138537646,-0.0315378942966252,-0.0537691165531161,0.999997843896355,0.977031181479832,0.952446405077138,0.34778360400844,0.91277002049882,0.999978656998048,0.999703591649468,0.442970685092786,0.942232095650364,0.92649248589782,1772.38670864755,2524.08896061354,1469.52971029831,1421.4930200953,727.147171739228,1772.38670864755,2524.08896061354,1469.52971029831,1421.4930200953,727.147171739228
Rgs20,0.765482452881578,0.0210076660820863,0.215398165341863,-0.802605743271946,0.501070191661128,0.790185179526389,-0.48443889164135,-0.944768151481516,-0.838521719143158,0.637534412569442,0.999997843896355,0.963846779530225,0.755599397321104,0.644086550708035,0.680062594107321,0.999978656998048,0.712643825746349,0.00120947515160829,0.737200715851854,0.682247041580278,36.4877350792753,80.9429054896059,59.0427492969658,6.06155381825405,6.43535884714275,36.4877350792753,80.9429054896059,59.0427492969658,6.06155381825405,6.43535884714275
Atp6v1h,-0.00835922977201756,-0.305508288134422,-0.163653098099034,0.685263678676712,0.0815602637861309,0.272029055504677,-0.0587852033282439,0.537610388093606,0.147407190399991,0.184519051563532,0.999997843896355,0.0127917346261809,0.722931408455916,2.2701897643516e-6,0.818072300423018,0.999978656998048,0.999703591649468,0.010688472267974,0.633003545847942,0.662711754682364,1330.57191248094,3041.51432747639,2066.11390110836,1728.93088650775,515.67507643439,1330.57191248094,3041.51432747639,2066.11390110836,1728.93088650775,515.67507643439
Npbwr1,-2.76757858683246,NA,NA,NA,NA,-1.8214307458994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.98041391568541,NA,NA,NA,NA,1.98041391568541,NA,NA,NA,NA
Gm46206,-1.05260028714353,1.45330104543227,-0.198267980264371,NA,NA,0.891717339615979,0.514047743212,0.212715176817875,NA,NA,NA,0.192036345408933,0.945135124325551,NA,NA,NA,0.999703591649468,0.888056953187172,NA,NA,3.44131271609171,6.29495749580044,7.59660188771872,NA,NA,3.44131271609171,6.29495749580044,7.59660188771872,NA,NA
