"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Xkr4",2.36287798694031,-0.353319310537471,1.29964202496177,-0.27185894557993,0.785730479362331,NA
"Sox17",130.815264526019,0.00569719186698587,0.243043194641902,0.0234410672365465,0.981298447078441,0.994062707310435
"Gm22307",1.10206951688948,-1.19798811185554,1.64273175522902,-0.729265814727327,0.465839079131156,NA
"Mrpl15",2415.51844579508,-0.0598902507266977,0.112567070517469,-0.532040591012837,0.59469788249198,0.856727451612445
"Lypla1",5628.42003405245,0.0606243755406036,0.138062171312303,0.439109243063175,0.660582381996992,0.887053673273499
"Gm57794",13.9740296394968,-0.791869200247732,0.641308765570677,-1.23477058596428,0.216915897315705,0.60381856266267
"Tcea1",1421.4930200953,-0.0315378942966252,0.137542573877194,-0.229295507620674,0.818639244879106,0.942232095650364
"Rgs20",6.06155381825405,-0.838521719143158,0.945024916713101,-0.887301175147453,0.374916773067178,0.737200715851854
"Atp6v1h",1728.93088650775,0.147407190399991,0.126200567828913,1.16803904242196,0.242791016743787,0.633003545847942
"4732440D04Rik",37.4967534639661,-0.342268320310814,0.373069602588793,-0.917438241914527,0.358913041132839,0.7256275917602
"Rb1cc1",1078.76794924917,0.0789108745880158,0.117143587620082,0.673625216635313,0.500549617185913,0.811934438660726
"Pcmtd1",3897.93098540985,0.00760320348129171,0.11682060356579,0.0650844392959314,0.94810676980512,0.98403955825148
"Gm26901",4.30808971888036,0.849905734400826,0.775826457396072,1.09548433969807,0.273304502628256,0.659276179546625
"Sntg1",18.5839993210395,-0.606672575845751,0.769081496051512,-0.7888274246103,0.430212878333011,0.774318542278532
"Rrs1",871.056639401216,0.150453919720123,0.193963775413303,0.775680507350059,0.437937651981021,0.779352411610864
"Adhfe1",3673.80015783136,0.00358120016810001,0.130006170387821,0.0275463861247273,0.978023943091382,0.993245494074638
"2610203C22Rik",17.7657960186244,-0.202620988299856,0.375545942078148,-0.539537152707917,0.589516268469326,0.854363056523465
"Vxn",3.19335804470844,-0.548649129772436,0.964102681538746,-0.569077485498505,0.569303556731595,NA
"Mybl1",12.133821397926,-0.0203186455148561,0.435056731651062,-0.0467034389693175,0.962749589437521,0.987747937434068
"Vcpip1",1202.68450542696,0.0505192339955719,0.103731154745936,0.487020838814592,0.626243563335299,0.871150924402442
"1700034P13Rik",36.2397390376777,-0.374333469682792,0.273116328233417,-1.37060084288652,0.17049942007936,0.553975516889889
"Gm39590",5.97932008967338,-1.37345746319639,0.863204259910208,-1.5911152516083,0.111583640750094,0.472864424367538
"Sgk3",415.770887807304,-0.145976034849372,0.155689024189478,-0.9376128831774,0.34844338819318,0.721040508343633
"Gm6195",4.45229606815024,-0.0762585575147552,0.891390721227755,-0.0855500912211882,0.93182407436377,0.979620541825512
"Mcmdc2",12.3082753069336,-1.65941690946372,0.644167118333641,-2.57606584104505,0.00999316154072313,0.133752315276285
"Snhg6",241.756360820231,-0.12274102685638,0.268602337824496,-0.456961871033972,0.647698451644157,0.881934468487896
"Snord87",2.83004378145523,-0.365149485584391,1.0086962590609,-0.362001427391381,0.717350963778287,NA
"Tcf24",359.121377864876,-1.22925485295839,0.297391376238428,-4.133458301672,3.57345152990432e-05,0.00204190685497225
"Ppp1r42",26.726524647151,0.252414429715176,0.44313954576304,0.569604839217283,0.568945745530351,0.844904591374586
"Cops5",2488.3710092251,0.190434604998544,0.172215932856807,1.10578970156545,0.268817553512141,0.654978726802577
"Cspp1",720.89338424521,-0.352037116195541,0.189661979438357,-1.85612908416343,0.0634351610955851,0.373364824038327
"Arfgef1",2156.45097330405,0.0860787430651451,0.106172272836972,0.810745976939941,0.417511564147593,0.764965854240108
"Prex2",140.809178664995,-0.303256254394531,0.267122046182696,-1.13527227994922,0.256261252930161,0.646616599273705
"A830018L16Rik",3.26002376041707,-0.698361068639168,0.9533709836577,-0.732517645921882,0.463852676333648,NA
"Sulf1",53.138699750845,-0.629328845042704,0.512408506449771,-1.22817798128102,0.219380162455705,0.606545699382344
"Slco5a1",1.92461776707362,0.726875382018475,1.33127003535477,0.546001459294297,0.585064934100891,NA
"Prdm14",0.914869265468179,-0.0438705447677762,1.96601861491755,-0.0223144096576196,0.982197154500032,NA
"Ncoa2",1479.65235755814,-0.0533162158612557,0.0950161369711272,-0.561128010050093,0.574710274667153,0.848142146624364
"Tram1",5645.08431130071,0.233410790564652,0.114093277099806,2.04578916915911,0.0407771181054061,0.298552140280567
"Lactb2",12832.8608184832,0.341000380766512,0.142956778123211,2.38533901815143,0.017063388587642,0.185152825161584
"Xkr9",654.08368098268,0.249042999690003,0.181242689082497,1.3740857683735,0.169415057117096,0.552668186328196
"Gm5523",0.83577622221526,0.858951203595236,1.78013102508638,0.482521337750156,0.629435644204005,NA
"Eya1",0.979626046762222,0.423515198308087,1.72440238728362,0.245601143579506,0.805991003897639,NA
"Msc",8.23463262414643,-0.464719152027057,0.564803489875798,-0.822797947174956,0.410622904258446,0.759977383197517
"Gm9947",6.78697298998371,0.351916747294832,0.566751691307491,0.620936386591037,0.53464147905341,0.829988530874625
"Kcnb2",2.39041261828503,0.560589762073974,1.55684897859657,0.360079731419628,0.718787509573027,NA
"Gm51616",38.176849467357,-1.30610221083155,0.402913354149166,-3.24164537457353,0.0011884180376717,0.0320047081202583
"Gm51617",7.28887030263064,-1.3484256210724,0.764235783840184,-1.76441047329233,0.0776628961390145,0.407347488192513
"Terf1",455.518025749621,-0.0561614441951359,0.146456354508966,-0.383468811465587,0.701372190967589,0.903709818336568
"Sbspon",5.48473998235991,-0.435888776166801,0.796017210844744,-0.547587125288698,0.583975431699316,0.852078576721121
"Rpl7",9331.88448047817,0.197645405621558,0.137247815921316,1.44006230113612,0.149849773626199,0.527239345610398
"Rdh10",1094.49429371112,-0.131560458126387,0.182507445254037,-0.720849814884341,0.471001922496668,0.797825298334919
"Stau2",220.822280809866,0.0351794398889271,0.163462699790805,0.215213867958554,0.829600579185797,0.946385917950114
"Gm7568",2.61155674802125,0.40866585724645,1.28489954243347,0.318052768913342,0.750444909657754,NA
"C130013N14Rik",8.79698899198575,-0.417601612228254,0.713299051683348,-0.585450956709863,0.558244534074478,0.841236025002373
"Ube2w",746.897708006375,-0.0311943551964295,0.0900165012686513,-0.346540409333739,0.728936621010683,0.91453075857695
"Eloc",1284.97521319,0.0945250791723308,0.121600522131258,0.777341063308089,0.436957574293377,0.778447225684497
"Tmem70",1400.99992051542,0.100465324524875,0.141642319769229,0.70928889535669,0.478145218097604,0.800245879358734
"Ly96",104.963576239425,0.26931794214755,0.192653477901004,1.39793968467022,0.16213118028094,0.54416007202091
"Jph1",44.2274680832537,0.223282127047194,0.267487638995134,0.834738113080642,0.403865177426026,0.756199106726978
"Pi15",10.3249192848177,-0.0345214033673257,0.611116275570553,-0.0564890917609675,0.954952185164082,0.985569763751569
"Crispld1",1.66680609704595,0.7169803263102,1.23191042810656,0.582006865070698,0.560562056732609,NA
"Tfap2b",14.6697586049365,-0.344445660750918,0.459664038032128,-0.749342198327124,0.453650979881814,0.788735095507409
"Pkhd1",214.433362955313,-0.162468477940686,0.247613446429115,-0.656137541331771,0.511735631525418,0.817932834753017
"Mcm3",163.572266329023,-0.239011579768136,0.206425195793659,-1.15786049687001,0.246920970514015,0.636981916435976
"Paqr8",24.1279775399435,0.0770832247746142,0.458198832131019,0.168230949904675,0.866401593416674,0.95835735075631
"Efhc1",5.18579922467302,0.433239777628718,0.66140008256459,0.655034356737336,0.512445634040289,0.818553961443444
"Tram2",135.497208166261,-0.065012857507575,0.309317317045607,-0.210181758100499,0.833525816498385,0.948389973727894
"Tmem14a",156.538179952864,-0.19483167924059,0.212244082599424,-0.917960476704088,0.358639558023171,0.72558171135237
"Gsta3",61317.7637975862,-0.00814359622705402,0.148154706783344,-0.0549668411072683,0.956164880801083,0.98620234277823
"Gm4956",193.170844709099,4.2556770574131,0.674485301942462,6.30951785777555,2.79906070265054e-10,4.57813341347282e-08
"Kcnq5",12.2279622682288,-0.969383370520673,0.469099616372199,-2.06647657914845,0.0387835016463985,0.290817059476952
"Gm53539",12.5874046418783,-1.30479280977578,0.685908849622491,-1.90228309562402,0.0571341544394795,0.354391854581563
"Gm53541",464.371743708347,-0.34755814722253,0.358838130529765,-0.968565260078179,0.332762143476567,0.709924534217439
"Ogfrl1",893.521870335985,-0.201998475681121,0.173357216618954,-1.16521526833879,0.243931866773913,0.634492999033734
"B3gat2",13.8857100878708,0.128091081265306,0.498172407290508,0.257121991083321,0.79708460168189,0.936294712095431
"Smap1",573.272562108582,-0.256643168111354,0.177089315617997,-1.44923010863605,0.147273331855962,0.522921521674584
"Gm53062",1.02724948452908,-0.528406003840127,1.55808402803049,-0.339138322666757,0.734505529987107,NA
"Sdhaf4",610.497931626124,0.173834286770291,0.144982087949353,1.19900526491946,0.230525898409535,0.617645884707723
"Fam135a",869.171761571553,-0.018751285103133,0.138174554335908,-0.135707223325272,0.892052737165441,0.966689883124351
"Col19a1",2.47590229941039,0.103303261737853,0.908824508284,0.113666896960014,0.909501854801122,NA
"Lmbrd1",2401.25552373909,0.101782446767824,0.0885912648933091,1.14889935131191,0.250597485170162,0.640992240430256
"Gm5524",762.860126226784,-0.0272432228501865,0.18832471513113,-0.14466090035616,0.884978611348779,0.964095352300979
"Phf3",1847.23240567299,-0.126371489256172,0.0797922820767607,-1.58375579651428,0.113249302013524,0.475932222556204
"Ptp4a1",2242.68461212503,-0.258789836114855,0.227890304703011,-1.13558949535879,0.256128407261717,0.646616599273705
"Gm53209",14.4087324283027,-0.77968360027808,0.684759560588528,-1.13862389830376,0.254860056274262,0.64556197936186
"Gm29669",11.8025640207675,-0.259525810611712,0.477439725938305,-0.543578166022256,0.586731788032742,0.853010091026872
"Gm28644",20.7417674802598,0.130067787260229,0.393591966423214,0.330463521504838,0.741049751440168,0.91869398536957
"Semp2l1",0.946467692313804,-1.24687199429801,2.57198857562808,-0.484789087367359,0.627825964395366,NA
"Prim2",106.444018829182,0.534860394838176,0.171906276585687,3.11134884345875,0.00186234791549233,0.0440344013758584
"1700001G17Rik",7.13843524145832,0.208190022706167,0.602532276236162,0.345525096193464,0.729699646649249,0.914651290196359
