"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Xkr4",4.11295984896885,0.0811779927853223,0.925467415993199,0.0877156681936804,0.930102666207402,NA
"Sox17",62.5377517826423,-0.140120448175507,0.47901582389662,-0.292517368290003,0.769891082337246,0.915454942732394
"Mrpl15",690.57588090668,0.207002070165511,0.264248075293533,0.783362641092348,0.433414187945572,0.747707900442937
"Lypla1",878.786437521406,-0.214054020742308,0.34562342121256,-0.619327301348203,0.535700762487954,0.803468036617784
"Gm57794",3.15274460147098,-1.11151029604414,1.30204602196849,-0.853664369223834,0.393290981749453,NA
"Tcea1",727.147171739228,-0.0537691165531161,0.207933373466936,-0.258588198982238,0.795952989477058,0.92649248589782
"Rgs20",6.43535884714275,0.637534412569442,0.642111304526836,0.99287212057298,0.320772277782719,0.682247041580278
"Atp6v1h",515.67507643439,0.184519051563532,0.173336590226084,1.0645129878398,0.2870963739411,0.662711754682364
"Oprk1",2.32769676199227,-0.0450851835786536,0.954250523050561,-0.0472466951702837,0.962316611687839,NA
"4732440D04Rik",31.6734459976756,-0.976011221235112,0.405246070927853,-2.40844092331465,0.0160208189374437,0.360137229418334
"Rb1cc1",505.069324062004,0.105472260297191,0.157837657867572,0.668232548063302,0.503985162130344,0.784768155832122
"St18",4.76444915799829,-0.768524906943866,0.815137158261014,-0.942816677114083,0.34577467991918,NA
"Pcmtd1",1611.43711247171,0.514455741096902,0.315475171739614,1.63073289812335,0.102946691709065,0.52068376452975
"Gm26901",1.85703649869937,0.0427448957291307,1.14166827078228,0.037440731973607,0.970133596005453,NA
"Sntg1",4.49688390937935,1.07502924954496,1.18010381837226,0.910961588979323,0.362315612642672,NA
"Rrs1",375.754021990433,0.0648528482537128,0.231299687763959,0.280384504106616,0.779182524385616,0.919749278824859
"Adhfe1",269.891319872134,0.561015703207054,0.523409907500471,1.07184769559707,0.283788446274258,0.659957557081229
"2610203C22Rik",5.3265961401516,0.0369083537351529,0.964947981563918,0.0382490605092873,0.969489104861371,0.990546432562691
"Vxn",3.27389559372708,1.84316258522137,1.40942961025527,1.30773652817437,0.190962689146881,NA
