"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Xkr4",6.63717237777345,-6.34730308415704,3.34151562888209,-1.89952817496788,0.0574950657597316,NA
"Sox17",126.350403979184,-0.0299547438620518,0.624016839694551,-0.0480031017700008,0.961713770603657,0.999978656998048
"Mrpl15",1112.52720140995,0.000236016176365009,0.548011203954642,0.000430677647941927,0.999656368964647,0.999978656998048
"Lypla1",1721.99330359684,-0.0476967268120685,0.470901337054688,-0.101288153290015,0.919321720133768,0.999978656998048
"Gm57794",4.98462666893668,1.39689707066774,1.67539917025969,0.83376970423784,0.404410770384156,NA
"Tcea1",1772.38670864755,0.0949341483424012,0.389245832393243,0.243892523546642,0.807314059713526,0.999978656998048
"Rgs20",36.4877350792753,0.790185179526389,1.44061691912772,0.548504719772997,0.583345389367179,0.999978656998048
"Atp6v1h",1330.57191248094,0.272029055504677,0.538970582112263,0.504719672154604,0.613755742027929,0.999978656998048
"Npbwr1",1.98041391568541,-1.8214307458994,3.92850949112522,-0.463644226904413,0.642902662203245,NA
"Gm46206",3.44131271609171,0.891717339615979,2.4426660202933,0.365059051138276,0.715067326994352,NA
"4732440D04Rik",115.097900431249,-0.114024685040263,0.626215305962892,-0.182085432844753,0.855515680534748,0.999978656998048
"Rb1cc1",1105.39123420333,0.070131232491846,0.548428258416583,0.127876766770422,0.898246497506132,0.999978656998048
"St18",2.99566033339344,-1.46339451458662,3.48561920221981,-0.419837747524072,0.674603987280724,NA
"Pcmtd1",3711.86960813887,0.223544945275879,0.71826266065467,0.311230079915509,0.755625717313422,0.999978656998048
"Gm26901",9.2572753442283,-2.00454707082746,1.3399495355019,-1.49598698885076,0.134657045810288,NA
"Sntg1",8.43787507499337,-1.49919691675627,1.66510942832154,-0.900359394557923,0.367929022444665,NA
"Rrs1",966.158068403878,0.630231453258681,0.374254034845764,1.68396702394514,0.0921880418635402,0.999978656998048
"Adhfe1",718.081536691041,-0.272633278942463,0.766293445464733,-0.355781822950501,0.722003962759253,0.999978656998048
"2610203C22Rik",15.4820280739123,0.590970437469058,1.31515654909637,0.449353681791803,0.653176538601595,0.999978656998048
"Vxn",8.46043478068133,-0.91678901915497,2.53669130471798,-0.361411346130228,0.717791967422006,NA
"Mybl1",107.271088349193,-1.4478702825027,1.3684317389001,-1.05805079007189,0.290032287636213,0.999978656998048
"Vcpip1",861.163827056192,0.0556320710776997,0.476963893155655,0.116637908814503,0.90714699584828,0.999978656998048
"1700034P13Rik",1.92647743025269,-0.887922165742633,3.66481910355788,-0.242282672255397,0.808561139396842,NA
"Sgk3",370.154335475402,-0.216263089454691,1.01417923849632,-0.213239515507472,0.831140148061493,0.999978656998048
"Gm6195",3.6610275715276,-1.77972402956788,3.00414961992297,-0.592421901281173,0.553568104060414,NA
"Mcmdc2",3.17323311427098,-4.07629013494137,3.64163294536081,-1.11935777056671,0.262987539073088,NA
"Snhg6",180.548974897434,-0.321408858479071,0.487204886580568,-0.659699578825797,0.509446637015274,0.999978656998048
"Snord87",5.70042444273386,-1.12508609210377,1.95645080137179,-0.575064852801257,0.565247437219652,NA
"Tcf24",21.7164196447805,0.0897203783092024,1.36484505007141,0.0657366770715166,0.947587471471956,0.999978656998048
"Ppp1r42",1.47324609948363,-4.3071512170484,5.97992522998612,-0.720268406609892,0.471359752901453,NA
"Cops5",1069.22610362457,-0.191257377619274,0.442073213732014,-0.432637336256285,0.665278260696511,0.999978656998048
"Cspp1",496.268576687895,0.0453798140741982,0.514969089185333,0.0881214329698657,0.929780161598443,0.999978656998048
"Arfgef1",2218.27509779101,0.37567480732804,0.519031682473027,0.723799374901479,0.469188913169626,0.999978656998048
"Prex2",134.715216771278,-0.507515782569245,0.74547481479868,-0.680795343443363,0.496000996930876,0.999978656998048
"A830018L16Rik",104.582807413048,0.0993859844111518,0.66972533591156,0.148398125443288,0.882028579372967,0.999978656998048
"Sulf1",607.165377176303,-0.194265560066392,1.15426572960838,-0.168302285239207,0.866345476147139,0.999978656998048
"Slco5a1",96.8115194045826,-0.418849179775318,2.04867942271168,-0.204448375442225,0.838003130289585,0.999978656998048
"Ncoa2",1218.84396516681,0.105474684585592,0.449258222308296,0.234775190187197,0.814383224946295,0.999978656998048
"Tram1",12326.6062290036,0.452783802220378,0.900942683117901,0.502566712294532,0.615268937838467,0.999978656998048
"Lactb2",1097.73276128615,-0.0562376887564378,0.675575856454171,-0.0832440772108215,0.933657465791449,0.999978656998048
"Xkr9",6.91760570696803,-2.73906668119566,1.79633223763336,-1.52481073590503,0.127306311344921,NA
"Eya1",24.6216727041886,-2.81154465379468,1.86632512177244,-1.50646027371938,0.131949057879305,0.999978656998048
"Msc",103.14808436228,-0.693310489410947,1.28628988926627,-0.539000185880671,0.589886726295357,0.999978656998048
"Gm9947",9.40789212896339,-0.405973989773402,3.01439625337445,-0.134678375253067,0.892866171445253,NA
"Terf1",338.120521741475,-0.367242877318809,0.583123111125129,-0.629786181189455,0.528834488021078,0.999978656998048
"Sbspon",14.9447192193402,0.565654532287198,1.92127890974981,0.294415625663043,0.768440328207156,0.999978656998048
"Rpl7",20565.2945862391,-0.304765114735537,0.401730810634269,-0.75863017390765,0.448073817422825,0.999978656998048
"Rdh10",768.085466707632,-0.0361012555472901,0.65095801727524,-0.0554586541516173,0.955773068435224,0.999978656998048
"Stau2",705.897371617234,0.386830991353115,0.715428329514111,0.540698453492657,0.588715444620398,0.999978656998048
"Gm7568",2.95901316750572,-4.637305951817,4.55384433613401,-1.01832772697581,0.308522235894751,NA
"C130013N14Rik",12.9403670543187,-0.911495497291882,1.30674198396816,-0.69753287831463,0.485469370962923,NA
"Ube2w",859.199422545661,0.0708157564484163,0.463362454483636,0.152830156529044,0.87853221561868,0.999978656998048
"Eloc",1060.34031158243,-0.520633790932927,0.564448086313549,-0.922376749176747,0.356332093314782,0.999978656998048
"Tmem70",886.588022081045,-0.179901268785361,0.569433215184191,-0.315930409375873,0.752055329801626,0.999978656998048
"Ly96",144.450262351683,-0.181419498631023,0.512938165325712,-0.353686878643205,0.723573557135771,0.999978656998048
"Jph1",94.1078711388112,0.338794055481785,1.05845194729084,0.320084493536948,0.748904280159803,0.999978656998048
"Pi15",57.4520973427756,-1.45626000156165,0.988192592418244,-1.47366010708295,0.140573128943959,0.999978656998048
"Crispld1",42.5293688258922,-0.860035496225621,1.28153646314747,-0.671097171994125,0.502158628417498,0.999978656998048
"Tfap2b",1279.26244216298,0.173065346082994,1.20950041321666,0.143088290166622,0.886220452871401,0.999978656998048
"Pkhd1",1.63963829043086,-3.83944682926936,3.85623662316336,-0.995646067517445,0.319422143216255,NA
"Il17f",1.6929249166879,-4.6258831008984,5.97363878544183,-0.774382795319328,0.438704454737203,NA
"Mcm3",699.623369706883,-0.871984699897724,1.3542045495613,-0.643909149603882,0.519634348305692,0.999978656998048
"Paqr8",64.1162923121142,-1.04358867077181,0.836870780813207,-1.24701291369945,0.212392762556067,0.999978656998048
"Efhc1",21.3844155843903,0.194799281346528,1.01372401246192,0.192162047018537,0.847615273919102,0.999978656998048
"Tram2",55.8511921849458,0.111776116873062,0.662172406148534,0.168802136475602,0.865952277778123,0.999978656998048
"Tmem14a",69.8752703985545,-0.246141617807136,0.648347659622388,-0.379644491892659,0.704209329398575,0.999978656998048
"Gsta3",1071.14714515492,-0.555755629394563,1.03937207459691,-0.534703253029089,0.592855071695599,0.999978656998048
"Gm4956",11.770893761777,-0.336482582829344,2.99835396579069,-0.112222434932098,0.910647041026426,NA
"Khdc1a",3.54384790367862,-3.19744318673797,4.41795271022939,-0.723738662782553,0.46922619220752,NA
"Kcnq5",43.2757355933383,-0.267977074680614,1.70615460079011,-0.15706494274113,0.87519366624922,0.999978656998048
"Gm53539",43.6200829188138,-0.365246683694626,1.4627892894896,-0.249691931926893,0.802825598008245,0.999978656998048
"Rims1",2.74134458555491,-3.27989848014452,3.82025588847862,-0.858554655994707,0.390586263957512,NA
"Gm53541",361.750396829358,0.517132359350139,0.885567967765252,0.583955583505502,0.559250195479715,0.999978656998048
"Ogfrl1",1278.53591783826,-0.492052273190059,0.519913018983975,-0.946412679089357,0.343938140941054,0.999978656998048
"B3gat2",26.9145047538816,-0.230271850487881,0.926159827954426,-0.248630790860876,0.803646388587504,0.999978656998048
"Smap1",647.897112883604,0.00364162853101808,0.459014504926406,0.00793358051201877,0.993669985001294,0.999978656998048
"Sdhaf4",280.42605913047,-0.267965676013004,0.627461136183557,-0.427063383786392,0.66933316191934,0.999978656998048
"Fam135a",304.247349817627,-0.226070632543299,0.702783425421966,-0.32167894740483,0.747695928352784,0.999978656998048
"Col9a1",4.46105116679928,-3.10230690063883,3.68247037884991,-0.842452642241681,0.399534637351887,NA
"Col19a1",3.22425613237986,-0.527206070750772,2.64669975881382,-0.199193757809179,0.842111182130417,NA
"Lmbrd1",1603.37980954754,0.0389724791918357,0.355678790210182,0.10957212030778,0.912748722265152,0.999978656998048
"Spata31e2",2.7580589493059,0.655015201704934,5.1925534466645,0.126145105376949,0.899617063688419,NA
"Gm5524",3.17985625956132,-0.70693422896445,3.41479798558261,-0.207020805315321,0.835993610162946,NA
"Phf3",1806.47179541102,-0.0261227114384856,0.369502427195661,-0.0706969955156829,0.943638912087157,0.999978656998048
"Ptp4a1",767.130436555888,-0.131744368006596,0.746847780493354,-0.176400561731024,0.859979263387127,0.999978656998048
"Gm53209",4.43834894043099,1.90718071398562,4.31946528370357,0.441531668556526,0.658828140257011,NA
"Gm29669",3.72637030032373,-5.27969878647714,2.84366018433909,-1.8566560152138,0.0633601090561438,NA
"Gm28644",2.42922541661025,1.07073329294217,4.7742111686102,0.224274389030401,0.822543803236253,NA
"Prim2",207.342096108774,-0.455331124885033,0.742569750459231,-0.613182969819926,0.539755364071942,0.999978656998048
"1700001G17Rik",11.9490081708386,-1.51629978764942,1.26520925010427,-1.19845771561064,0.230738875068917,NA
"Rab23",237.150163836033,-0.0897626841631959,0.470470201231089,-0.190793559142135,0.848687335052093,0.999978656998048
"Bag2",237.122036412939,0.469567445497537,0.851534193523449,0.551436981707777,0.581334155202909,0.999978656998048
"Zfp451",457.527198387988,0.0855642229826285,0.415019154155423,0.206169334899143,0.836658640469415,0.999978656998048
"Gm15455",1.65134518563067,1.43230069424729,4.60171300856797,0.311253807349671,0.755607680681226,NA
"Bend6",12.3503762659873,1.51356137563941,1.415748221736,1.06908937083705,0.285029400695053,NA
"Dst",1238.42428305276,-0.284530360593507,0.403166461180022,-0.705739162331905,0.480350361917055,0.999978656998048
"Gm51742",3.2147579245246,0.472289609193881,2.59670426847982,0.181880399291819,0.855676587025487,NA
"Gm3052",15.2741247886565,-2.13064797335394,1.55630367756173,-1.36904384669452,0.170985569406325,0.999978656998048
"Gm37233",27.6515435819882,-0.496277164658556,1.35143977645679,-0.367221072891387,0.713454121827405,0.999978656998048
"Ccdc115",583.849395343966,0.00347035294745286,0.405432276524208,0.00855963658642174,0.993170481518532,0.999978656998048
"Imp4",1115.09305952677,0.0453512480588351,0.433133240324005,0.104705074182046,0.916609835482665,0.999978656998048
"Gm32504",10.5292064157101,0.338822677534778,1.53482782522732,0.220756147344799,0.825282310502278,NA
"Ptpn18",1248.46670156825,-0.00903955093406627,0.39520851174789,-0.0228728649949542,0.981751685328642,0.999978656998048
"Gm28417",108.721225776776,0.247360413721693,0.917931560373045,0.269475878595095,0.787563501986095,0.999978656998048
"4930568A12Rik",4.61162663884756,-0.307817768094925,2.32002561566426,-0.132678607519078,0.894447561995358,NA
"Gm32566",1.69421093917406,-3.64977096278203,5.05192311021789,-0.722451803630997,0.470016747040002,NA
"Prss39",3.71705044125726,-3.18910678000196,3.60104606190025,-0.885605661572429,0.375830059682476,NA
"Arhgef4",7.77331487508337,-2.67617139330867,3.15945775030195,-0.847035030948873,0.396975595949971,NA
"Gm32790",7.5111423300952,-0.733887970944483,1.46651893799871,-0.500428567220541,0.616773342473716,NA
"Fam168b",3131.69267096749,0.0510472527696932,0.573661174647149,0.0889850229119858,0.929093812882016,0.999978656998048
"Plekhb2",1079.34633924217,0.365416656189575,0.682907466937643,0.535089560271189,0.592587928567027,0.999978656998048
"Hs6st1",1449.63002814109,0.235312271875048,0.599705721312363,0.392379568032307,0.69477778045427,0.999978656998048
"Gm53548",44.1579919164491,0.835037925587563,0.968560000172525,0.862143724125322,0.388608433058492,0.999978656998048
"Gm33280",30.5523030080707,-0.86761581666948,0.929184709816212,-0.933738800804299,0.350438644978828,0.999978656998048
"Uggt1",3911.00692987634,0.376129545168004,0.6947346898285,0.541400264985838,0.588231724600522,0.999978656998048
"Neurl3",847.811753783018,-0.337267021053539,1.4638844925761,-0.230391825833217,0.817787312369484,0.999978656998048
"Arid5a",894.467023880629,0.228035070315075,0.757133537249966,0.30118210209435,0.763275637023743,0.999978656998048
"Kansl3",1526.79966389767,0.237435136342581,0.469733204422008,0.505468070188348,0.613230119310706,0.999978656998048
"Lman2l",767.929852910749,0.0262776868624021,0.470583952870974,0.0558405927403288,0.955468797045003,0.999978656998048
"Gm33401",2.96690638391914,-0.891039965001296,3.52639056366534,-0.252677617216383,0.800517345606704,NA
"Gm33454",17.7769007950097,0.316329540437849,1.35272759646984,0.233845706455137,0.815104764519645,0.999978656998048
"Cnnm4",303.472813735781,-0.0516936605094043,0.475888892832593,-0.108625482308933,0.913499548386424,0.999978656998048
"Cnnm3",661.902023956417,-0.169355440223398,0.503059948061729,-0.336650613661291,0.736380296812587,0.999978656998048
"Ankrd23",271.947315549189,-0.0481655204343779,0.587232856393551,-0.0820211606179242,0.934629886409228,0.999978656998048
"Ankrd39",185.647535619829,0.0419984275079523,0.530061382007138,0.0792331396581286,0.936847185806494,0.999978656998048
"Sema4c",724.672152396191,-0.071694279341102,0.631863846509944,-0.113464759436863,0.909662100510427,0.999978656998048
"Fam178b",26.7494476117889,-1.18523203783592,1.36117391668376,-0.87074254311566,0.383894743747577,0.999978656998048
"Cox5b",5625.39735061753,-0.615687323012193,0.710117937970433,-0.867021222942024,0.385930381442386,0.999978656998048
"Actr1b",2530.84179659376,0.166306672570258,0.481167505799569,0.345631553597747,0.72961962946594,0.999978656998048
"Zap70",661.893135166616,-0.816295287919375,1.89989191434792,-0.429653540685521,0.667447683889058,0.999978656998048
"Tmem131",1964.83029209874,0.346869005465502,0.485038344948844,0.71513728569663,0.474524216508053,0.999978656998048
"Vwa3b",10.9534479126977,-0.285353745075349,2.44688439069802,-0.116619218366073,0.907161807588888,NA
"Cnga3",1.74956035573197,-1.32604386172344,4.63873300847056,-0.285863372455801,0.774982768132375,NA
"Inpp4a",698.470620058882,0.300754912128828,0.410357461352941,0.732909573856034,0.463613583474428,0.999978656998048
"4930439A04Rik",1.20036331272129,-0.460845300181489,5.04822209112123,-0.0912886342682942,0.927263248818928,NA
"Coa5",2134.59997007905,-0.153484393214585,0.517164839149067,-0.296780410414454,0.766634162247678,0.999978656998048
"Unc50",1190.5909826444,-0.0819803280300888,0.453821501439992,-0.180644433483126,0.856646676713182,0.999978656998048
"Mgat4a",6376.36281822356,0.576764394001956,0.887061789308585,0.650196413545792,0.515565357418307,0.999978656998048
"4930594C11Rik",17.7710439796531,-0.854699695673589,1.12921504500074,-0.75689719106871,0.449111458355887,0.999978656998048
"Cracdl",1657.96756429417,0.37977702541139,1.18149057197773,0.321438896271234,0.747877810790618,0.999978656998048
"4930556I23Rik",30.1532576166405,-0.48201447754381,1.75821500961141,-0.274149904823268,0.78396942385337,0.999978656998048
"4930470B04Rik",2.60537514132125,2.32497320083927,2.66893938073594,0.871122520661437,0.383687258743145,NA
"Gm39628",20.174955897941,-0.197824223896805,1.5861233017099,-0.124721844565012,0.90074376297324,0.999978656998048
"Tsga10",53.6349444068002,-0.232632915657435,0.854991321979556,-0.27208804309127,0.785554323077827,0.999978656998048
"Lipt1",120.577433912249,-0.231215950625219,0.597068662278055,-0.387251861022212,0.698569759867198,0.999978656998048
"Mitd1",339.40339571767,-0.191519855743145,0.731426193976154,-0.261844403878963,0.793441403671097,0.999978656998048
"Mrpl30",1942.71276677379,-0.311714185358602,0.528015146788503,-0.590350839847136,0.554955461558687,0.999978656998048
"Txndc9",960.297842744067,-0.253605445616976,0.367360048700315,-0.690345742587435,0.489976788456236,0.999978656998048
"Eif5b",6227.47074462762,0.188075178654057,0.619947082886822,0.303372955282366,0.761605653659262,0.999978656998048
"Rev1",274.356194404371,0.139671008210694,0.449880286888457,0.310462610346215,0.756209188301277,0.999978656998048
"Aff3",544.532306507746,-0.76709424296918,1.39267000062123,-0.550808334082734,0.581765070450321,0.999978656998048
"Gm16150",78.7201223908086,-0.693066094690125,1.96070835314325,-0.353477401970088,0.72373056735101,0.999978656998048
"Gm34596",19.5184218271615,0.583321423585066,2.90128384637033,0.201056309714347,0.840654544140835,0.999978656998048
"Lonrf2",16.7726034666178,-0.0265423150667778,1.14484976610405,-0.0231841031483999,0.981503419050184,0.999978656998048
"Chst10",193.210367540473,-0.440283131503798,1.52310422067056,-0.289069602413654,0.772528114799482,0.999978656998048
"Pdcl3",856.20358891382,-0.420010739614309,0.424831780913549,-0.988651881719224,0.322833492935975,0.999978656998048
"Npas2",99.5152067883835,-0.760145267845151,1.36833499584247,-0.555525708364375,0.578535130726485,0.999978656998048
"Rpl31",16408.6159232961,-0.517950988321481,0.378000120224482,-1.37024027403453,0.170611910191683,0.999978656998048
"Tbc1d8",1708.98598315047,0.476365573899656,0.776050716096936,0.613833044695179,0.539325658547227,0.999978656998048
"Gm53550",4.08592256151054,1.02510943867617,2.30138623667457,0.445431289342122,0.656008104566138,NA
"Cnot11",660.645371343161,-0.0142065178359757,0.513384190209588,-0.0276722932004898,0.977923522061149,0.999978656998048
"Snord89",14.7697892957986,0.428755420132179,1.19878174312909,0.357659284177143,0.720598306622024,0.999978656998048
"Rnf149",2031.4898063061,0.278854838432958,0.777983425478581,0.358432878260123,0.720019390602584,0.999978656998048
"Creg2",76.8095902083372,0.9395814826956,1.83577698643203,0.511816789097975,0.608779239050739,0.999978656998048
"D930019O06Rik",5.95387833218898,3.35237675055793,2.56458275859243,1.3071821290719,0.191150863423625,NA
"Rfx8",2.95081333135052,-0.605811218439334,4.54659288822605,-0.13324509876575,0.893999545148735,NA
"Map4k4",3322.88716198015,-0.162565297926172,0.616386389957111,-0.263739272272841,0.791980831700063,0.999978656998048
"Gm16894",3.5975758119789,-4.99851462753403,3.56005590861194,-1.40405509234908,0.160302444785517,NA
"Il1r2",130.548090822315,0.23760788266777,1.10942023420377,0.214173020594222,0.830412134380724,0.999978656998048
"Il1r1",607.008343364789,0.34620038102152,0.671742376428606,0.515376717577552,0.606289798764079,0.999978656998048
"Il1rl2",380.09649125403,0.103220324099399,0.925455808829489,0.11153457908482,0.91119244650717,0.999978656998048
"Il1rl1",58.7382223560838,1.24067168305817,0.911066135029214,1.36178004576845,0.173267310733585,0.999978656998048
"Il18r1",234.941239834898,-0.181046351555522,1.50045373586579,-0.120661068867315,0.903959496173489,0.999978656998048
"Il18rap",138.120580942375,0.275171709895967,1.32421475226105,0.207799912684948,0.835385200793088,0.999978656998048
"Slc9a4",62.1199772340096,-0.119217165639505,1.32733426500497,-0.0898169879152922,0.928432648348152,0.999978656998048
"Slc9a2",108.164072479173,-0.0745141712914574,1.30050577394743,-0.0572963017805635,0.954309166267111,0.999978656998048
"Mfsd9",89.0455212696609,-0.259633427855931,0.59123119096957,-0.4391402751099,0.660559897775276,0.999978656998048
"Tmem182",83.2274818903986,-2.14296415720137,1.25798502003909,-1.70348940811296,0.0884765185079556,0.999978656998048
"4930448I06Rik",1.220307228876,5.42777971585919,5.78849126908753,0.937684702894058,0.348406467393788,NA
"Pou3f3",2.49203687172027,2.26785033323875,3.42270869627758,0.662589350856876,0.507593592321239,NA
"Mrps9",538.456767233092,-0.609589706564468,0.607946439341569,-1.00270298025707,0.316004191541292,0.999978656998048
"Tgfbrap1",948.146630424653,0.400240215461259,0.416776267938539,0.960323910574202,0.336892219753814,0.999978656998048
"8430432A02Rik",29.9678120635433,-0.119751451369586,1.033148730096,-0.115909208307752,0.90772449771535,0.999978656998048
"AI597479",429.339441011452,0.0331995725695596,0.424736780271992,0.0781650521254583,0.937696761297053,0.999978656998048
"Fhl2",51.5556637521388,0.310725124937281,0.729500467274209,0.425942324750402,0.670149872958888,0.999978656998048
"Nck2",1220.22805772979,0.0738475110289217,0.79694703899037,0.0926630094798734,0.92617128468796,0.999978656998048
"Gm38628",1.96548515363078,-0.33642037094986,6.12047998963015,-0.0549663378558303,0.956165281731507,NA
"Ecrg4",60.8023846915204,-2.84340550205745,1.27957738474655,-2.222144229769,0.0262735600183915,0.999978656998048
"Uxs1",655.096139427713,0.0471169864808756,0.387014936839031,0.121744620157833,0.903101274272371,0.999978656998048
"Tpp2",1053.33909604814,0.114407671694216,0.544381049859201,0.210161010791625,0.8335420088529,0.999978656998048
"Mettl21c",1.84978049502095,-0.524155273609096,3.82673827491883,-0.136971811488784,0.891053076251249,NA
"Ccdc168",10.0255177866966,1.38492944830329,1.23259782742402,1.12358582620385,0.261188771823123,NA
"Tex30",440.399242085127,0.243623935145907,0.58870482231301,0.413830371201501,0.678998339762618,0.999978656998048
"Poglut2",247.03440091419,-0.0823128652926531,0.456639738198651,-0.180257779617167,0.85695019966457,0.999978656998048
"Bivm",230.109440792558,0.0105819784081806,0.570331787632628,0.0185540743785386,0.985196839858631,0.999978656998048
"Ercc5",567.275266059124,0.205321334866324,0.413850109264366,0.496124877751732,0.619806308089539,0.999978656998048
"Mettl21e",13.9764583571356,-0.306934252657348,2.38456480256942,-0.128717094342171,0.897581508605718,0.999978656998048
"Gulp1",148.766900809982,-0.400140190133831,0.816786027227815,-0.489895978622349,0.624207508811018,0.999978656998048
"Col3a1",15082.7942009102,-1.00023926739474,0.793679854837661,-1.26025533002765,0.20757726871018,0.999978656998048
"Col5a2",1139.52253995604,-0.156971171394519,0.615398203547893,-0.255072521319609,0.798667087145607,0.999978656998048
"Wdr75",674.881663422956,0.251324360208977,0.403722039994505,0.622518305446981,0.533601110828444,0.999978656998048
"Slc40a1",254.34145596571,-0.472220010783505,0.544595728877812,-0.867101935882891,0.38588616000518,0.999978656998048
"Dnah7b",7.27882497998218,2.75105412886495,1.98958380441968,1.38272844941426,0.166748145220907,NA
"Dnah7c",4.81644999880908,-1.49500745098513,1.73627304936501,-0.861043976655563,0.389213822836855,NA
"Slc39a10",723.343740013476,0.0893472687449952,0.387161901977891,0.230774950449792,0.817489642635102,0.999978656998048
"Tmeff2",77.6522081943696,-0.523013548090634,0.821206940636037,-0.636883984060769,0.524200415812685,0.999978656998048
"Cavin2",764.83110827876,-0.115961969027165,1.07093794378909,-0.10828075492113,0.913772988197208,0.999978656998048
"Nabp1",1463.13177931933,-0.43351658227072,0.466370571288128,-0.929553897608368,0.352602106864357,0.999978656998048
"Gm17767",48.8250841221547,0.21697223252272,1.08257190494259,0.200422929444327,0.841149828181825,0.999978656998048
"Myo1b",415.11082554994,-0.109274768702767,0.448162166403672,-0.243828633683326,0.807363543020089,0.999978656998048
"Stat4",318.692827065411,-0.510585352543783,1.65837141690341,-0.307883594313976,0.758170909668599,0.999978656998048
"Gm31812",9.15894427609489,-0.50669010497292,1.69687922870221,-0.298601159353245,0.765244380746989,NA
"Stat1",3350.06021510244,-0.3885606474443,1.06224780178948,-0.365790964019623,0.714521062979665,0.999978656998048
"Gls",1181.95479917612,0.0429901498623755,0.756371137359642,0.0568373748533643,0.954674741218664,0.999978656998048
"Nab1",1415.25822330888,0.181591940478356,0.473678141157482,0.383365675339414,0.701448649916764,0.999978656998048
"Gm53065",4.53537210055669,0.57372237145884,1.82069612837292,0.315111545808334,0.752676962477055,NA
"Nemp2",341.269382800928,-0.784833521116775,1.40770451058969,-0.557527176486782,0.577167296456687,0.999978656998048
"Mfsd6",2943.12544457576,0.405732326713947,1.04183652769635,0.389439529069958,0.696951035442847,0.999978656998048
"Inpp1",411.373936529571,-0.599194587059671,1.15936060389758,-0.51683193740177,0.605273483383094,0.999978656998048
"Hibch",1421.83646109929,-0.126249335550446,0.718109056436913,-0.175808025840623,0.860444764141708,0.999978656998048
"1700019D03Rik",1214.78177499311,-0.0800529769767501,1.0724402770012,-0.0746456270745417,0.940496670207788,0.999978656998048
"Mstn",5.18465348999461,-4.80107524651715,3.34654318229177,-1.43463717185005,0.151390516295191,NA
"1700019A02Rik",1.54457750627263,4.91338632024024,4.4701357222971,1.09915819686015,0.271699069009993,NA
"Pms1",75.3274991236836,-0.629547118367789,0.875106567234733,-0.719394805088833,0.471897696762796,0.999978656998048
