"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Xkr4",11.8460329547909,1.7319366133469,0.646168837083109,2.6803159080916,0.00735527091633097,0.0444230082083328
"Gm53491",1.16718808320509,-2.50763400210249,2.18036617509766,-1.15009764448863,0.250103656448993,NA
"Sox17",72.6122503852151,-0.420677415622081,0.250915602407507,-1.67656937865055,0.0936267188571674,0.277679357571808
"Mrpl15",774.433714891112,-0.0458472090638264,0.17582542739898,-0.260754145416013,0.794282107989523,0.911582266525781
"Lypla1",1513.93754979923,-0.160130818455158,0.148481214879494,-1.0784584338505,0.280829221865237,0.53685350231918
"Gm57794",4.10721787964498,-0.0518421757356766,0.795060093920856,-0.0652053550820489,0.948010497466218,0.97835098573812
"Tcea1",1469.52971029831,-0.217166138537646,0.169589728765195,-1.28053827386164,0.200355892968079,0.442970685092786
"Rgs20",59.0427492969658,-0.944768151481516,0.241436816508229,-3.91310722674856,9.11160502947889e-05,0.00120947515160829
"Gm16041",0.813789458176718,-3.03321784153813,2.22731773608516,-1.36182538862617,0.173252997164151,NA
"Atp6v1h",2066.11390110836,0.537610388093606,0.16644075403479,3.23004057035954,0.00123772653204425,0.010688472267974
"Oprk1",0.809664870954647,-2.261413747945,3.07074869515336,-0.736437257635002,0.461464637672693,NA
"Gm46206",7.59660188771872,0.212715176817875,0.662323788050098,0.321164935724436,0.748085402930797,0.888056953187172
"4732440D04Rik",141.845815759539,0.346610475755798,0.247184256775683,1.40223524053291,0.160845011448566,0.389917042835796
"Rb1cc1",1179.19855756346,-0.0213394721286317,0.133698366886448,-0.159609070967603,0.873189032995352,0.949556370737308
"St18",2.13421737743604,2.9279570406354,1.77029178743858,1.65394036249348,0.0981396306174117,0.286152032234765
"Pcmtd1",4215.51556033066,-0.135794334921654,0.118710848156955,-1.14390838773313,0.252661632138264,0.505860011660368
"Gm26901",7.68915533349227,-0.91887553079947,0.614603292254722,-1.49507095451523,0.134895925273383,0.350273276721143
"Sntg1",3.85028902211422,-0.10325500192502,0.927037443797145,-0.111381695114803,0.911313674917644,0.963151372343838
"Rrs1",823.453944783928,-0.291259105266309,0.156927631499995,-1.85600905641859,0.0634522671998621,0.214270245622466
"Adhfe1",408.585747871569,-0.90229506000347,0.211034584482757,-4.27557910574224,1.90641092314909e-05,0.000315967418709617
"2610203C22Rik",15.8074816298973,0.0397660392800097,0.492081180925696,0.0808119489658239,0.935591505251408,0.97359644973537
"Vxn",11.2404304691054,0.132779537491181,0.549993050270496,0.241420391450179,0.809229309986175,0.919555778102112
"Mybl1",26.1918926063925,-0.228099549443222,0.301188728640455,-0.757330961463422,0.448851606123771,0.688197086546644
"Vcpip1",902.180990090266,-0.034059281285164,0.145692618495983,-0.233774927218451,0.815159715455161,0.921767099708077
"1700034P13Rik",2.17227630225061,-0.509935178703334,1.06556799834526,-0.478557144635744,0.632253712066406,0.820501249670455
"Gm39590",1.12823383719147,0.0288982518368199,1.68758839002312,0.0171239930350694,0.986337698043342,NA
"Sgk3",166.994333524515,0.076945438603722,0.195722459332807,0.39313545755566,0.694219436807268,0.857672358290511
"Gm6195",2.16569820083912,-0.260322643905319,1.29819142651286,-0.20052716308918,0.841068316325235,0.934049837744372
"Mcmdc2",2.38474491971397,-1.63124725131727,1.59503756635863,-1.02270146216136,0.306449019865197,0.561647129663661
"Snhg6",117.414837974872,0.339604294851547,0.321001539745693,1.05795223013756,0.290077221417685,0.546371830384654
"Snord87",1.66970157036781,-0.813747970007604,1.33355324911573,-0.61021033134387,0.541722486847214,NA
"Tcf24",14.5407122133447,0.196482632208023,0.477107168813003,0.411820750245386,0.680470811085464,0.849625544805854
"Ppp1r42",2.34513527039429,0.40522841201208,1.20087214889938,0.337445091372532,0.735781397837248,0.880915319480165
"Cops5",1117.85037393616,0.298300310648234,0.164629505074107,1.8119492645863,0.0699940362525454,0.228184960323943
"Cspp1",429.659773012944,-0.0831998606939073,0.117013433763871,-0.711028281263856,0.47706671064324,0.709678661104673
"Arfgef1",2665.43774007496,-0.0359980486731922,0.134782573023652,-0.267082367294437,0.789405743479519,0.908591294561011
"Prex2",103.1996288527,-0.210243026165058,0.266329341840862,-0.789409926491253,0.429872456030018,0.673063922806028
"A830018L16Rik",264.578920154996,-2.89878578772305,0.374911119059695,-7.73192802334969,1.0592983527607e-14,9.38610771202583e-13
"Gm30898",6.59192087099474,-4.09095742723674,0.86131041664953,-4.74968994703493,2.03728761013951e-06,4.38640927400131e-05
"Sulf1",140.575134886595,0.256138389046768,0.250305731687396,1.02330213263617,0.306165015729989,0.561374729054262
"Slco5a1",6.58083488956428,-0.433494310248761,0.651346652052466,-0.665535485417438,0.50570805470032,0.732319514328568
"Ncoa2",1353.26163001999,-0.151114978403861,0.16498680324066,-0.915921609702536,0.359708011702368,0.614499951770364
"Tram1",11784.5788491614,-0.630025212402245,0.194222708143157,-3.24382879028681,0.00117934611325824,0.0102418662941971
"Lactb2",2079.96358963967,0.597537651137499,0.120562915347355,4.95623093897431,7.18737814096076e-07,1.73686594842285e-05
"Xkr9",87.9182281900698,3.55595486087945,0.307241502486929,11.5738102831037,5.59419042997166e-31,1.96593126059377e-28
"Eya1",5.51751691117548,-0.753281767200549,0.737306935044038,-1.0216664612758,0.306938790008074,0.561948686271735
"Msc",24.5368057332611,-0.524382167079606,0.512831024684994,-1.02252426596403,0.306532833666788,0.561707795701084
"Gm9947",4.63182322363669,-1.78149104001891,0.959932603472242,-1.85585012278461,0.0634749239550066,0.214276957551792
"Kcnb2",1.01247592322667,1.8872778910237,2.27121363898124,0.830955687581308,0.405998662772615,NA
"Terf1",204.354826892532,-0.308461194173082,0.191888596662974,-1.60750143331786,0.107944415232857,0.303713898362667
