"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Xkr4",6.63717237777345,5.43464068320897,3.2322493652311,1.68138038533435,0.0926890529541926,NA
"Sox17",126.350403979184,0.239453161145414,0.588258714412798,0.407054167288345,0.683968204771759,0.999997843896355
"Mrpl15",1112.52720140995,-0.302583175404887,0.516897339516712,-0.585383503207417,0.55828987864695,0.999997843896355
"Lypla1",1721.99330359684,-0.0195545732988257,0.444059422490522,-0.0440359382290623,0.964875757076987,0.999997843896355
"Gm57794",4.98462666893668,-0.845634273252913,1.55538617730726,-0.543681232089193,0.586660849608867,NA
"Tcea1",1772.38670864755,-0.305502717732911,0.367140409089903,-0.83211411811142,0.405344533589614,0.999997843896355
"Rgs20",36.4877350792753,0.765482452881578,1.34722093313694,0.56819370457612,0.569903445715895,0.999997843896355
"Atp6v1h",1330.57191248094,-0.00835922977201756,0.508085678728299,-0.0164524018723379,0.98687347474526,0.999997843896355
"Npbwr1",1.98041391568541,-2.76757858683246,3.87911379064907,-0.713456406848375,0.475563379296652,NA
"Gm46206",3.44131271609171,-1.05260028714353,2.31128283408654,-0.455418208286714,0.648808398228985,NA
"4732440D04Rik",115.097900431249,-0.265398055036194,0.592699720382194,-0.447778269348695,0.654313227946737,0.999997843896355
"Rb1cc1",1105.39123420333,-0.173314582064377,0.51718997247227,-0.335108163903294,0.737543494665522,0.999997843896355
"St18",2.99566033339344,0.997715111894308,3.31290645820041,0.301160061258195,0.763292443319417,NA
"Pcmtd1",3711.86960813887,-0.189159001583535,0.677195173733968,-0.279327155479471,0.779993768262456,0.999997843896355
"Gm26901",9.2572753442283,0.268287097171566,1.31845049883607,0.203486666665461,0.838754666140284,NA
"Sntg1",8.43787507499337,3.2119692642342,1.55885925799212,2.06046135837263,0.039354456304399,NA
"Rrs1",966.158068403878,-0.522516451269531,0.352811455485093,-1.48100761227014,0.138604545015722,0.999997843896355
"Adhfe1",718.081536691041,1.33331470301398,0.722028681056981,1.84662290847247,0.064801811667309,0.999997843896355
"2610203C22Rik",15.4820280739123,0.175076425642111,1.22889586541569,0.142466445342697,0.886711581725625,0.999997843896355
"Vxn",8.46043478068133,-0.477884913864752,2.4155619522557,-0.197835916987554,0.843173443826047,NA
"Mybl1",107.271088349193,-1.31751283383586,1.29889510955936,-1.0143335086409,0.310423639981203,0.999997843896355
"Vcpip1",861.163827056192,0.0394893854549901,0.449734843315046,0.0878059284086361,0.930030925778972,0.999997843896355
"1700034P13Rik",1.92647743025269,0.117415003191484,3.49888633170575,0.033557821563824,0.973229756824993,NA
"Sgk3",370.154335475402,-0.183730770554148,0.956645684410701,-0.192057282594995,0.847697335489949,0.999997843896355
"Gm6195",3.6610275715276,-0.480876332382088,2.91582137565242,-0.164919681430928,0.869007200975471,NA
"Mcmdc2",3.17323311427098,5.16880236498676,3.46825119628937,1.49031949315459,0.136140249400366,NA
"Snhg6",180.548974897434,0.271133822610276,0.460311519618123,0.58902245773734,0.555846208570189,0.999997843896355
"Snord87",5.70042444273386,-1.09828931936023,1.92277059287766,-0.571201433716807,0.567863106475525,NA
"Tcf24",21.7164196447805,-1.07220034220332,1.29900185774538,-0.825403240041776,0.409142696054553,0.999997843896355
