"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",44.6726185981103,0.63068339308152,0.483558131971933,1.30425558248729,0.192146454294063,0.859958944487731
"A1BG-AS1",13.688368947556,-0.137008777283344,0.709917273509021,-0.192992595610653,0.846964766928663,0.993748672245521
"A1CF",18.4348269415285,0.595348629491382,0.668333542664512,0.890795675341755,0.373038795662673,0.939095606957771
"A2M",5425.52355737644,0.0562044184964653,0.218523216467645,0.257201131325957,0.797023510708838,0.991762641250566
"A2M-AS1",69.159022797882,0.112931819548947,0.590741910682038,0.19116947266965,0.848392819794887,0.993900861215524
"A2ML1",30.1621967147683,-0.885857678551501,0.512869455869902,-1.72725762552764,0.084121405740679,0.73181803874094
"A2ML1-AS1",1.89661534377874,0.0825099654974751,2.02111562992834,0.0408239708187306,0.967436229335744,NA
"A2MP1",26.3778918154884,0.900700744682059,0.752250996396336,1.19734071340134,0.231173781619979,0.888243805868544
"A3GALT2",2.95407954958875,-0.851264042443006,1.5918726467373,-0.534756372746122,0.592818334533312,NA
"A4GALT",398.285832940457,-0.340240173810335,0.337191033779004,-1.00904276723244,0.312954124058746,0.920767360020147
"AAAS",51.9787626337096,1.24970097035242,0.388099196595489,3.22005554588913,0.00128165760615229,0.105212881052578
"AACS",2061.15504463035,-0.0463800699828963,0.174299137002685,-0.266094662202383,0.79016630579985,0.991059252946146
"AACSP1",2.84097803057554,1.30533189607854,1.60050869435785,0.815573136640948,0.414744318907725,NA
"AADACL2-AS1",2.26016026505361,2.62558604850765,2.05452731401454,1.27795139572871,0.201266564454654,NA
"AADACP1",3.81110841044992,0.0678816223631299,1.48015578090771,0.0458611338338328,0.96342093227063,NA
"AADAT",26.4102696791446,-0.556078417548709,0.611891350476749,-0.908786203817795,0.363462990361732,0.939059506282778
"AAGAB",421.724425657116,-0.104035650069364,0.234833597565138,-0.443018593370168,0.657752285970327,0.986344883357767
"AAK1",1341.14564933007,-0.136529961234782,0.157836044643156,-0.865011294115079,0.387032589879483,0.943714542406808
"AAMDC",180.691734955011,0.105008297237772,0.261817318672024,0.401074679743835,0.688365142118663,0.986382050868729
"AAMP",994.215628206685,-0.0104982441088973,0.158939018726475,-0.0660520254435711,0.947336405540135,0.997128757902997
"AANAT",16.1036370871729,-0.625445571229528,0.768616734314398,-0.813728797861034,0.415800332787422,0.952021804698174
"AAR2",384.854014377007,-0.0360233439005897,0.211367813199245,-0.170429656982033,0.864672250410152,0.995383094706016
"AARD",24.7178089093302,-0.163570657210972,0.517962489599227,-0.31579633756401,0.752157098174536,0.989342740927758
"AARS1",1698.80579858289,-0.345927259060411,0.244322745994452,-1.41586186604282,0.156815951862315,0.839280218321117
"AARS2",447.275706124363,-0.0114266493125541,0.20443927780207,-0.0558926319609529,0.955427340499385,0.997702796386979
"AASDH",471.801096811933,0.175917021435937,0.219395966457153,0.801824319182698,0.422654588971165,0.952494465990902
"AASDHPPT",648.729747089125,0.260881928685104,0.189232035674815,1.37863511193959,0.168007285079703,0.843629746505888
"AASS",705.462371322727,-0.26523209758475,0.267451690563631,-0.991700957379616,0.321343423900547,0.924383882657128
"AATBC",64.896848783059,0.14657379649595,0.370096670419235,0.396041921506389,0.692074102405854,0.986382050868729
"AATF_1",19.34757039239,-0.869389735204526,0.79296919468794,-1.09637264729642,0.272915729055065,0.902335465589412
"AATK",197.181065272045,0.873582186961855,0.470859607985745,1.85529226152756,0.0635545026767744,0.677564769687956
"ABALON",28.1514816338591,0.306173911310998,0.539207224567964,0.567822346142186,0.570155604708206,0.978289136117151
"ABAT",254.025365846205,-0.199626937266765,0.264847876660139,-0.753741883016615,0.451004227283912,0.955512986499998
"ABCA1",878.282545897247,-0.11183357125727,0.243817413719714,-0.458677538864515,0.646465745931683,0.986344883357767
"ABCA10",697.233212727279,0.700730681088237,0.200342919761926,3.49765632806459,0.000469365541297262,0.0575772842989084
"ABCA11P",178.327127797943,-0.0668283112232482,0.259599750782863,-0.2574282564668,0.796848192200669,0.991762641250566
"ABCA12",10.1037501749029,-0.733650514606464,0.82870472959944,-0.885297849043385,0.375996009786787,0.939095606957771
"ABCA13",8.16450723947042,1.04051206968856,1.23096569716807,0.845281125284266,0.397953896812232,NA
"ABCA15P",2.06285747565306,2.53118124250386,2.71153784005409,0.933485494878202,0.350569356240083,NA
"ABCA15P_1",3.16070770069577,-0.759362708050725,2.1186038173777,-0.358426007648106,0.720024531491484,NA
"ABCA17P",17.6984524111,0.189993376864142,0.722315493260052,0.263033783211043,0.792524540420752,0.991059252946146
"ABCA2",923.579574970257,0.0150036162294096,0.21842305414207,0.0686906255767794,0.945235880285348,0.997061576034235
"ABCA3",796.075140883946,-0.311999728482543,0.163733014243477,-1.90553951458188,0.056709976061434,0.653344921646937
"ABCA4",5.48337522028689,0.325963611961795,1.36260139252571,0.239221546190842,0.810933796182095,NA
