comparison,tissue_1,tissue_2,n_shared_pairs,r_tissue_1,r_tissue_2,correlation_difference,lower_95_CI,upper_95_CI,bootstrap_p_value,adjusted_p_value,higher_correlation,confidence_interval_excludes_zero,significant_unadjusted,significant_adjusted
PAR vs LIV,PAR,LIV,1259,0.5739470432473356,0.7877695965257056,-0.21382255327836996,-0.2612413295027291,-0.1663404296226709,1.9998000199980003e-4,4.999500049995e-4,LIV,TRUE,TRUE,TRUE
SM vs LIV,SM,LIV,1259,0.5780860468193427,0.7877695965257056,-0.20968354970636283,-0.2595006516483162,-0.1596318131486868,1.9998000199980003e-4,4.999500049995e-4,LIV,TRUE,TRUE,TRUE
SL vs LIV,SL,LIV,1259,0.6045663347853486,0.7877695965257056,-0.18320326174035695,-0.2289189527370072,-0.1388781971849242,1.9998000199980003e-4,4.999500049995e-4,LIV,TRUE,TRUE,TRUE
PANC vs LIV,PANC,LIV,1259,0.6424950149754806,0.7877695965257056,-0.145274581550225,-0.18249315914103065,-0.10912406889375241,1.9998000199980003e-4,4.999500049995e-4,LIV,TRUE,TRUE,TRUE
PAR vs PANC,PAR,PANC,1259,0.5739470432473356,0.6424950149754806,-0.06854797172814497,-0.11556198969365575,-0.02018347072513464,0.0051994800519948,0.0103989601039896,PANC,TRUE,TRUE,TRUE
SM vs PANC,SM,PANC,1259,0.5780860468193427,0.6424950149754806,-0.06440896815613784,-0.111897601501325,-0.016483982933929983,0.0093990600939906,0.015665100156651002,PANC,TRUE,TRUE,TRUE
SM vs SL,SM,SL,1263,0.5797226442181769,0.6058022294229692,-0.026079585204792366,-0.05040771540830377,-0.0015625174414725302,0.039196080391960805,0.05599440055994401,SL,TRUE,TRUE,FALSE
PAR vs SL,PAR,SL,1263,0.5747976355789747,0.6058022294229692,-0.031004593843994566,-0.060623464027442175,-5.767534463373434e-4,0.0461953804619538,0.05774422557744226,SL,TRUE,TRUE,FALSE
SL vs PANC,SL,PANC,1259,0.6045663347853486,0.6424950149754806,-0.03792868019013196,-0.08532800109681263,0.009855802520373684,0.11938806119388061,0.13265340132653403,PANC,FALSE,FALSE,FALSE
PAR vs SM,PAR,SM,1263,0.5747976355789747,0.5797226442181769,-0.0049250086392022,-0.030653805279503125,0.021499618981100088,0.7131286871312869,0.7131286871312869,SM,FALSE,FALSE,FALSE
