human_gene,mouse_gene,TPM_human,TPM_mouse
A1BG,A1bg,425.681874045802,114.286578977367
A2M,A2m,470.363451526718,0.04351510759470825
ABHD15,Abhd15,14.9827587022901,17.928805447871866
ABO,Abo,0.185656709923664,0.07976082613647825
ACAN,Acan,0.0204880381679389,0.0033534071565
ACE,Ace,0.868652729007634,0.9378957941032624
ACE2,Ace2,0.48422936259542,0.652631865523906
ACP3,Acp3,0.150520625954198,1.6637662600824887
ACP7,Acp7,0.0112040572519084,0.00140093450989193
ACRBP,Acrbp,1.37147994274809,3.7921067386929743
ADAM23,Adam23,0.142134045801527,4.0458230488024105
ADAMDEC1,Adamdec1,0.0948219770992366,1.0855298543936267
ADAMTS1,Adamts1,22.9256833587786,2.835683220362642
ADAMTS10,Adamts10,6.05085463358779,2.7659807614567593
ADAMTS12,Adamts12,0.735958675572519,0.10343825310699135
ADAMTS13,Adamts13,18.4822021755725,1.8783920266225584
ADAMTS14,Adamts14,0.268564488549618,0.5509530204937093
ADAMTS15,Adamts15,0.419547580152672,0.2552136254005428
ADAMTS16,Adamts16,0.0502169923664122,0.0244252227045662
ADAMTS17,Adamts17,4.75344457633588,0.03448997113603395
ADAMTS18,Adamts18,0.00693702671755725,0.00515293311629237
ADAMTS19,Adamts19,0.00403853053435115,8.7669087247156e-4
ADAMTS2,Adamts2,8.3089038129771,1.2510055570165075
ADAMTS20,Adamts20,8.5636641221374e-4,0.00318087870060291
ADAMTS3,Adamts3,0.242940122137405,0.04326047144128788
ADAMTS4,Adamts4,3.83899377480916,0.14272745402354756
ADAMTS5,Adamts5,0.647408645038168,0.5536897438458342
ADAMTS6,Adamts6,0.165547645038168,0.24962301678729065
ADAMTS7,Adamts7,0.951401133587786,5.265768074571647
ADAMTS8,Adamts8,0.199857385496183,0.06843870899129303
ADAMTS9,Adamts9,2.44848815648855,0.2044564216749966
ADAMTSL1,Adamtsl1,0.365898125954198,0.1178810917557294
ADAMTSL2,Adamtsl2,23.9781825954199,1.8788978811419936
ADAMTSL3,Adamtsl3,3.59521665648855,0.04095196169860361
ADAMTSL4,Adamtsl4,13.2439830152672,1.6970761222328703
ADAMTSL5,Adamtsl5,2.57433850763359,0.5410680103551252
ADCYAP1,Adcyap1,0.202672606870229,0
ADGRB1,Adgrb1,0.247241053435114,0.00670657737390955
ADGRG1,Adgrg1,1.66152145038168,1.9166990904560133
ADIPOQ,Adipoq,0.107027179389313,1.2211554276657297
ADM,Adm,48.6974575572519,1.0200199805372925
ADM2,Adm2,3.04041772519084,0.11077360968104888
AEBP1,Aebp1,23.478113740458,1.1497870683903253
AFM,Afm,307.772170610687,283.75731898138656
AFP,Afp,1.77624759923664,2.610955615393821
AGER,Ager,6.8065620610687,0.4929540433743243
AGGF1,Aggf1,5.83161736259542,18.532564124094907
AGRN,Agrn,14.824063740458,7.658902362032799
AGRP,Agrp,0.0838325687022901,0.35100692985233267
AGT,Agt,397.513633206107,813.5157859716312
AHSG,Ahsg,1684.93316030534,11035.509343466214
AIMP1,Aimp1,7.16809530534351,36.14986763483926
ALB,Alb,28584.5047328244,60483.6438910545
ALKAL1,Alkal1,0.182631015267176,0
ALKAL2,Alkal2,1.71197309541985,0.02381688076255139
AMBN,Ambn,0.0034689427480916,0
AMBP,Ambp,3780.87653053435,6829.4544819197445
AMH,Amh,0.442812874045802,0.21218010140850835
AMTN,Amtn,0.00127639694656489,0.01791981062466975
ANGPT1,Angpt1,0.383038614503817,0.21898455038171777
ANGPT2,Angpt2,0.453147419847328,0.3403696851649691
ANGPT4,Angpt4,0.160536072519084,0.06382847836053365
ANGPTL1,Angptl1,2.61713007633588,0.22823160600664608
ANGPTL2,Angptl2,6.17725267938931,5.2866898359144106
ANGPTL3,Angptl3,142.350189312977,677.8948428258346
ANGPTL4,Angptl4,106.571042748092,58.01675198021538
ANGPTL6,Angptl6,18.6742136641221,8.445116783139316
ANGPTL7,Angptl7,0.0925267671755725,0.5215413137669277
ANGPTL8,Angptl8,237.119374656489,200.5084745095382
ANXA1,Anxa1,6.70171741603053,5.779458118719259
AOAH,Aoah,2.079979,0.25025724221705836
APCS,Apcs,1788.66145419847,625.2136681693155
APELA,Apela,0.00135569083969466,0
APLN,Apln,1.14507151145038,0.04364444579762286
APOA1,Apoa1,9062.60603435114,19490.346672885255
APOA2,Apoa2,6210.7051259542,12244.462897740284
APOA4,Apoa4,157.469364133588,859.703089126502
APOA5,Apoa5,344.157685114504,1192.2209690787197
APOB,Apob,396.714185114504,522.6354928346199
APOC1,Apoc1,3374.02833206107,4916.426237504357
APOC3,Apoc3,8547.36906870229,4023.593265865096
APOC4,Apoc4,330.580580152672,866.3635134107342
APOD,Apod,4.15532174045802,0.8037914239593297
APOE,Apoe,3591.53238549618,22030.147343122226
APOF,Apof,196.651527977099,693.537823347001
APOH,Apoh,3487.26186641221,3481.039672004963
APOM,Apom,196.32706259542,616.263241354144
APOO,Apoo,4.7877083778626,20.736476916825932
APP,App,73.6627819465649,8.65586466849607
ARSI,Arsi,0.304368530534351,0.05768668001028803
ARSJ,Arsj,1.24814230916031,0.02764712389397794
ARSK,Arsk,1.87543050763359,3.6900405451223137
ART5,Art5,0.215701305343511,0.02652555156855691
ARTN,Artn,0.290144633587786,0.01817039908584289
ASIP,a,0.664869370229008,0.01072001596778188
ASPN,Aspn,11.7789781450382,0.11112788245987756
AVP,Avp,0.176600709923664,0
AZGP1,Azgp1,969.645858778626,1808.3974960462924
B2M,B2m,977.767406870229,2803.55632474996
B3GAT1,B3gat1,2.12139391603053,9.309698292640916e-4
BCAN,Bcan,0.0643154618320611,0.05970542163004762
BCHE,Bche,24.5486190801527,23.397815694763008
BDNF,Bdnf,0.0641040190839695,0.5264284085545097
BGN,Bgn,271.367665648855,48.721683396830585
BMP1,Bmp1,19.1815777862595,54.612628376365635
BMP10,Bmp10,3.66799722137405,0.8123823896104667
BMP15,Bmp15,0.00153561832061069,0.00781039801888545
BMP2,Bmp2,2.95903940076336,7.200445492233177
BMP3,Bmp3,0.0123113893129771,0.03041487821713019
BMP4,Bmp4,1.94908241603053,4.112293179844046
BMP5,Bmp5,0.983299438931298,3.25111795852309
BMP6,Bmp6,1.05665964122137,2.716846173126669
BMP7,Bmp7,0.0279380763358779,0.9598935789936056
BMPER,Bmper,1.510194,0.28754597206245447
BPI,Bpi,0.461352938931298,0
BPIFA2,Bpifa2,0.0187076488549618,4426.644678320959
BPIFA3,Bpifa3,0.0119143511450382,0
BPIFB1,Bpifb1,0.0544836717557252,0.3891216707712427
BPIFB2,Bpifb2,0.638205973282443,0.12558748944416634
BPIFB3,Bpifb3,0.00223730152671756,0.00815020687504554
BPIFB4,Bpifb4,0.0183328244274809,0.03312856851711392
BPIFB6,Bpifb6,0.00261177099236641,0.00662722198620231
BPIFC,Bpifc,0.020646179389313,0
BRINP2,Brinp2,0.119974748091603,0.0013265150071417
BRINP3,Brinp3,0.00507101908396947,0
BSPH1,Bsph1,0.00364788549618321,0
BTBD17,Btbd17,0.0311318244274809,0.00340286415548998
BTC,Btc,0.384986003816794,0.9514626514407312
BTD,Btd,5.76218278625954,82.58946938968613
C17orf67,Gm525,2.20738886259542,0.02799337541388595
C1QA,C1qa,42.8244980916031,67.55207550459083
C1QB,C1qb,54.902434389313,51.485821641826305
C1QBP,C1qbp,60.7600822137405,108.91495999377926
C1QC,C1qc,41.7284655496183,54.12104082575329
C1QL1,C1ql1,0.498474801526718,0.02800332058940297
C1QL2,C1ql2,0.0587847557251908,0.0033883319600181
C1QL3,C1ql3,0.374451385496183,0.24420556671355848
C1QL4,C1ql4,0.0203454198473282,0.5652619185544171
C1QTNF1,C1qtnf1,19.1689624427481,5.119688863971203
C1QTNF12,C1qtnf12,1.41973846183206,2.981267485665285
C1QTNF2,C1qtnf2,0.378466083969466,0.6827280464517139
C1QTNF3,C1qtnf3,3.25335603053435,0.10231485071910404
C1QTNF4,C1qtnf4,0.586696145038168,0.1484995998478784
C1QTNF5,C1qtnf5,0.163826748091603,0
C1QTNF6,C1qtnf6,6.61725319465649,1.1308668189345017
C1QTNF7,C1qtnf7,0.435450641221374,0.18707824461414865
C1RL,C1rl,89.8514,94.42926421831588
C1orf56,Gm128,5.7036528740458,0.06924014084632223
C2,C2,209.347885877863,82.40475701726231
C3,C3,2189.97207633588,3905.50677776937
C5,Hc,149.294780916031,217.3746840083616
C5orf46,Gm94,0.129758377862595,0
C6,C6,164.561263740458,78.82779902346152
C6orf58,2310057J18Rik,0.0835503091603053,266.0340758325042
C7,C7,63.3483969847328,0.43387020553757416
C8A,C8a,294.407628244275,398.7765042633365
C8B,C8b,306.369802290076,364.3332503211698
C8G,C8g,427.830727862595,347.0625987601576
