human_gene,mouse_gene,TPM_human,TPM_mouse
A1BG,A1bg,1.78437798618785,0.5613814368478187
A2M,A2m,53.6650519060774,0.00336251581877972
ABHD15,Abhd15,6.11479814917127,0.4028722474806834
ABO,Abo,6.65644206629834,0.05951256972235543
ACAN,Acan,0.0873808756906077,0
ACE,Ace,2.20890894198895,57.76229934399136
ACE2,Ace2,0.948610729281768,59.573562156987855
ACP3,Acp3,1.03949821546961,1.61209870403999
ACP7,Acp7,0.039685044198895,0.00183940948028791
ACRBP,Acrbp,1.42805809116022,2.6372108622989505
ADAM23,Adam23,0.255795867403315,0.6935062830810902
ADAMDEC1,Adamdec1,0.101730961325967,17.043396817782803
ADAMTS1,Adamts1,17.9264231491713,1.7727707265870285
ADAMTS10,Adamts10,8.14465185082873,5.170421909198462
ADAMTS12,Adamts12,0.341756693370166,0.4014697424459834
ADAMTS13,Adamts13,2.48038683425414,0.1999944650495037
ADAMTS14,Adamts14,0.242257505524862,0.3687689218000631
ADAMTS15,Adamts15,0.83127135359116,0.6656968724301496
ADAMTS16,Adamts16,0.977440292817679,0.1460066361269528
ADAMTS17,Adamts17,2.80808600276243,0.1147110854207364
ADAMTS18,Adamts18,0.0402545524861878,0.04343250686443473
ADAMTS19,Adamts19,0.0415273508287293,0.02889706831985875
ADAMTS2,Adamts2,2.89484456906077,1.2008023881520982
ADAMTS20,Adamts20,5.397541436464e-4,0.07677170114795773
ADAMTS3,Adamts3,0.160048035911602,0.06183105876370208
ADAMTS4,Adamts4,2.89334864088398,0.1503801833080738
ADAMTS5,Adamts5,0.340053085635359,0.8698624063176632
ADAMTS6,Adamts6,0.0661679143646409,0.3006802746622972
ADAMTS7,Adamts7,0.509055903314917,0.26149611361947467
ADAMTS8,Adamts8,0.581724679558011,0.31248545053176247
ADAMTS9,Adamts9,3.67336330939227,0.8339757990491787
ADAMTSL1,Adamtsl1,0.182086190607735,0.20692413105125265
ADAMTSL2,Adamtsl2,4.6696266878453,0.3092673449260492
ADAMTSL3,Adamtsl3,2.35411022099448,0.4020427657089013
ADAMTSL4,Adamtsl4,2.57134203314917,1.4670753465091813
ADAMTSL5,Adamtsl5,0.440691461325967,3.741315696279756
ADCYAP1,Adcyap1,2.28785579558011,0.00492749647596385
ADGRB1,Adgrb1,0.415943325966851,0.02287317283363207
ADGRG1,Adgrg1,18.2882385911602,4.4407218017476255
ADIPOQ,Adipoq,2.07930974585635,5.964444645215068
ADM,Adm,7.50226775966851,1.0085829005605451
ADM2,Adm2,10.3356147513812,5.710040127318251
AEBP1,Aebp1,17.3511543646409,4.211252939351287
AFM,Afm,0.280675883977901,2.833823929849651
AFP,Afp,0.0200574254143646,1.840622724792992
AGER,Ager,4.41039748618785,0.7577263309954592
AGGF1,Aggf1,5.08296387016575,7.350649970495232
AGRN,Agrn,27.4974290883978,6.991499862896736
AGRP,Agrp,0.0601016574585635,0.3069664161381015
AGT,Agt,2.4587555801105,7.204040584180188
AHSG,Ahsg,0.478884400552486,50.99755312808329
AIMP1,Aimp1,7.11982201657459,22.740267748358356
ALB,Alb,344.217372099448,274.3053513447335
ALKAL1,Alkal1,0.164419698895028,0.04061488973613733
ALKAL2,Alkal2,24.5152182044199,0.14636641057594937
AMBN,Ambn,0.0028407817679558,0.00172635057047496
AMBP,Ambp,66.7095932872928,43.75955476108621
AMH,Amh,1.77990335911602,0.209692027887916
AMTN,Amtn,0.00315745856353591,0.02421058183791792
ANGPT1,Angpt1,0.571407809392265,0.949765708081704
ANGPT2,Angpt2,0.326586215469613,0.5370125132493069
ANGPT4,Angpt4,0.150676610497238,0.1617353146903859
ANGPTL1,Angptl1,3.69682616298343,2.30697040405002
ANGPTL2,Angptl2,3.21273775690608,4.188501126988097
ANGPTL3,Angptl3,0.178464759668508,2.9784152340801366
ANGPTL4,Angptl4,41.6806129005525,3.70013245462636
ANGPTL6,Angptl6,0.620522345303867,0.8058192735539365
ANGPTL7,Angptl7,0.217614223756906,0.6847167801886114
ANGPTL8,Angptl8,0.470781104972376,7.101447106590463
ANXA1,Anxa1,7.9757329281768,10.837730020536675
AOAH,Aoah,0.820288013812155,0.14027235480286818
APCS,Apcs,6.9691694198895,3.175915272358816
APELA,Apela,0.00300627071823204,0
APLN,Apln,0.266446538674033,0.44152358773272743
