"Tissue","Sample","Expressed_genes_TPM_greater_than_2"
"PAR","Mous-1B-PAR-Mal-L",10829
"PAR","Mous-2B-PAR-Mal-L",8134
"PAR","Mous-3B-PAR-Mal-L",9829
"PAR","Mous-3A-PAR-Mal-L",9712
"PAR","Mous-4A-PAR-Fem-L",7818
"PAR","Mous-5A-PAR-Fem-L",12097
"SM","Mous-1B-SM-Mal-L",10104
"SM","Mous-2B-SM-Mal-L",9994
"SM","Mous-3B-SM-Mal-L",10672
"SM","Mous-4B-SM-Fem-L",8791
"SM","Mous-5B-SM-Fem-L",9936
"SM","Mous-6B-SM-Fem-L",9673
"SM","Mous-1A-SM-Mal-L",8122
"SM","Mous-2A-SM-Mal-L",9585
"SM","Mous-3A-SM-Mal-L",10209
"SM","Mous-4A-SM-Fem-L",9445
"SM","Mous-5A-SM-Fem-L",11610
"SM","Mous-6A-SM-Fem-L",9080
"SL","Mous-1B-SL-Mal-L",11532
"SL","Mous-2B-SL-Mal-L",11515
"SL","Mous-3B-SL-Mal-L",12026
"SL","Mous-4B-SL-Fem-L",12137
"SL","Mous-5B-SL-Fem-L",12274
"SL","Mous-6B-SL-Fem-L",12048
"SL","Mous-1A-SL-Mal-L",12499
"SL","Mous-2A-SL-Mal-L",12516
"SL","Mous-3A-SL-Mal-L",12386
"SL","Mous-4A-SL-Fem-L",12300
"SL","Mous-5A-SL-Fem-L",12302
"SL","Mous-6A-SL-Fem-L",12201
"PANC","Mous-1B-PANC-Mal",5682
"PANC","Mous-2B-PANC-Mal",5920
"PANC","Mous-3B-PANC-Mal",5863
"PANC","Mous-4B-PANC-Fem",5649
"PANC","Mous-5B-PANC-Fem",6365
"PANC","Mous-6B-PANC-Fem",6439
"PANC","Mous-1A-PANC-Mal",5417
"PANC","Mous-2A-PANC-Mal",5393
"PANC","Mous-3A-PANC-Mal",5511
"PANC","Mous-4A-PANC-Fem",5498
"PANC","Mous-5A-PANC-Fem",12517
"PANC","Mous-6A-PANC-Fem",12164
"LIV","Mous-1B-LIV-Mal",9566
"LIV","Mous-2B-LIV-Mal",9639
"LIV","Mous-3B-LIV-Mal",9759
"LIV","Mous-4B-LIV-Fem",10128
"LIV","Mous-5B-LIV-Fem",9624
"LIV","Mous-6B-LIV-Fem",10246
"LIV","Mous-1A-LIV-Mal",9975
"LIV","Mous-2A-LIV-Mal",10277
"LIV","Mous-3A-LIV-Mal",10317
"LIV","Mous-4A-LIV-Fem",10116
"LIV","Mous-5A-LIV-Fem",10458
"LIV","Mous-6A-LIV-Fem",10364
