"gene_id","gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000075551","Cyp3a41a",7570.34585543993,-9.552879771069,0.321023103069419,-29.7576083457248,1.38247932843093e-194,2.14256646320225e-190
"ENSMUSG00000069049","Eif2s3y",480.58649989463,6.56871960286088,0.229668411020441,28.6008840905694,6.55077662479212e-180,5.07619680655141e-176
"ENSMUSG00000026691","Fmo3",3359.78175823708,-8.05071246075246,0.316446298885882,-25.4410068599214,8.87785983999356e-143,4.58630239334067e-139
"ENSMUSG00000069045","Ddx3y",400.156271628463,7.08969140632114,0.321390417169552,22.0594362108218,7.75432474800724e-108,3.0044131236154e-104
"ENSMUSG00000069668","Sult3a1",559.004674491241,-9.24930530507204,0.47693663350936,-19.3931534195947,8.81623698806662e-84,2.73268081682113e-80
"ENSMUSG00000060803","Gstp1",32575.2179661051,2.87508797252499,0.153640489658045,18.7130877994728,3.87272995395984e-78,1.00032614710783e-74
"ENSMUSG00000073842","Mup7",154684.35694554,7.98983131370974,0.428547337606862,18.6439877525021,1.41303651811548e-77,3.12846285110768e-74
"ENSMUSG00000056673","Kdm5d",128.026297937939,5.90372395385727,0.320292069875798,18.4323138445064,7.23226006855164e-76,1.40106958178017e-72
"ENSMUSG00000078672","Mup20",58530.7047352352,5.77809530318567,0.356662937990313,16.2004365683283,5.00703478938503e-59,8.62211390732102e-56
"ENSMUSG00000068457","Uty",115.227481517664,6.4604115154889,0.400723724220585,16.1218593385119,1.79137342685844e-58,2.77627053694521e-55
"ENSMUSG00000079494","Nat8f5",183.220281791641,4.16634291365879,0.319436093925612,13.0428057219765,6.98388691711875e-39,9.83966176740967e-36
"ENSMUSG00000054417","Cyp3a44",357.812980215212,-6.50325231051475,0.521802635335799,-12.4630499543753,1.18740947578655e-35,1.53353933797833e-32
"ENSMUSG00000040583","Cyp2b13",2139.61345661864,-8.77581181747601,0.715261677188004,-12.269372311372,1.32274781791205e-34,1.57691889861545e-31
"ENSMUSG00000038754","Elovl3",1643.88773084504,5.11711439620937,0.448526896040983,11.4087124794001,3.78287097091381e-30,4.18763816480158e-27
"ENSMUSG00000022181","C6",2778.06285078639,4.03145628311302,0.354401852232785,11.3753815272529,5.54598020182388e-30,5.73010674452444e-27
"ENSMUSG00000053303","Slc22a26",1386.91881189805,-7.2821431661257,0.643325620432521,-11.3195292319149,1.05034438191108e-29,1.01738982692862e-26
"ENSMUSG00000038092","Hsd3b5",2842.59780072199,3.17735553523791,0.290820115748492,10.9255012400372,8.70583956226204e-28,7.93665303152571e-25
"ENSMUSG00000070811","Sult2a2",205.197141603654,-9.25255149658047,0.853201803859196,-10.8445053148381,2.11778410640834e-27,1.82341211561758e-24
"ENSMUSG00000078798","Sult2a1",314.444352726581,-9.02244052624701,0.848720821184381,-10.6306341273168,2.14647982008023e-26,1.75084969745281e-23
"ENSMUSG00000078799","Sult2a5",66.5268364074919,-7.04646296972173,0.669269667665336,-10.5285855764276,6.37856900828781e-26,4.94275312452222e-23
"ENSMUSG00000040660","Cyp2b9",3829.52683488863,-6.31614536961735,0.629285990405217,-10.0370029937425,1.04810243951629e-23,7.73499600363023e-21
"ENSMUSG00000027870","Hao2",278.275998448326,-7.93840766488826,0.804847241295212,-9.86324765444093,6.00742131682084e-23,4.23195525309497e-20
"ENSMUSG00000066153","Mup21",2752.33638154979,6.15049367366776,0.640735738922725,9.59911130290412,8.06366661156238e-22,5.43350891939103e-19
"ENSMUSG00000028603","Scp2",73304.2288038643,1.04705882013157,0.111222894453105,9.41405836703017,4.773416532463e-21,3.08243372583798e-18
"ENSMUSG00000090298","Sult3a2",44.8211419768834,-8.92711229746993,0.959198357358225,-9.30684694045611,1.31683456061415e-20,8.16332080815926e-18
"ENSMUSG00000024424","Ttc39c",5470.26948640648,1.90667951249083,0.205940701477096,9.25839088055587,2.07536149674047e-20,1.23707509524938e-17
"ENSMUSG00000066154","Mup3",120065.732806972,1.49063614639244,0.161510800607863,9.22932795071455,2.72335179891111e-20,1.56320393257498e-17
"ENSMUSG00000039519","Cyp7b1",3355.19347595302,3.33512928591249,0.364367395364282,9.15320450826325,5.52692184527737e-20,3.05915124136103e-17
"ENSMUSG00000078597","Cyp4a12b",620.591556517008,6.77045385473742,0.751918827467145,9.00423504162523,2.17174500694826e-19,1.16061048681669e-16
"ENSMUSG00000028238","Atp6v0d2",129.139676753696,-2.71501891997384,0.30498436569189,-8.90215770180392,5.47713745609035e-19,2.82948920981628e-16
"ENSMUSG00000072568","Lratd2",410.682169065298,-1.55298156394168,0.184193315597697,-8.43125907638038,3.41965725144842e-17,1.70960800267573e-14
"ENSMUSG00000032420","Nt5e",728.023943442209,-2.50591040652432,0.298409064640384,-8.39756798120131,4.558206613582e-17,2.20759644054043e-14
