transcript_id,gene_id,gene_name
ENSMUST00000194081,ENSMUSG00000104478,Gm38212
ENSMUST00000194393,ENSMUSG00000104385,Gm7449
ENSMUST00000185509,ENSMUSG00000101231,Gm28283
ENSMUST00000191467,ENSMUSG00000101097,Gm6679
ENSMUST00000186289,ENSMUSG00000100764,Gm29155
ENSMUST00000185910,ENSMUSG00000100764,Gm29155
ENSMUST00000188261,ENSMUSG00000100831,Gm17847
ENSMUST00000185658,ENSMUSG00000100884,Gm28281
ENSMUST00000188753,ENSMUSG00000100635,Gm29157
ENSMUST00000187764,ENSMUSG00000100480,Gm29156
ENSMUST00000158412,ENSMUSG00000089037,Gm22159
ENSMUST00020182710,ENSMUSG00002076531,Gm54681
ENSMUST00000190856,ENSMUSG00000100025,Gm8141
ENSMUST00000137092,ENSMUSG00000026312,Cdh7
ENSMUST00000112701,ENSMUSG00000026312,Cdh7
ENSMUST00000129923,ENSMUSG00000026312,Cdh7
ENSMUST00000145188,ENSMUSG00000026312,Cdh7
ENSMUST00000131464,ENSMUSG00000026312,Cdh7
ENSMUST00000146282,ENSMUSG00000026312,Cdh7
ENSMUST00000134301,ENSMUSG00000026312,Cdh7
ENSMUST00000027542,ENSMUSG00000026312,Cdh7
ENSMUST00000172005,ENSMUSG00000026312,Cdh7
ENSMUST00000187425,ENSMUSG00000100290,Gm18552
ENSMUST00000189337,ENSMUSG00000100758,Gm3332
ENSMUST00000189583,ENSMUSG00000099926,Gm6693
ENSMUST00000039725,ENSMUSG00000039748,Exo1
ENSMUST00000195196,ENSMUSG00000039748,Exo1
ENSMUST00000194306,ENSMUSG00000039748,Exo1
ENSMUST00000193822,ENSMUSG00000039748,Exo1
ENSMUST00000193858,ENSMUSG00000039748,Exo1
ENSMUST00000191680,ENSMUSG00000039748,Exo1
ENSMUST00000194636,ENSMUSG00000039748,Exo1
ENSMUST00000193610,ENSMUSG00000039748,Exo1
ENSMUST00000194816,ENSMUSG00000039748,Exo1
ENSMUST00000192378,ENSMUSG00000039748,Exo1
ENSMUST00000180129,ENSMUSG00000118715,Gm23805
ENSMUST00000201297,ENSMUSG00000104158,Becn2
ENSMUST00000194391,ENSMUSG00000104158,Becn2
ENSMUST00000193745,ENSMUSG00000103540,Gm37668
ENSMUST00000126008,ENSMUSG00000057363,Uxs1
ENSMUST00000076997,ENSMUSG00000057363,Uxs1
ENSMUST00000139451,ENSMUSG00000057363,Uxs1
ENSMUST00000136179,ENSMUSG00000057363,Uxs1
ENSMUST00000153317,ENSMUSG00000057363,Uxs1
ENSMUST00000134860,ENSMUSG00000057363,Uxs1
ENSMUST00000136704,ENSMUSG00000057363,Uxs1
ENSMUST00000128261,ENSMUSG00000057363,Uxs1
ENSMUST00000094626,ENSMUSG00000047216,Cdh19
ENSMUST00000187555,ENSMUSG00000047216,Cdh19
ENSMUST00000194910,ENSMUSG00000102788,Gm38255
ENSMUST00000192257,ENSMUSG00000102160,Gm36944
ENSMUST00000189363,ENSMUSG00000101253,Gm29088
ENSMUST00000185792,ENSMUSG00000101846,Gm19927
ENSMUST00000163003,ENSMUSG00000090243,Gm16103
ENSMUST00000191395,ENSMUSG00000100701,Gm19587
ENSMUST00000186797,ENSMUSG00000100555,Gm8173
ENSMUST00000189286,ENSMUSG00000101395,Gm8241
ENSMUST00000192902,ENSMUSG00000102728,Gm37934
ENSMUST00000158223,ENSMUSG00000088848,Gm26352
ENSMUST00020182643,ENSMUSG00002075225,Gm54687
ENSMUST00000186365,ENSMUSG00000038702,Dsel
ENSMUST00000035462,ENSMUSG00000038702,Dsel
ENSMUST00000189731,ENSMUSG00000038702,Dsel
ENSMUST00000189370,ENSMUSG00000038702,Dsel
ENSMUST00000077111,ENSMUSG00000101875,Gm6028
ENSMUST00000185787,ENSMUSG00000099732,Gm17752
ENSMUST00000185549,ENSMUSG00000101220,Gm6717
ENSMUST00000190772,ENSMUSG00000100020,Gm19086
ENSMUST00000158066,ENSMUSG00000088691,Gm22331
ENSMUST00000185696,ENSMUSG00000099884,Gm8204
ENSMUST00000189766,ENSMUSG00000100304,Gm28190
ENSMUST00000190085,ENSMUSG00000101453,Gm28189
ENSMUST00000186856,ENSMUSG00000102105,Gm17946
ENSMUST00000190670,ENSMUSG00000099943,Gm18181
ENSMUST00020181757,ENSMUSG00002075119,Gm54688
ENSMUST00000185902,ENSMUSG00000101687,Gm4854
ENSMUST00000125404,ENSMUSG00000055214,Pld5
ENSMUST00000065967,ENSMUSG00000055214,Pld5
ENSMUST00000156184,ENSMUSG00000055214,Pld5
ENSMUST00000144340,ENSMUSG00000055214,Pld5
ENSMUST00000111166,ENSMUSG00000055214,Pld5
ENSMUST00000111167,ENSMUSG00000055214,Pld5
ENSMUST00000104983,ENSMUSG00000078184,Rbm8a2
ENSMUST00000192680,ENSMUSG00000104363,Gm38081
ENSMUST00000192153,ENSMUSG00000103277,Gm37916
ENSMUST00000193484,ENSMUSG00000104157,Gm38101
ENSMUST00000193904,ENSMUSG00000102446,Gm17965
ENSMUST00000195389,ENSMUSG00000104248,Gm38152
ENSMUST00000193453,ENSMUSG00000103471,Gm17966
ENSMUST00000157250,ENSMUSG00000087875,Gm26104
ENSMUST00000043725,ENSMUSG00000070695,Cntnap5a
ENSMUST00020182976,ENSMUSG00002076179,Gm54703
ENSMUST00000185884,ENSMUSG00000102033,Gm28263
ENSMUST00000179777,ENSMUSG00000094429,Gm19965
ENSMUST00000083691,ENSMUSG00000065625,Gm24765
ENSMUST00000192792,ENSMUSG00000103411,Gm18300
ENSMUST00000072079,ENSMUSG00000061024,Rrs1
ENSMUST00000186264,ENSMUSG00000102030,Gm29106
ENSMUST00000144177,ENSMUSG00000025911,Adhfe1
ENSMUST00000027044,ENSMUSG00000025911,Adhfe1
ENSMUST00000130927,ENSMUSG00000025911,Adhfe1
ENSMUST00000186467,ENSMUSG00000025911,Adhfe1
ENSMUST00000190654,ENSMUSG00000025911,Adhfe1
ENSMUST00000121942,ENSMUSG00000081441,Gm6161
ENSMUST00000088666,ENSMUSG00000067879,Vxn
ENSMUST00000191209,ENSMUSG00000099827,Gm29520
ENSMUST00000192664,ENSMUSG00000057335,Cep170
ENSMUST00000195717,ENSMUSG00000057335,Cep170
ENSMUST00000194727,ENSMUSG00000057335,Cep170
ENSMUST00000194489,ENSMUSG00000057335,Cep170
ENSMUST00000192927,ENSMUSG00000057335,Cep170
ENSMUST00000195433,ENSMUSG00000057335,Cep170
ENSMUST00000192991,ENSMUSG00000057335,Cep170
ENSMUST00000194984,ENSMUSG00000057335,Cep170
ENSMUST00000193765,ENSMUSG00000057335,Cep170
ENSMUST00000193098,ENSMUSG00000057335,Cep170
ENSMUST00000194371,ENSMUSG00000057335,Cep170
ENSMUST00000192961,ENSMUSG00000057335,Cep170
ENSMUST00000192643,ENSMUSG00000057335,Cep170
ENSMUST00000194263,ENSMUSG00000057335,Cep170
ENSMUST00000057037,ENSMUSG00000057335,Cep170
ENSMUST00000192113,ENSMUSG00000103634,3110062G12Rik
ENSMUST00000195121,ENSMUSG00000104154,Gm38104
ENSMUST00000083639,ENSMUSG00000065573,Mir350
ENSMUST00020182596,ENSMUSG00002076271,Gm54718
ENSMUST00000088658,ENSMUSG00000025912,Mybl1
ENSMUST00000115468,ENSMUSG00000025912,Mybl1
ENSMUST00000160022,ENSMUSG00000025912,Mybl1
ENSMUST00000160451,ENSMUSG00000025912,Mybl1
ENSMUST00000188212,ENSMUSG00000025912,Mybl1
ENSMUST00000057438,ENSMUSG00000045210,Vcpip1
ENSMUST00000185579,ENSMUSG00000041763,Tpp2
ENSMUST00000087933,ENSMUSG00000041763,Tpp2
ENSMUST00000190401,ENSMUSG00000041763,Tpp2
ENSMUST00000186028,ENSMUSG00000041763,Tpp2
ENSMUST00000188313,ENSMUSG00000041763,Tpp2
ENSMUST00000188302,ENSMUSG00000041763,Tpp2
ENSMUST00000189388,ENSMUSG00000041763,Tpp2
ENSMUST00000186441,ENSMUSG00000041763,Tpp2
ENSMUST00000190207,ENSMUSG00000041763,Tpp2
ENSMUST00000187115,ENSMUSG00000041763,Tpp2
ENSMUST00000150429,ENSMUSG00000026504,Sdccag8
ENSMUST00000056773,ENSMUSG00000026504,Sdccag8
ENSMUST00000133305,ENSMUSG00000026504,Sdccag8
ENSMUST00000027785,ENSMUSG00000026504,Sdccag8
ENSMUST00000123409,ENSMUSG00000026504,Sdccag8
ENSMUST00000139589,ENSMUSG00000026504,Sdccag8
ENSMUST00000194617,ENSMUSG00000103367,Gm38158
ENSMUST00000193938,ENSMUSG00000103584,Gm38053
ENSMUST00020183251,ENSMUSG00002076339,Gm54732
ENSMUST00000192665,ENSMUSG00000102475,Gm37246
ENSMUST00000061421,ENSMUSG00000047343,Mettl21c
ENSMUST00000162750,ENSMUSG00000047343,Mettl21c
ENSMUST00000159881,ENSMUSG00000047343,Mettl21c
ENSMUST00000195566,ENSMUSG00000102211,Gm37490
ENSMUST00000161575,ENSMUSG00000090106,Gm15838
ENSMUST00000191687,ENSMUSG00000103251,Gm37519
ENSMUST00000238662,ENSMUSG00000091844,Ccdc168
ENSMUST00000168641,ENSMUSG00000091844,Ccdc168
ENSMUST00000148810,ENSMUSG00000026483,Niban1
ENSMUST00000097541,ENSMUSG00000026483,Niban1
ENSMUST00000086267,ENSMUSG00000026483,Niban1
ENSMUST00000111875,ENSMUSG00000026483,Niban1
ENSMUST00000134499,ENSMUSG00000026483,Niban1
ENSMUST00000183584,ENSMUSG00000098611,Mir6343
ENSMUST00000191156,ENSMUSG00000100534,Gm816
ENSMUST00000193479,ENSMUSG00000102904,Gm38265
ENSMUST00020182242,ENSMUSG00002076350,Gm54739
ENSMUST00000019843,ENSMUSG00000019699,Akt3
ENSMUST00000111159,ENSMUSG00000019699,Akt3
ENSMUST00000211158,ENSMUSG00000019699,Akt3
