UniqueCount	AmbigCount
38108	41
22952	95
146287	18849
434	67791
4305	11
110	37294
69	65008
28	4469
34	3603
21190	17063
21119	49
3226	17
66560	114
0	0
0	0
0	0
0	0
0	0
0	0
5	39
271	1048
547	1045
0	8
38	22
10	6
0	0
0	0
4	68
1	5
0	0
0	0
0	8
0	0
0	0
0	5
0	0
0	0
0	8
0	0
0	0
0	12
0	0
0	0
11	10
0	4
0	0
285	50
0	0
0	19
0	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
1	75
105	478
18	61
0	221
0	343
0	67
0	2
0	400
4	3
166	738
6	27
133	738
0	157
6	154
1	100
2	239
0	236
0	259
0	247
0	235
3	0
1	63
0	50
0	0
2	7
0	1
0	1
60	873
5	620
1	527
7	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	27
18	27
23	149
0	0
0	149
258	235
9	237
7	143
1	0
355	276
42	277
0	5
271	149
10	137
0	21
49	311
0	285
0	300
4	30
5	1391
0	1221
0	607
79	303
41	1391
31	416
7	440
8	148
0	317
0	0
0	0
0	0
0	0
2	1
6	1
7	1
1	0
200	3318
5	2658
0	3686
1	2553
9	44
0	300
0	254
0	17
0	0
2	240
0	118
181	236
0	0
0	0
0	0
0	0
0	0
625	85
1	85
1267	123
7	122
4	64
15	17
5	55
1	37
0	35
0	10
0	7
0	14
0	3
0	4
0	0
0	0
115	12
0	12
2	0
197	198
30	198
0	190
0	6
38	2
0	0
1233	357
2	357
4	270
1918	1
1284	3
2	1
0	1
15	28
0	28
692	197
18	0
4	74
0	199
0	0
0	0
463	46
0	3
1	6
0	11
0	32
78	46
0	46
8	56
20	56
0	245
5	236
0	218
4	127
84	117
3	273
220	70
5	70
2	398
0	400
6	365
0	2
0	1
0	0
1	400
0	0
0	0
0	0
63	121
9	121
21	1
0	0
0	0
0	0
0	1
0	0
50	104
0	89
7	29
180	442
0	442
4	20
0	8
0	17
13	81
0	81
129	0
126	0
88	29
0	10
0	7
0	19
18	0
788	193
0	191
2	1312
0	0
0	1
0	0
0	1
0	0
0	480
3	653
0	626
2	611
0	195
0	591
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
72	366
13	349
4	352
0	6
1	16
70	1
0	1
0	0
0	0
2	4
0	8
0	7
526	245
0	197
0	3
13	45
90	0
21	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
25	39
1	39
0	2
0	0
0	0
0	0
9	783
12	783
2	6
1	0
1	25
0	2
0	0
79	29
1	26
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1746	2386
94	2137
16	248
1	1
0	1
368	272
2	9
73	218
21	29
6	73
291	504
14	57
11	62
72	257
80	232
1	3
5	18
18	86
23	216
0	79
10	79
0	215
1181	116
19	36
25	104
0	0
2	1
139	532
0	313
2	391
0	1
116	61
2	62
0	0
0	6
66	89
8	44
7	93
7	28
0	4
1	0
1	0
0	24
36	12
0	12
1	89
0	48
4	90
0	0
0	0
0	0
1803	211
0	4
0	3
0	6
0	20
0	179
12	19
0	19
64	20
0	0
0	14
5	16
0	0
0	5
0	5
0	0
0	4
1	1
0	1
682	79
8	0
6	0
0	0
728	145
2	134
0	21
12	46
0	18
506	2
147	941
3	0
10	0
0	201
0	217
0	738
0	0
46	1066
0	1019
0	79
0	108
0	42
15	172
0	1067
520	11
0	11
1926	56
0	14
11	1
0	6
1	7
0	24
5	614
6	361
3	459
1	58
21	490
0	36
1	70
13	70
74	0
15	4
0	3
0	0
0	0
95	0
5	0
0	218
2	90
3	895
1	0
69	1053
0	56
0	167
0	1050
522	415
1	34
19	413
7	28
2	0
8	1
0	0
0	1
0	433
0	532
3	347
1	531
0	7
1	343
0	370
0	165
28	20
0	11
0	1
0	0
0	4
0	4
0	0
0	0
0	0
0	0
110	2
12	139
40	423
153	741
610	771
21	633
6	641
0	0
2	0
0	0
62	0
20	22
5	10
472	13
3	4
266	2
636	6
0	6
350	144
18	144
13	0
43	213
0	10
17	4
139	188
0	37
0	188
0	48
45	453
1	264
0	157
0	94
446	1
0	0
469	161
0	25
5	9
0	24
2	29
0	155
0	0
15	4525
104	4528
17	154
0	272
0	385
3	11
3	7
0	4524
0	0
0	0
0	0
0	0
0	28
0	11
0	22
0	23
0	0
0	28
761	595
0	518
8	548
1	15
3	34
0	38
4	7
3	776
80	777
0	15
0	20
0	3
6	13
0	1
0	1
1338	409
94	400
8	76
3	63
0	5
0	25
18	102
0	38
10	655
27	683
37	657
15	114
12	4
0	0
1	2
763	2
240	100
0	142
151	82
748	80
15	36
1848	2371
46	2348
8	2327
0	1559
3	835
6	827
0	0
5	39
91	39
0	490
0	490
52	1452
1136	2195
30	284
0	86
9	395
0	122
1	12
0	29
144	112
18	4
20	111
29	100
0	100
0	1
534	1898
0	1433
20	611
55	760
0	175
0	103
0	181
5020	357
1	25
0	86
0	33
2	16
1	54
1	22
2	134
33	18
0	18
1	1
83	0
3	0
0	0
0	31
0	17
0	18
1	5
0	0
6	0
0	0
0	0
0	0
29	32
76	64
27	56
3	9
3	0
0	0
0	0
5	65
0	15
1	22
38	67
5	91
5	48
0	6
0	62
1	6
0	1
1124	564
19	4
1	7
0	38
0	51
1	45
0	37
1	38
17	25
2	29
18	120
0	155
0	5
47	65
1	228
0	58
0	37
0	45
0	24
0	11
0	11
0	2
1	4
1	1
0	5
6	12
0	5
249	87
0	24
0	63
0	18
1	14
0	0
0	0
7	4
0	1
0	3
0	0
0	0
0	0
0	0
121	357
1	357
27	29
532	3361
1	3253
0	66
2	479
2	295
0	279
0	90
0	78
20	963
0	948
13	808
1	23
39	5
0	5
0	1096
0	1122
10	1122
0	779
6	741
0	400
0	5
6	0
0	40
15	1144
1311	177
3	177
2	82
2	517
2	306
0	365
1	478
7	210
10	232
3	177
0	65
0	42
0	0
0	0
0	0
0	0
19	55
0	40
0	0
13	28
3	14
0	21
0	0
0	22
0	15
0	15
0	40
118	0
0	1
0	1
2	18
13	409
39	409
0	0
0	0
0	0
0	4109
0	1174
1	913
0	4109
1	3705
0	1
0	1
0	0
0	285
0	10
658	574
28	270
2	558
6	508
569	1
0	0
364	124
4	24
7	104
1793	375
1	367
8	0
12	63
0	66
0	0
3	52
0	27
2	31
4	5
4	173
757	1231
0	895
11	470
0	274
65	281
21	185
1	81
5	11
0	0
0	0
0	0
0	0
38	336
5	300
7	246
10	239
2	260
3	260
0	98
0	26
0	361
2415	607
0	66
28	537
0	7
1	7
5	7
8	115
9	28
0	20
0	96
0	13
7	91
0	2
0	14
0	12
0	101
0	0
0	24
0	24
0	24
1	16
0	31
0	24
0	19
0	18
0	4
69	5
2	5
3	5
1347	330
7	4
7	205
16	70
0	6
8	45
200	113
42	108
0	5
0	154
8	185
1	138
4	2
0	1
8	1
503	47
8	47
0	3
0	3
114	283
0	29
1	186
0	41
0	106
0	89
0	24
0	0
0	0
0	0
0	0
0	0
0	0
32	250
4	250
0	2
0	31
163	1
26	766
5	994
10	23
71	2054
3	750
23	951
9	1597
0	1336
1	548
7	422
500	52
8	16
