UniqueCount	AmbigCount
40902	50
24477	63
147500	16074
763	71129
3206	19
194	41571
107	73246
26	4894
35	2803
25134	20304
22306	39
2819	9
81505	91
0	0
0	0
0	1
0	0
0	0
0	0
4	36
310	1231
563	1226
0	5
27	8
23	6
0	0
0	0
10	21
0	4
0	0
0	1
0	5
0	0
0	0
0	4
0	0
0	0
0	6
0	0
0	0
0	5
0	0
0	0
31	28
0	0
0	0
422	66
0	0
0	24
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	0
0	1
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	94
74	573
13	83
0	275
9	429
0	67
0	2
0	476
0	4
174	743
10	17
116	743
0	179
7	182
1	77
6	606
1	606
0	663
0	613
1	560
7	1
1	165
0	124
9	0
4	20
0	4
0	8
42	958
8	654
1	587
2	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	2
0	2
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	5
0	2
0	2
0	0
0	0
0	0
0	0
0	0
60	680
340	681
2	28
0	0
0	28
214	206
2	210
9	140
0	0
357	244
54	244
0	0
93	41
12	37
8	4
65	270
0	249
5	253
15	39
4	1718
0	1370
0	702
26	380
60	1720
58	807
30	847
7	268
0	616
0	0
0	0
0	0
0	0
1	0
0	0
0	0
1	1
307	3853
2	3205
0	4365
0	3022
9	42
0	360
0	309
0	11
0	0
5	322
0	147
217	319
0	0
0	0
0	0
0	0
0	0
195	20
0	20
1398	161
0	159
20	133
39	41
3	107
1	43
2	34
1	12
0	4
0	14
0	1
0	8
1	0
0	0
198	14
4	14
3	0
195	233
19	243
0	227
0	4
49	0
0	0
2018	416
1	414
6	274
832	0
235	0
