UniqueCount	AmbigCount
11376	17
4441	26
38208	9642
15	32726
1289	4
51	20734
90	45456
364	8336
5	591
5777	2158
4857	16
1265	19
18403	44
0	0
0	0
0	0
0	0
0	0
0	0
7	59
158	554
262	550
0	43
29	17
324	70
0	0
0	0
141	180
1	23
0	0
0	0
0	43
0	0
0	0
2	23
0	0
0	0
0	44
0	0
5	0
0	41
0	0
0	1
321	163
0	9
0	0
277	57
0	0
2	33
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
1	13
27	147
5	14
0	63
10	102
0	19
0	0
0	136
1	2
89	408
4	15
71	407
1	79
4	68
0	35
0	99
0	95
1	106
0	101
0	92
3	1
1	37
0	15
0	0
0	0
0	0
0	0
18	367
4	258
0	208
1	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
12	122
64	122
4	12
0	0
0	12
87	50
0	50
2	32
0	0
75	57
11	57
0	0
46	13
3	13
0	0
3	30
0	26
1	28
2	7
1	230
0	196
0	107
2	54
7	230
47	460
4	474
6	167
0	331
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
80	779
0	630
0	848
0	638
5	11
1	63
0	60
0	5
1	0
0	123
0	46
101	123
0	0
0	0
0	0
0	0
0	0
49	6
0	6
429	38
0	37
3	46
23	20
0	34
0	15
2	12
0	3
0	5
0	11
0	1
0	5
