UniqueCount	AmbigCount
95779	143
88324	309
368589	43891
810	125818
9135	37
200	74107
142	127579
51	10906
73	9190
50410	45918
50608	151
7095	37
146273	266
0	0
0	0
0	0
0	0
0	0
0	0
0	0
165	727
406	718
0	0
1	1
3	0
0	0
0	0
5	5
0	0
0	0
0	0
0	0
0	1
0	4
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
4	1
0	0
0	4
36	12
0	0
0	0
0	0
0	0
0	0
0	3
0	0
0	1
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	23
25	176
0	6
0	76
2	134
0	27
0	1
0	149
2	5
187	708
3	31
49	707
0	156
2	152
0	117
0	189
0	189
0	201
0	190
0	185
1	1
4	42
0	27
1	0
2	4
0	0
0	2
29	814
2	607
2	424
3	2
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	2
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	11
3	11
192	2145
6	5
0	2140
115	78
0	82
2	52
0	0
241	265
51	265
1	0
1	1
0	1
0	0
6	37
0	32
0	36
1	4
20	529
47	492
0	281
1	145
26	512
60	627
18	667
2	226
0	519
0	0
0	0
0	0
0	0
279	9
0	7
0	3
0	0
529	9557
5	7798
0	10676
1	7701
10	168
0	1090
0	806
2	58
0	0
4	269
0	133
187	269
0	0
0	0
0	0
0	0
0	0
60	11
0	11
1846	180
2	179
2	28
15	6
0	23
105	4729
143	3667
19	1223
0	1029
3	2377
0	580
2	712
0	0
0	0
125	18
0	18
0	1
101	178
11	186
0	171
0	4
21	1
0	0
1011	172
4	169
0	117
66232	121
58	0
0	0
0	0
5	38
0	38
570	133
6	0
3	73
0	138
0	0
0	0
182	11
0	3
0	1
0	1
0	5
8	7
0	7
21	101
20	101
0	145
3	139
0	123
1	79
7	74
1	150
36	12
0	12
0	410
0	417
7	379
0	11
0	2
0	0
0	410
0	0
0	0
27	0
149	316
10	315
1	0
