UniqueCount	AmbigCount
27189	27
20753	48
79932	9942
452	45537
1940	15
125	30756
79	40288
25	3900
28	2116
18685	17279
20217	30
2995	14
61239	55
0	0
0	0
0	0
0	0
0	0
0	0
0	1
287	918
322	917
0	0
0	0
3	0
0	0
0	0
1	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	1
0	0
0	0
10	3
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	4
14	76
6	3
0	30
5	48
0	6
0	1
0	73
0	0
46	173
0	9
50	173
0	54
5	45
0	16
0	78
0	79
0	84
0	78
0	73
1	0
1	12
0	5
0	1
0	0
0	0
0	0
3	239
1	194
0	95
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	6
2	6
0	28
0	0
0	28
91	36
1	36
2	23
0	0
52	33
9	36
0	3
3	0
0	0
0	0
4	21
0	21
0	17
1	2
9	542
9	474
0	203
5	108
28	541
3	121
4	125
2	43
0	89
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
98	2126
0	1651
0	2302
0	1681
5	21
0	175
0	151
0	10
0	0
4	75
0	34
55	75
0	0
0	0
0	0
0	0
0	0
43	2
0	2
877	71
1	71
2	10
2	4
0	6
16	974
42	839
1	164
0	133
0	452
0	121
0	145
0	0
0	0
20	0
1	0
0	0
51	34
0	31
0	31
0	3
6	1
0	0
592	43
1	43
0	32
833	1
88	0
0	0
0	0
1	3
0	3
192	48
0	0
4	24
0	49
0	0
0	0
141	8
0	2
2	2
0	3
0	3
81	38
0	38
0	2
3	2
0	154
1	142
0	134
3	81
13	81
0	163
125	42
1	41
2	178
0	178
4	161
0	0
2	0
0	0
0	178
0	0
0	0
0	0
9	13
0	13
7	1
0	0
0	0
0	0
0	1
0	0
41	36
0	33
2	13
34	90
0	90
2	6
0	2
0	2
0	0
0	0
85	0
9	0
6	0
0	0
0	0
0	0
1	0
199	39
0	39
0	359
0	0
0	3
0	0
0	3
0	0
0	1
0	2
0	2
0	2
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
1	3
0	0
0	0
0	0
0	0
25	200
1	194
4	196
0	4
0	4
14	3
1	3
0	0
0	0
0	5
0	11
0	11
19	14
0	9
0	0
0	5
12	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	195
0	195
2	2
0	0
0	2
0	0
0	0
20	2
0	2
0	0
0	0
