UniqueCount	AmbigCount
42194	41
33170	133
148218	21329
605	71786
4410	10
173	43377
94	64052
30	6602
39	4403
31077	24999
27550	57
4590	24
96760	149
0	0
0	0
0	0
0	0
0	0
0	0
16	63
566	2137
726	2126
0	32
61	15
294	69
0	0
0	0
96	110
0	11
0	0
0	0
0	33
0	0
0	0
1	11
0	0
0	0
0	26
0	0
0	0
0	36
0	0
0	4
173	133
2	6
0	0
651	107
0	0
0	44
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	43
32	246
4	36
0	112
12	181
0	35
0	0
0	203
4	2
122	479
7	16
72	479
1	116
9	121
2	53
3	201
0	199
0	219
1	194
1	185
3	0
1	35
0	37
0	0
0	9
0	0
0	0
16	495
1	342
0	287
1	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
20	260
119	260
4	45
0	0
0	45
204	159
5	160
2	100
0	0
177	135
14	137
0	2
126	54
8	52
0	5
9	53
0	48
0	50
4	4
0	501
0	414
0	198
2	96
28	501
57	1244
10	1317
17	433
0	985
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
235	2127
3	1780
0	2367
0	1682
10	14
0	199
0	189
0	14
0	0
3	197
0	89
132	195
0	0
0	0
0	0
0	0
0	0
87	5
0	5
1700	165
7	163
8	78
19	25
0	63
3	24
3	20
0	4
0	9
0	18
0	4
0	4
0	0
0	0
89	7
1	7
0	0
84	94
15	96
0	88
0	1
15	2
0	0
3369	488
21	481
3	295
797	3
717	0
4	5
0	5
0	3
0	3
516	152
4	0
1	58
0	155
0	0
0	0
253	19
0	1
0	4
0	10
0	8
46	27
0	27
2	7
0	7
0	141
9	134
0	120
1	69
45	74
0	144
2876	793
12	788
5	896
0	905
29	838
0	18
0	5
0	0
0	897
0	0
0	0
0	0
141	245
11	245
8	3
0	0
0	0
0	0
0	3
0	0
55	70
0	65
3	16
215	635
2	635
5	38
0	7
0	14
0	1
0	1
168	0
192	0
229	77
0	34
0	17
0	41
9	0
613	176
0	176
0	1259
0	0
1	0
0	0
0	0
0	0
0	2
0	2
0	2
0	2
0	1
0	2
0	0
0	0
0	0
0	0
0	2
0	2
0	0
0	0
0	6
0	6
0	6
0	0
0	0
0	0
0	0
82	513
0	497
3	499
1	8
0	14
428	1
0	1
0	0
0	0
0	0
0	2
0	2
412	157
0	124
0	1
1	32
11	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9	668
7	666
3	3
0	0
0	14
0	0
0	0
97	14
0	14
0	0
0	1
0	1
0	0
0	0
0	0
5	2
0	2
0	0
757	1033
24	939
4	93
0	2
0	2
204	136
2	6
45	113
9	17
3	29
386	557
20	54
21	73
96	232
53	219
6	9
12	23
14	95
26	198
0	81
18	54
0	182
673	76
3	24
2	70
0	0
1	0
234	894
0	603
1	593
0	2
125	80
1	82
0	0
0	1
206	183
1	45
25	185
0	37
4	6
0	0
2	0
3	85
20	7
0	7
8	280
0	120
7	279
0	0
0	0
0	0
1274	116
4	1
5	1
0	4
0	9
0	101
0	0
0	0
116	26
0	0
0	18
16	16
0	0
0	1
3	1
0	0
0	1
0	1
0	1
807	65
0	0
0	0
0	0
1018	125
1	105
0	18
7	33
0	22
460	0
113	638
5	0
1	3
0	167
0	172
2	471
0	0
26	460
0	433
0	36
0	43
0	18
24	79
0	462
412	11
0	11
485	17
0	4
0	0
0	1
1	5
0	5
3	298
7	177
1	226
0	18
18	233
0	14
0	40
6	40
27	0
24	1
0	1
0	0
0	0
124	0
3	0
0	147
0	63
14	681
3	1
16	806
0	9
1	109
0	838
552	529
1	23
26	529
2	52
28	0
7	6
0	6
2	0
0	447
0	574
5	401
2	573
0	5
0	338
1	350
0	163
34	10
0	8
0	0
0	1
1	6
0	6
0	0
0	0
0	0
0	0
66	3
3	144
15	392
133	644
316	659
7	546
6	560
0	0
0	0
0	0
94	0
10	13
4	1
276	11
0	1
185	0
630	3
0	2
283	92
6	91
20	1
10	90
0	4
13	0
79	80
0	8
0	80
0	10
7	114
0	71
0	35
0	21
994	2
1	0
497	146
0	40
3	9
1	22
2	22
0	141
0	0
0	899
28	899
2	29
0	52
0	91
2	3
0	2
0	899
0	0
0	0
0	0
0	0
0	10
0	2
1	7
0	7
0	0
0	10
1072	961
0	856
10	905
1	10
0	46
1	52
1	16
0	426
45	426
0	10
0	16
0	3
2	13
0	3
0	1
1362	378
105	368
10	59
9	50
2	10
0	28
15	85
0	21
4	413
11	427
34	419
7	65
4	2
0	0
0	0
88	0
256	97
1	117
130	60
264	17
0	7
964	1082
8	1062
2	1060
2	693
1	418
6	417
0	0
8	25
57	25
0	332
1	332
47	1577
1144	2311
40	285
0	106
9	375
2	125
7	27
0	27
78	80
4	4
30	80
36	82
0	82
0	0
413	1498
1	1143
6	468
59	583
2	145
0	89
0	159
4807	378
0	34
2	81
0	34
3	9
6	66
0	26
1	141
18	15
0	15
0	0
55	0
0	0
0	16
0	22
0	9
1	9
0	6
0	0
1	0
0	0
0	0
0	0
15	24
20	15
6	13
2	2
38	1
0	0
0	0
2	5
0	2
0	2
6	5
1	35
4	16
0	1
0	24
0	1
0	2
894	263
7	4
0	4
0	24
3	29
0	17
0	16
0	13
10	14
0	17
6	64
0	77
0	1
33	44
0	91
0	15
0	14
0	20
0	9
1	6
0	3
0	0
0	0
0	4
0	7
0	10
0	2
170	30
0	9
0	21
1	3
0	2
0	0
0	0
149	86
0	22
0	64
0	0
0	0
0	0
0	0
110	343
1	341
12	17
341	2258
1	2160
1	39
0	237
0	196
0	222
0	77
0	71
148	6040
54	5993
77	4983
6	135
8	1
0	1
0	1830
0	1876
1	1876
0	1325
18	1268
0	723
3	10
3	0
0	59
9	1900
1393	201
4	200
6	89
4	461
2	298
3	357
1	411
2	200
5	213
3	156
0	64
0	22
0	0
0	0
0	0
0	1
27	85
0	59
0	0
10	44
4	26
0	30
0	0
0	32
0	26
0	27
0	59
22	0
0	0
0	0
1	0
2	28
2	28
0	0
0	0
0	0
0	2594
0	590
2	414
0	2594
0	2329
0	0
0	0
0	0
