UniqueCount	AmbigCount
118957	127
83406	284
318300	46339
1510	188681
12645	42
266	119753
238	155953
75	20680
85	9406
65861	54743
44293	59
8101	12
207663	256
0	0
0	0
0	0
0	0
0	0
0	0
3	35
277	1214
455	1205
0	6
30	5
5	5
0	0
0	0
0	34
4	5
0	0
0	0
0	6
0	0
0	0
0	5
0	0
0	0
0	3
0	0
0	0
0	10
0	0
0	1
0	1
0	0
0	0
178	28
0	0
0	15
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	23
37	218
10	21
0	80
4	150
0	23
0	0
0	195
1	0
97	482
3	20
77	481
2	122
2	109
1	86
0	112
1	107
0	117
0	111
0	107
1	0
2	29
2	24
0	0
2	4
0	1
0	1
17	369
1	274
0	198
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	28
7	28
9	110
0	0
0	110
164	103
2	105
1	63
0	0
170	129
18	133
0	9
85	25
2	25
1	1
23	63
0	60
0	63
1	4
4	762
0	642
0	292
34	148
36	762
14	261
2	290
4	89
0	222
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
111	2645
3	2290
0	2984
0	2179
4	14
0	298
0	238
0	24
0	0
0	181
0	68
143	180
0	0
0	0
0	0
0	0
0	0
171	22
0	21
1278	139
3	138
4	45
9	13
1	41
4	42
2	32
0	13
0	7
0	23
0	2
0	7
0	0
0	0
131	9
5	9
2	0
88	66
13	71
0	69
0	6
8	1
0	1
793	100
7	100
2	66
1485	0
927	0
3	0
0	0
3	27
0	27
426	82
2	0
8	24
0	83
0	0
0	0
288	20
0	5
1	1
0	5
0	10
75	28
0	28
4	28
8	28
0	176
4	169
0	147
5	95
40	97
0	180
85	30
0	30
6	332
0	332
3	295
0	4
0	0
0	0
0	330
0	0
0	0
1	0
21	57
2	57
1	0
0	0
0	0
0	0
0	0
0	0
61	97
1	73
7	41
230	640
2	640
10	38
1	10
0	28
2	38
0	37
91	0
80	0
86	17
0	6
0	7
0	11
4	0
511	105
0	104
2	3950
0	0
0	0
0	0
0	0
0	0
0	11
0	11
0	12
0	12
0	1
0	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
81	409
3	379
0	381
3	8
0	28
26	0
0	0
0	0
0	0
0	0
0	0
0	0
227	72
1	53
0	0
3	19
37	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	8
0	8
0	0
0	0
0	0
0	0
3	363
0	363
0	2
0	0
0	14
0	1
0	0
93	22
0	21
0	1
1	3
4	2
0	0
0	0
0	0
5	4
0	3
0	2
1648	2454
26	2179
6	275
1	0
0	0
243	144
4	1
34	117
7	26
4	43
500	789
8	110
4	94
141	389
83	301
3	5
10	38
6	100
25	311
2	119
28	123
0	329
565	33
4	13
3	31
0	0
1	1
153	608
1	430
1	387
0	1
73	15
1	16
0	0
0	0
83	102
1	17
3	106
0	15
1	4
1	0
4	0
1	63
5	0
0	0
1	72
0	27
4	73
0	1
0	1
0	0
921	128
1	1
1	0
0	1
0	11
0	115
0	1
0	1
66	22
0	0
0	17
8	15
3	0
0	0
5	0
0	0
0	0
1	3
0	3
508	26
0	0
0	0
0	0
512	76
4	68
0	15
9	22
0	9
316	1
71	357
4	0
2	0
0	75
0	81
0	279
0	0
7	470
0	434
0	48
1	32
0	18
44	28
0	470
303	7
0	6
623	8
0	2
0	2
0	0
2	1
2	5
1	287
7	174
0	215
0	35
14	218
0	7
0	29
12	22
8	0
13	1
0	1
1	0
0	0
39	0
3	0
0	124
0	64
6	584
0	0
22	684
0	15
0	90
0	708
379	292
0	20
11	291
3	22
0	0
43	9
0	8
4	1
0	187
0	238
1	165
0	238
0	1
2	135
0	141
0	50
6	6
0	12
0	0
0	0
1	4
0	4
0	1
0	0
0	0
0	0
41	2
2	121
19	302
92	460
308	472
2	400
4	405
0	0
0	0
0	0
17	1
5	6
1	3
250	2
1	1
133	0
331	7
1	7
209	70
12	70
11	1
32	120
0	4
1	2
63	112
0	13
0	110
0	20
18	271
0	174
0	84
0	61
553	0
1	0
277	80
0	18
0	1
0	10
0	19
0	76
0	0
5	2466
91	2466
12	86
2	123
0	205
1	6
0	3
0	2466
0	0
0	0
0	0
0	0
0	9
0	1
0	7
0	7
0	0
0	9
472	383
0	347
5	353
2	8
0	30
0	21
0	9
0	349
27	350
0	8
0	8
0	2
2	7
0	2
0	0
1814	590
82	578
11	51
3	37
0	5
1	24
7	75
1	19
2	359
7	386
6	367
11	76
10	2
0	0
1	1
420	0
127	52
1	76
129	48
334	23
6	12
1294	1556
17	1530
2	1521
0	969
1	517
4	514
0	0
1	36
59	36
0	271
2	271
25	850
581	1228
16	160
0	42
2	184
0	60
3	10
0	13
65	65
3	6
17	65
26	91
0	91
0	0
330	1192
3	876
11	466
68	560
0	127
0	80
0	123
2435	264
0	12
0	68
0	24
2	7
2	38
0	15
2	103
9	9
0	9
0	1
29	0
3	0
0	0
0	12
0	11
0	9
0	0
0	0
0	0
0	0
0	0
0	2
4	14
37	33
8	32
1	1
3	0
0	0
0	0
58	291
4	50
5	70
191	292
0	24
0	6
0	0
0	20
0	2
0	0
578	197
0	0
0	2
0	24
1	21
0	11
0	17
0	14
2	5
0	9
10	35
0	54
0	0
15	17
2	85
0	14
0	18
0	19
0	12
0	4
0	4
0	0
0	3
1	3
0	7
0	3
0	0
144	48
0	21
0	27
0	9
0	7
0	0
0	0
7	3
0	2
0	1
0	0
0	0
0	0
0	0
128	308
0	307
21	16
255	1656
0	1599
0	49
0	208
2	126
0	157
0	53
0	47
39	1052
2	1044
29	861
0	31
7	0
0	0
0	2214
0	2277
0	2277
1	1454
15	1405
0	700
1	11
2	0
1	70
11	2293
1026	162
8	161
4	88
0	292
0	177
0	214
1	274
6	216
2	234
1	191
0	51
0	30
0	0
0	0
0	0
1	0
17	36
0	29
0	0
12	22
2	7
0	20
0	0
0	20
0	5
0	5
0	29
12	0
0	0
0	0
2	3
1	94
12	94
0	0
0	0
0	0
0	1951
0	473
0	321
0	1951
0	1770
0	0
0	0
0	0
1	227
0	5
487	444
14	217
1	431
2	399
327	2
0	2
282	85
0	22
2	66
1588	405
1	400
13	0
14	53
0	46
0	0
2	41
0	27
0	29
4	10
1	144
557	838
0	588
6	276
0	239
44	243
30	168
1	100
5	3
0	1
0	0
0	1
0	0
17	273
3	238
3	195
2	187
2	201
0	203
3	79
0	33
0	289
2117	627
2	51
3	576
0	7
0	7
0	7
13	73
13	21
0	7
0	44
0	4
2	42
0	0
0	7
0	7
0	53
0	0
0	8
0	8
0	8
0	10
0	14
0	12
0	12
0	12
0	0
36	2
0	2
2	2
742	201
2	3
