UniqueCount	AmbigCount
42290	43
33092	70
128152	16468
663	74879
4159	11
124	41245
105	59450
28	7035
43	3942
28433	25792
34773	59
5164	14
99971	97
0	0
0	0
0	0
0	0
0	0
0	0
0	0
113	615
333	607
0	1
0	0
1	2
0	1
0	0
2	2
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
1	0
0	0
0	0
3	2
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
1	8
0	2
0	3
1	7
0	2
0	1
0	6
0	0
4	7
1	1
0	7
0	1
0	1
0	2
0	3
0	3
0	3
0	3
0	3
0	0
0	1
0	0
0	0
0	0
0	0
0	0
1	9
0	6
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	6
2	6
0	24
0	1
0	23
68	22
0	23
1	17
0	0
50	19
6	19
0	0
0	0
0	0
0	0
1	21
0	21
0	19
0	1
1	398
13	353
0	156
3	90
27	396
8	78
5	84
2	22
0	56
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
69	1683
2	1394
0	1849
0	1386
7	16
0	161
0	144
0	13
0	0
0	83
0	39
40	83
0	0
0	0
0	0
0	0
0	0
42	6
0	6
803	69
6	68
0	9
5	6
0	4
12	686
34	562
2	159
0	119
0	320
0	58
0	126
0	0
0	0
13	1
0	1
0	0
37	40
0	40
0	38
0	0
4	0
0	0
507	42
0	42
7	28
802	0
87	0
0	2
0	2
0	7
0	7
125	33
1	0
0	10
0	34
0	0
1	0
112	4
0	0
0	0
0	0
0	4
74	18
0	18
0	1
0	1
0	93
2	84
0	77
0	40
11	41
0	100
93	36
0	36
0	155
0	155
4	139
0	2
0	0
0	0
0	155
0	0
0	0
0	0
12	21
0	21
5	1
0	0
0	1
0	0
0	0
0	0
26	55
0	48
0	18
27	81
0	81
0	3
0	2
0	4
1	2
0	2
50	0
7	0
9	1
0	1
0	0
0	0
3	0
193	41
0	41
0	296
0	0
1	1
0	0
1	1
0	0
0	5
0	5
0	3
0	3
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
28	129
0	124
0	125
0	0
0	5
12	0
0	0
0	0
0	0
0	2
0	7
0	6
20	9
0	8
0	0
2	1
13	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	5
0	5
0	0
0	0
0	0
0	0
1	134
0	134
2	0
0	0
0	6
0	0
0	0
25	7
1	7
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	0
160	212
5	187
0	25
0	0
0	0
73	30
0	0
9	25
2	10
1	14
92	186
2	27
2	19
24	71
6	60
2	1
4	5
3	16
12	56
0	16
6	22
1	58
217	11
1	4
3	10
0	0
0	0
55	200
0	129
0	133
0	0
11	1
0	1
0	0
0	0
21	12
0	4
0	14
1	3
3	2
0	0
5	0
1	2
1	0
0	0
0	14
0	8
1	14
0	0
0	0
0	0
266	30
0	0
1	0
0	1
0	1
0	28
0	0
0	0
32	4
0	0
0	2
1	3
2	0
0	0
1	0
0	0
0	0
0	1
0	1
285	20
0	0
0	0
0	0
214	30
0	29
0	3
11	6
0	5
16	0
10	33
0	0
2	0
0	6
0	6
0	27
0	0
0	2
0	2
0	0
0	0
0	0
1	0
0	2
107	0
0	0
40	1
0	0
0	0
0	0
0	0
0	0
0	102
0	55
0	76
0	7
2	88
0	1
0	9
1	8
10	0
19	0
0	0
0	0
0	0
6	0
0	0
0	57
0	25
0	293
1	0
39	343
0	14
0	41
0	347
76	21
0	0
5	21
1	1
0	0
3	0
0	0
0	0
0	29
0	36
0	23
0	36
0	2
0	23
0	22
0	15
2	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
20	5
1	60
1	131
28	192
65	192
1	164
2	166
0	0
0	0
0	0
0	0
0	1
1	0
76	1
1	0
55	0
167	0
1	0
79	19
0	19
4	2
5	48
0	0
1	0
13	46
0	2
0	48
0	9
3	71
0	37
0	29
0	18
27	0
0	0
131	14
0	5
0	0
0	1
0	1
0	14
0	0
6	602
5	602
5	13
0	29
0	43
0	4
1	1
0	602
0	0
0	0
0	0
0	0
0	3
0	0
0	3
0	3
0	0
0	3
95	80
0	71
2	74
0	1
0	1
0	2
0	2
0	68
8	68
0	2
0	2
0	2
0	2
0	1
0	0
536	230
20	220
2	18
0	17
0	1
0	8
6	26
0	9
1	114
2	113
2	113
0	21
0	2
0	0
1	0
7	0
61	19
0	25
40	9
46	4
3	1
989	1322
3	1298
2	1292
0	768
0	402
0	402
0	0
1	17
23	17
0	98
0	98
9	312
229	422
4	36
0	20
3	58
0	20
1	1
0	5
58	39
0	3
13	39
8	32
0	32
0	0
121	352
0	259
7	143
37	171
0	29
0	22
0	41
890	67
0	3
0	19
0	5
1	7
5	13
0	4
0	19
1	1
0	1
0	0
12	0
0	0
0	1
0	9
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	1
9	10
9	5
0	5
0	0
2	0
0	0
0	0
2	6
0	1
0	1
1	6
0	7
0	2
0	0
0	6
0	0
0	0
194	73
0	0
0	1
0	6
0	7
0	4
0	2
0	2
0	3
0	3
1	19
0	25
0	1
8	10
0	31
0	7
0	5
0	6
0	0
0	1
0	0
0	0
0	2
0	3
0	0
0	0
0	0
38	3
0	2
0	1
0	0
0	0
1	0
0	0
7	6
0	5
0	1
0	0
0	0
0	0
