UniqueCount	AmbigCount
173696	216
84292	262
646520	78972
2616	295457
13847	44
682	169696
292	250909
84	14218
91	8799
80411	65624
69283	123
13122	42
250707	313
0	0
0	0
0	0
0	0
0	0
0	0
0	5
321	1155
758	1142
0	3
0	1
6	0
0	4
0	0
5	21
0	1
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	4
0	0
0	0
0	4
2	2
0	0
2	4
0	1
0	0
10	3
2	0
0	2
0	0
2	0
0	0
0	0
1	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	6
0	0
0	4
0	6
0	0
0	0
0	6
0	1
1	3
0	0
1	3
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	10
0	6
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	8
2	8
9	56
0	1
0	55
269	127
1	129
1	71
0	0
800	500
153	500
0	7
10	2
0	2
0	0
112	340
0	316
3	325
2	42
94	3647
204	3595
3	1629
38	791
203	3580
307	2881
36	2959
9	966
1	1926
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
57	374
1	289
0	391
0	285
1	4
0	31
0	30
1	1
6	0
0	272
0	94
180	270
0	0
0	0
0	0
0	0
0	0
1938	168
0	166
816	47
0	47
0	8
10	4
2	7
11	322
14	277
0	50
0	60
0	149
0	46
0	35
0	1
0	1
248	18
8	18
2	0
370	249
20	259
0	243
1	10
21	6
0	0
4356	568
18	565
6	407
1286	1
2819	7
2	2
0	2
9	128
0	128
1254	209
16	0
19	89
0	211
0	1
0	0
338	21
0	0
1	2
0	8
0	13
44	17
0	17
6	39
17	39
0	295
5	293
0	277
1	181
51	190
1	309
218	70
1	70
1	2207
0	2225
37	1989
0	39
0	10
0	1
1	2197
0	118
22	210
17784	230
39	109
6	109
113	1
1	0
0	1
0	0
0	0
0	0
76	118
2	100
3	39
258	923
2	923
18	49
0	14
0	36
0	0
0	0
227	0
784	0
378	90
0	48
0	7
0	39
12	0
2320	458
1	457
5	8665
0	0
3	20
0	1
3	19
0	0
0	42
0	54
0	52
0	51
0	9
0	50
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	4
0	4
0	0
0	1
0	0
0	1
88	391
2	376
2	376
0	3
0	15
1811	17
5	14
0	0
0	0
2	2
0	6
1	5
83	28
0	28
0	0
0	0
49	1
16	0
0	0
0	0
0	1
0	1
0	1
0	0
0	0
0	1
0	0
0	1
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
6	1006
