sample_name	ind	tissue	sex
Mous-1A-LIV-Mal	Mous-1A	LIV	Male
Mous-1A-PANC-Mal	Mous-1A	PANC	Male
Mous-1A-PAR-Mal-L	Mous-1A	PAR	Male
Mous-1A-SL-Mal-L	Mous-1A	SL	Male
Mous-1A-SM-Mal-L	Mous-1A	SM	Male
Mous-1B-LIV-Mal	Mous-1B	LIV	Male
Mous-1B-PANC-Mal	Mous-1B	PANC	Male
Mous-1B-PAR-Mal-L	Mous-1B	PAR	Male
Mous-1B-SL-Mal-L	Mous-1B	SL	Male
Mous-1B-SM-Mal-L	Mous-1B	SM	Male
Mous-2A-LIV-Mal	Mous-2A	LIV	Male
Mous-2A-PANC-Mal	Mous-2A	PANC	Male
Mous-2A-PAR-Mal-L	Mous-2A	PAR	Male
Mous-2A-SL-Mal-L	Mous-2A	SL	Male
Mous-2A-SM-Mal-L	Mous-2A	SM	Male
Mous-2B-LIV-Mal	Mous-2B	LIV	Male
Mous-2B-PANC-Mal	Mous-2B	PANC	Male
Mous-2B-PAR-Mal-L	Mous-2B	PAR	Male
Mous-2B-SL-Mal-L	Mous-2B	SL	Male
Mous-2B-SM-Mal-L	Mous-2B	SM	Male
Mous-3A-LIV-Mal	Mous-3A	LIV	Male
Mous-3A-PANC-Mal	Mous-3A	PANC	Male
Mous-3A-PAR-Mal-L	Mous-3A	PAR	Male
Mous-3A-SL-Mal-L	Mous-3A	SL	Male
Mous-3A-SM-Mal-L	Mous-3A	SM	Male
Mous-3B-LIV-Mal	Mous-3B	LIV	Male
Mous-3B-PANC-Mal	Mous-3B	PANC	Male
Mous-3B-PAR-Mal-L	Mous-3B	PAR	Male
Mous-3B-SL-Mal-L	Mous-3B	SL	Male
Mous-3B-SM-Mal-L	Mous-3B	SM	Male
Mous-4A-LIV-Fem	Mous-4A	LIV	Fem
Mous-4A-PANC-Fem	Mous-4A	PANC	Fem
Mous-4A-PAR-Fem-L	Mous-4A	PAR	Fem
Mous-4A-SL-Fem-L	Mous-4A	SL	Fem
Mous-4A-SM-Fem-L	Mous-4A	SM	Fem
Mous-4B-LIV-Fem	Mous-4B	LIV	Fem
Mous-4B-PANC-Fem	Mous-4B	PANC	Fem
Mous-4B-PAR-Fem-L	Mous-4B	PAR	Fem
Mous-4B-SL-Fem-L	Mous-4B	SL	Fem
Mous-4B-SM-Fem-L	Mous-4B	SM	Fem
Mous-5A-LIV-Fem	Mous-5A	LIV	Fem
Mous-5A-PANC-Fem	Mous-5A	PANC	Fem
Mous-5A-PAR-Fem-L	Mous-5A	PAR	Fem
Mous-5A-SL-Fem-L	Mous-5A	SL	Fem
Mous-5A-SM-Fem-L	Mous-5A	SM	Fem
Mous-5B-LIV-Fem	Mous-5B	LIV	Fem
Mous-5B-PANC-Fem	Mous-5B	PANC	Fem
Mous-5B-PAR-Fem-L	Mous-5B	PAR	Fem
Mous-5B-SL-Fem-L	Mous-5B	SL	Fem
Mous-5B-SM-Fem-L	Mous-5B	SM	Fem
Mous-6A-LIV-Fem	Mous-6A	LIV	Fem
Mous-6A-PANC-Fem	Mous-6A	PANC	Fem
Mous-6A-PAR-Fem-L	Mous-6A	PAR	Fem
Mous-6A-SL-Fem-L	Mous-6A	SL	Fem
Mous-6A-SM-Fem-L	Mous-6A	SM	Fem
Mous-6B-LIV-Fem	Mous-6B	LIV	Fem
Mous-6B-PANC-Fem	Mous-6B	PANC	Fem
Mous-6B-PAR-Fem-L	Mous-6B	PAR	Fem
Mous-6B-SL-Fem-L	Mous-6B	SL	Fem
Mous-6B-SM-Fem-L	Mous-6B	SM	Fem
