gene_id,gene_name,mean_tpm,sd_tpm,Mous-1A-SL-Mal-L,Mous-1B-SL-Mal-L,Mous-2A-SL-Mal-L,Mous-2B-SL-Mal-L,Mous-3A-SL-Mal-L,Mous-3B-SL-Mal-L,Mous-4A-SL-Fem-L,Mous-4B-SL-Fem-L,Mous-5A-SL-Fem-L,Mous-5B-SL-Fem-L,Mous-6A-SL-Fem-L,Mous-6B-SL-Fem-L
ENSMUSG00000000001,Gnai3,24.367827583333334,3.609811007792399,23.587613,18.912693,29.573008,19.732969,24.954105,21.212345,25.324007,24.703209,25.859834,31.397672,23.874713,23.281763
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,2.31986575,0.6346066705312433,3.2914449999999995,1.810496,3.22369,1.648467,2.582434,2.2690940000000004,2.7047920000000003,1.62093,2.101332,2.128358,2.986838,1.4705129999999995
ENSMUSG00000000037,Scml2,0.5028211666666667,0.1973778356746422,0.775801,0.54224000000000006,0.5948800000000001,0.473668,0.238344,0.7846139999999999,0.364494,0.740383,0.5099389999999999,0.488652,0.275379,0.24546
ENSMUSG00000000049,Apoh,15.7975915,5.507739376220594,19.044804,18.446703,24.732699,7.960903,12.835441,20.855381,7.668094,16.368872,18.182868,11.371192,20.986256,11.117885
ENSMUSG00000000056,Narf,11.678303583333333,1.961289428953192,14.341033,8.947219,11.297848,7.289216,11.351111,13.561843,12.764639,11.443857,13.104989,11.385513,11.823743,12.828632
ENSMUSG00000000058,Cav2,7.348088416666666,1.7471726232282965,7.125845999999999,4.433631,8.068392,5.21799,9.125129,5.614357,7.470758,7.98418,6.773536,10.837968,8.283547,7.241727
ENSMUSG00000000078,Klf6,14.303745416666667,2.704260764186917,19.878358,10.063308,12.03555,15.85763,10.720318,12.315833,15.668698,14.339913,15.458715,16.167672,14.901027,14.237923
ENSMUSG00000000085,Scmh1,16.524679499999998,4.195012499623646,21.876409,13.338205000000002,19.323949,9.219657,24.781633999999997,13.603186999999998,13.786624999999995,13.770474000000002,16.770437,17.356996,17.111231,17.35735
ENSMUSG00000000088,Cox5a,146.05477216666665,18.678109979711582,138.946329,119.288321,167.13990300000003,128.61359,140.017083,131.352702,142.46451699999997,168.74264599999998,170.079785,165.61750299999997,156.214417,124.18047
ENSMUSG00000000093,Tbx2,0.627039,0.1008338508420479,0.735814,0.503717,0.532849,0.612176,0.715488,0.683457,0.730629,0.503076,0.733881,0.605559,0.691169,0.476653
ENSMUSG00000000094,Tbx4,0.006582666666666667,0.01595099041857067,0,0,0.014401,0.009653,0,0.054938,0,0,0,0,0,0
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,2.07672325,4.9869120422825715,2.011173,0.258133,0.711739,17.841323,0.907721,0.230264,0.430897,0.441165,0.540339,0.659907,0.390507,0.497511
