gene_id,gene_name,mean_tpm,sd_tpm,Mous-1A-SM-Mal-L,Mous-1B-SM-Mal-L,Mous-2A-SM-Mal-L,Mous-2B-SM-Mal-L,Mous-3A-SM-Mal-L,Mous-3B-SM-Mal-L,Mous-4A-SM-Fem-L,Mous-4B-SM-Fem-L,Mous-5A-SM-Fem-L,Mous-5B-SM-Fem-L,Mous-6A-SM-Fem-L,Mous-6B-SM-Fem-L
ENSMUSG00000000001,Gnai3,13.55607075,4.462848661231607,6.471575,14.622073,15.149987,14.442622,16.738748,15.613374,11.606727,8.097466,23.320875,13.955537,8.97886,13.675005
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,1.0515688333333333,0.49707744794088604,1.073823,1.262072,1.264328,1.309892,1.985295,1.698932,0.5540849999999999,0.548221,1.191988,0.674365,0.699576,0.356249
ENSMUSG00000000037,Scml2,0.16197158333333334,0.11451122649406145,0.06099599999999999,0.444084,0.046291,0.040637,0.245671,0.066139,0.188986,0.15703,0.199601,0.225168,0.169839,0.099217
ENSMUSG00000000049,Apoh,9.24340125,3.7384876177646813,3.171195,10.089993,12.924903,7.342924,14.65161,7.058668,7.741932,4.668052,15.532408,9.451285,10.183366,8.104479
ENSMUSG00000000056,Narf,4.801721583333333,2.4573800358013766,2.179916,5.067049,4.754436,4.977775,5.896812,5.4780299999999995,3.569116,2.171165,11.644386,4.448481,3.556354,3.877139
ENSMUSG00000000058,Cav2,2.9558399166666667,1.1626104756841944,0.820061,4.490004,2.238173,3.808861,3.621659,3.704412,2.25049,1.7270720000000002,4.035364,3.782421,1.65097,3.340592
ENSMUSG00000000078,Klf6,5.09007225,2.3494825665229944,1.997737,5.361439,4.454963,10.488504,5.534409999999999,7.453764,3.274551,3.248457,6.688254,5.251905,2.56456,4.762323
ENSMUSG00000000085,Scmh1,6.9333643333333335,3.4647074212854427,5.507496,8.312166,7.548511,6.462862000000001,8.977454,9.076842,4.040833,3.5390940000000004,15.937258,4.396967,3.870891,5.529998000000001
ENSMUSG00000000088,Cox5a,90.41142599999999,21.596201515671847,102.932957,110.006585,92.017704,112.095491,114.435281,103.575651,60.397803,65.17757999999999,113.603083,76.923237,65.855682,67.91605799999999
ENSMUSG00000000093,Tbx2,0.5276983333333334,0.37980210973283857,0.201379,0.625799,0.204051,0.560141,0.416124,0.750124,0.332539,0.34433,1.581124,0.688512,0.26715,0.361107
ENSMUSG00000000094,Tbx4,0.00608225,0.008826535602941847,0.009792,0,0,0,0.01009,0.009617,0,0.005433,0.030366,0,0,0.007689
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,17.466622416666667,16.82362294824082,16.408115,39.45987,41.546175,36.572111,30.904067,29.656121,1.526477,0.27054,3.725753,4.050917,1.689048,3.790275
ENSMUSG00000000125,Wnt3,0.0040455,0.009071789855470538,0.030551,0,0,0,0,0,0,0.010785,0,0,0.00721,0
ENSMUSG00000000126,Wnt9a,0.23295833333333332,0.14158010215122574,0.17478,0.2662,0.2221,0.2968,0.208866,0.277209,0.06028,0.130431,0.628771,0.210229,0.136591,0.183243
ENSMUSG00000000127,Fer,1.9005580833333333,0.6991001263609538,1.028634,1.702877,1.6892169999999995,1.638171,1.726658,2.312664,1.548444,1.561582,3.886695,1.930762,1.692389,2.088604
