gene_id,gene_name,TPM,counts,length
ENSMUSG00000000001,Gnai3,17.114215,1892,2330.314
ENSMUSG00000000003,Pbsn,0,0,481.5
ENSMUSG00000000028,Cdc45,1.229699,100,1714.15947794135
ENSMUSG00000000037,Scml2,0.10306599999999999,7.9990000000000006,1636.162115265946
ENSMUSG00000000049,Apoh,3.816018,164,905.907
ENSMUSG00000000056,Narf,3.998404,730,3848.455171335113
ENSMUSG00000000058,Cav2,3.278181,222.00099999999998,1427.4921383929077
ENSMUSG00000000078,Klf6,6.433688,1022.936,3351.4960000000005
ENSMUSG00000000085,Scmh1,4.595676000000001,567.063,2600.950879187088
ENSMUSG00000000088,Cox5a,80.693001,1303.9999999999998,340.6366529226866
ENSMUSG00000000093,Tbx2,0.647251,194,6317.991
ENSMUSG00000000094,Tbx4,0.021307,3,2967.948
ENSMUSG00000000103,Zfy2,0,0,2506
ENSMUSG00000000120,Ngfr,1.650083,319.952,4087.227
ENSMUSG00000000125,Wnt3,0,0,2751
ENSMUSG00000000126,Wnt9a,0.204121,34.11,3522.398
ENSMUSG00000000127,Fer,1.7139570000000002,208.001,2558.0762198497396
ENSMUSG00000000131,Xpo6,8.776838999999999,1255.0000000000002,3014.090046554802
ENSMUSG00000000134,Tfe3,3.9682650000000006,730,3877.6847210508868
ENSMUSG00000000142,Axin2,0.43048299999999995,98,4798.6625904344655
ENSMUSG00000000148,Brat1,2.5590960000000003,426.001,3508.9191480655663
ENSMUSG00000000149,Gna12,5.495645,1038.625,3983.7340000000004
ENSMUSG00000000154,Slc22a18,3.383538,198,1233.5139365850184
ENSMUSG00000000157,Itgb2l,0.36020599999999997,24,1404.465191401587
ENSMUSG00000000159,Igsf5,7.819461,480.073,1294.1381283775186
ENSMUSG00000000167,Pih1d2,0.357166,20,1180.3469578515312
ENSMUSG00000000168,Dlat,7.6306769999999995,1278.9999999999998,3533.1142826949695
ENSMUSG00000000171,Sdhd,42.814257,1647.532,811.14
ENSMUSG00000000182,Fgf23,0.010395,1,2027.769
ENSMUSG00000000183,Fgf6,0,0,4332
ENSMUSG00000000184,Ccnd2,5.11815,1362.9999999999998,5613.491722542716
ENSMUSG00000000194,Gpr107,6.0985429999999985,1049.001,3625.7648933999485
ENSMUSG00000000197,Nalcn,0.03266,10,6454.027
ENSMUSG00000000202,Btbd17,0.036106,1,583.806
ENSMUSG00000000204,Slfn4,0.664694,88.999,2822.398321194414
ENSMUSG00000000214,Th,0,0,941
ENSMUSG00000000215,Ins2,1.322689,12,191.23778151931404
ENSMUSG00000000216,Scnn1g,1.088474,152,2943.58
ENSMUSG00000000223,Drp2,0.045454,15,6956.209
ENSMUSG00000000244,Tspan32,6.6395360000000005,358.99899999999997,1139.743029385487
ENSMUSG00000000247,Lhx2,0.095825,11,2419.706
ENSMUSG00000000248,Clec2g,0.471918,3,134
ENSMUSG00000000253,Gmpr,0.902533,73,1704.943
ENSMUSG00000000263,Glra1,0,0,1749.6666666666667
ENSMUSG00000000266,Mid2,0.865474,170,4140.431745226316
ENSMUSG00000000275,Trim25,2.353465,632.116,5661.605882101922
ENSMUSG00000000276,Dgke,0.542899,184.01999999999998,7144.918956719389
ENSMUSG00000000278,Scpep1,8.134662,781,2023.773
ENSMUSG00000000282,Mnt,1.797955,480,5627.463625591853
ENSMUSG00000000290,Itgb2,11.452649,1679,3090.2595445848387
ENSMUSG00000000295,Hddc2,4.2297139999999995,123,612.9773715374137
ENSMUSG00000000296,Tpd52l1,40.88100400000001,1745.589,900.0585110452031
ENSMUSG00000000301,Pemt,2.1142,63,628.1229166322959
ENSMUSG00000000303,Cdh1,10.317753,2452.248,5009.903544045491
ENSMUSG00000000305,Cdh4,0.070932,26,7726.518
ENSMUSG00000000308,Ckmt1,67.740491,4694.198,1460.7073518562188
ENSMUSG00000000317,Bcl6b,0.554538,84,3192.9937217972433
ENSMUSG00000000318,Clec10a,6.845186,446.85400000000004,1376.0397873283503
ENSMUSG00000000320,Alox12,3.143123,456,3058.1145087688265
ENSMUSG00000000326,Comt,13.612039,901.904,1396.6509817069286
ENSMUSG00000000339,Rtca,4.281992000000001,330.16799999999995,1625.3232421517832
ENSMUSG00000000340,Dbt,9.82348,1169,2508.414844785147
ENSMUSG00000000346,Dazap2,30.780882000000002,2980.911,2041.3528557226527
ENSMUSG00000000355,Mcts1,20.078107000000003,289,303.40681019475585
ENSMUSG00000000359,Rem1,1.235219,121,2064.8644662557813
ENSMUSG00000000365,Rnf17,0.016357,1,1288.67
ENSMUSG00000000374,Trappc10,4.65025,1133.211,5136.707069314339
ENSMUSG00000000378,Ccm2,12.724426,788.9989999999999,1307.040163339863
ENSMUSG00000000381,Wap,0,0,360.3333333333333
ENSMUSG00000000384,Tbrg4,9.625587,650.001,1423.430968516102
ENSMUSG00000000385,Tmprss2,18.452018,2702.6119999999996,3087.3794199553136
ENSMUSG00000000386,Mx1,0.970299,81.001,1759.6618556197627
ENSMUSG00000000392,Fap,0.912909,90,2078.0949684535917
ENSMUSG00000000394,Gcg,0.025486,1,827.0959999999999
ENSMUSG00000000399,Ndufa9,33.620523999999996,1837.124,1151.8187977923249
ENSMUSG00000000402,Egfl6,0.354183,39,2321.065
ENSMUSG00000000409,Lck,15.483014,1420.0009999999997,1933.2278694999566
ENSMUSG00000000411,Tssk3,0.073285,4,1150.518
ENSMUSG00000000416,Cttnbp2,0.33455199999999996,58.999,3717.398299268873
ENSMUSG00000000420,Galnt1,52.510854,7068.9,2837.611778074149
ENSMUSG00000000435,Myf5,0,0,1758
ENSMUSG00000000439,Mkrn2,1.9804229999999998,534.572,5689.820661331443
ENSMUSG00000000440,Pparg,0.899717,82.999,1944.5630938083864
ENSMUSG00000000441,Raf1,10.467856,1407.5130000000001,2834.291892101019
ENSMUSG00000000486,Septin1,21.266904,1105.119,1095.3555472459461
ENSMUSG00000000489,Pdgfb,1.31448,245,3928.8200432170897
ENSMUSG00000000530,Acvrl1,5.225556,647.454,2611.716827048643
ENSMUSG00000000531,Tamalin,0.409284,59,3038.63
ENSMUSG00000000532,Acvr1b,4.552768,997,4616.043
ENSMUSG00000000538,Tom1l2,5.060243999999999,928.01,3865.732196991095
ENSMUSG00000000544,Gpa33,0.014818,2,2845.045
ENSMUSG00000000552,Zfp385a,1.666797,253.99900000000002,3212.1890807536847
ENSMUSG00000000555,Itga5,1.641528,411,5277.69
ENSMUSG00000000560,Gabra2,0.02164,4,3896.351
ENSMUSG00000000561,Wdr77,16.575166000000003,1631.177,2074.4028501610173
ENSMUSG00000000562,Adora3,0.21719,22,2135.176
ENSMUSG00000000563,Atp5pb,63.421817999999995,4584.045999999999,1523.563580717349
ENSMUSG00000000567,Sox9,7.160504,1616.002,4757.1669999999995
ENSMUSG00000000568,Hnrnpd,24.248238,1744.881,1516.8258114547125
ENSMUSG00000000579,Dynlt1c,4.605587,343.00199999999995,1569.8661961817245
ENSMUSG00000000581,C1d,12.129645,382.99899999999997,665.5811182120334
ENSMUSG00000000594,Gm2a,12.357086,2017.031,3440.699
ENSMUSG00000000600,Krit1,5.374946,551,2160.865367522204
ENSMUSG00000000605,Clcn4,5.480231999999999,1052.9989999999998,4050.230124835773
ENSMUSG00000000606,Vmn2r88,0,0,4088.8888888888887
ENSMUSG00000000617,Grm6,0.06080100000000001,12,4160.25835279025
ENSMUSG00000000627,Sema4f,0.6361950000000001,142,4704.876166538561
ENSMUSG00000000628,Hk2,3.969221,1193.272,6337.009
ENSMUSG00000000631,Myo18a,7.754980000000001,2081.91,5658.892048695675
ENSMUSG00000000632,Sez6,0.018062,3,3501.11
ENSMUSG00000000673,Haao,6.2498320000000005,237,799.3374552715976
ENSMUSG00000000682,Cd52,85.70689999999999,1270,312.3476342375468
ENSMUSG00000000686,Abhd15,0.425372,63.446,3144.041
ENSMUSG00000000690,Hoxb6,0,0,1317.5
ENSMUSG00000000693,Loxl3,0.660202,92.306,2947.161591711325
ENSMUSG00000000701,Tcl1b5,0,0,730
ENSMUSG00000000706,Btn1a1,0.020388,3,3101.608
ENSMUSG00000000708,Kat2b,7.902577,1625.056,4334.606663599101
ENSMUSG00000000711,Rab5b,14.681555,1943.351,2790.1619420027373
ENSMUSG00000000724,Cryba1,0,0,756
ENSMUSG00000000730,Dnmt3l,0.04976,2,847.225
ENSMUSG00000000731,Aire,0.417184,45.001,2273.708193195329
ENSMUSG00000000732,Icosl,6.652120000000001,753.069,2386.300241180255
ENSMUSG00000000738,Spg7,6.252917999999999,742.9999999999999,2504.7034271519315
ENSMUSG00000000739,Sult5a1,2.6619870000000003,167.999,1330.3115392227683
ENSMUSG00000000740,Rpl13,558.112527,17086.831,645.3416182709674
ENSMUSG00000000743,Chmp1a,13.223054,1095,1745.5511141301397
ENSMUSG00000000751,Rpa1,9.472152999999999,913.001,2031.7594259532127
ENSMUSG00000000753,Serpinf1,10.747099,586.9989999999999,1151.3224981455926
ENSMUSG00000000759,Tubgcp3,5.235269000000001,700,2818.443010700501
ENSMUSG00000000766,Oprm1,0,0,1157.1935483870968
ENSMUSG00000000776,Polr3d,4.782872,488,2150.7074463171916
ENSMUSG00000000782,Tcf7,10.129951000000002,1186.001,2467.9031395955417
ENSMUSG00000000787,Ddx3x,34.191973999999995,5476.000999999999,3375.899792708897
ENSMUSG00000000791,Il12rb1,0.21854,29,2797.163399926787
ENSMUSG00000000792,Slc5a5,0.707127,116.004,3458.01
ENSMUSG00000000794,Kcnn3,0.0118,4,7145.276
ENSMUSG00000000804,Usp32,1.5952479999999998,391.02200000000005,5166.812903300302
ENSMUSG00000000805,Car4,0.70551,36,1075.598
ENSMUSG00000000811,Txnrd3,1.187048,170,3018.777
ENSMUSG00000000817,Fasl,0.191699,13,1429.462
ENSMUSG00000000823,Zfp512b,5.439875,866.002,3355.66940903348
ENSMUSG00000000826,Dnajc5,12.848076,2417.9990000000003,3967.0563328174576
ENSMUSG00000000827,Tpd52l2,14.541617,1015.001,1471.3074383291762
ENSMUSG00000000838,Fmr1,4.989326,529.7280000000001,2238.005874838004
ENSMUSG00000000861,Bcl11a,2.719221,493.999,3829.4175869526603
ENSMUSG00000000869,Il4,0.230584,3,274.2467394094993
ENSMUSG00000000876,Pxmp4,3.328394,353.105,2236.248451658067
ENSMUSG00000000881,Dlg3,3.314578,513,3262.41861304335
ENSMUSG00000000884,Gnb1l,2.221174,99.99900000000001,949.0040279235214
ENSMUSG00000000889,Dbh,0,0,1137
ENSMUSG00000000901,Mmp11,0.411584,40,2048.5727020219447
ENSMUSG00000000902,Smarcb1,6.860869,664.039,2040.1650750407857
ENSMUSG00000000903,Vpreb3,3.525726,59,352.739
ENSMUSG00000000915,Hip1r,4.49462,1405.6,6592.02580916251
ENSMUSG00000000916,Nsun5,7.1562399999999995,448.29200000000003,1320.4613363048193
ENSMUSG00000000934,Top1mt,1.967129,174,1864.5178169062629
ENSMUSG00000000938,Hoxa10,0,0,1364
ENSMUSG00000000942,Hoxa4,0,0,1269
ENSMUSG00000000948,Gm38393,0.120741,9,1571.226
ENSMUSG00000000957,Mmp14,5.114753,727.0009999999999,2996.1251271142514
ENSMUSG00000000958,Slc7a7,4.32128,378.96799999999996,1848.5857055772826
ENSMUSG00000000959,Oxa1l,13.312298,1362.0330000000001,2156.674725181182
ENSMUSG00000000976,Heatr6,1.5643850000000001,389,5241.506605655896
ENSMUSG00000000982,Ccl3,0.099163,2,425.138
ENSMUSG00000000983,Wfdc18,167.392789,1895.559,238.6991005565479
ENSMUSG00000001014,Icam4,0.07904,3,800.0628448380567
ENSMUSG00000001016,Ilf2,10.690222,779.7080000000002,1537.429655140183
