gene_id,gene_name,TPM,counts,length
ENSMUSG00000000001,Gnai3,32.802274,1804.059,2330.115
ENSMUSG00000000003,Pbsn,0,0,500.5
ENSMUSG00000000028,Cdc45,0.919038,27,1244.6888494186312
ENSMUSG00000000037,Scml2,0.017128,1,2473.575
ENSMUSG00000000049,Apoh,2336.0926790000003,47618.635,863.6092895014538
ENSMUSG00000000056,Narf,11.959052,1037,3673.776
ENSMUSG00000000058,Cav2,2.700144,100,1569.075
ENSMUSG00000000078,Klf6,2.13705,165.001,3271.1561015633697
ENSMUSG00000000085,Scmh1,3.0310289999999998,170,2376.235757282098
ENSMUSG00000000088,Cox5a,241.619237,1707.9940000000001,299.4919500963576
ENSMUSG00000000093,Tbx2,0.753715,89.341,5021.986
ENSMUSG00000000094,Tbx4,0,0,2734
ENSMUSG00000000103,Zfy2,0,0,2524
ENSMUSG00000000120,Ngfr,1.348228,115,3613.81
ENSMUSG00000000125,Wnt3,0,0,2769
ENSMUSG00000000126,Wnt9a,0.235436,18,3239.142
ENSMUSG00000000127,Fer,3.126814,179,2425.390788247078
ENSMUSG00000000131,Xpo6,9.077625,821.2650000000001,3833.0241529570785
ENSMUSG00000000134,Tfe3,9.486048999999998,728,3251.4465617137344
ENSMUSG00000000142,Axin2,2.537722,196.999,3288.916784029141
ENSMUSG00000000148,Brat1,3.307018,256,3279.6994392664324
ENSMUSG00000000149,Gna12,39.51603,3295.481,3533.2647392330655
ENSMUSG00000000154,Slc22a18,91.338285,2575.8910000000005,1194.8272826808495
ENSMUSG00000000157,Itgb2l,0.520024,12,977.6591083065396
ENSMUSG00000000159,Igsf5,21.717354,580.153,1131.791175065618
ENSMUSG00000000167,Pih1d2,0.7645360000000001,19,1052.8981235102074
ENSMUSG00000000168,Dlat,13.433751000000001,1013,3194.7938057516476
ENSMUSG00000000171,Sdhd,181.294729,3308.976,773.284
ENSMUSG00000000182,Fgf23,0,0,1507
ENSMUSG00000000183,Fgf6,0,0,4350
ENSMUSG00000000184,Ccnd2,1.950631,240,5212.749499400963
ENSMUSG00000000194,Gpr107,7.589707,570.646,3185.4596920119584
ENSMUSG00000000197,Nalcn,0,0,3322.1428571428573
ENSMUSG00000000202,Btbd17,0,0,1138.857142857143
ENSMUSG00000000204,Slfn4,0.772925,55.002,3014.9060000000004
ENSMUSG00000000214,Th,0.05411,1,782.982
ENSMUSG00000000215,Ins2,5.91482,29,207.72421459993708
ENSMUSG00000000216,Scnn1g,0.080625,5,2627.441
ENSMUSG00000000223,Drp2,0,0,3648.6666666666665
ENSMUSG00000000244,Tspan32,0.380359,12,1336.6487107495814
ENSMUSG00000000247,Lhx2,0.863403,72,3533.047
ENSMUSG00000000248,Clec2g,0,0,1013.5
ENSMUSG00000000253,Gmpr,0.715162,26,1540.28
ENSMUSG00000000263,Glra1,0,0,1767.6666666666667
ENSMUSG00000000266,Mid2,1.430625,128,3790.6599935727395
ENSMUSG00000000275,Trim25,10.751399000000001,1278.773,5039.169158305724
ENSMUSG00000000276,Dgke,0.237558,42,7490.504999999999
ENSMUSG00000000278,Scpep1,36.846921,1600.046,1839.7630000000001
ENSMUSG00000000282,Mnt,2.148916,268,5283.795
ENSMUSG00000000290,Itgb2,3.5359160000000003,242,2899.6402024029985
ENSMUSG00000000295,Hddc2,1.69598,23,574.5630994940977
ENSMUSG00000000296,Tpd52l1,8.37674,163.99900000000002,829.4674213848109
ENSMUSG00000000301,Pemt,567.793047,8839.259000000002,659.5630670301165
ENSMUSG00000000303,Cdh1,12.63552,1271,4261.701894978916
ENSMUSG00000000305,Cdh4,0.049585,8,6835.4439999999995
ENSMUSG00000000308,Ckmt1,5.568779,168,1278.1445758195825
ENSMUSG00000000317,Bcl6b,0.6515390000000001,43,2796.140140868006
ENSMUSG00000000318,Clec10a,0.492467,14,1204.43
ENSMUSG00000000320,Alox12,0.6966979999999999,46,2797.3311274268044
ENSMUSG00000000326,Comt,455.53973,15049.49,1399.671677880351
ENSMUSG00000000339,Rtca,7.707995,249.143,1369.4251497835687
ENSMUSG00000000340,Dbt,24.071662,1456.0549999999998,2562.7277605463223
ENSMUSG00000000346,Dazap2,52.021473,2228.4339999999997,1814.8784423302852
ENSMUSG00000000355,Mcts1,32.299801,251.999,330.54538019738874
ENSMUSG00000000359,Rem1,0.53144,22,1753.876
ENSMUSG00000000365,Rnf17,0,0,1771.5
ENSMUSG00000000374,Trappc10,5.868702,644.353,4651.706198927122
ENSMUSG00000000378,Ccm2,16.052647999999998,600,1583.563035171892
ENSMUSG00000000381,Wap,0,0,379
ENSMUSG00000000384,Tbrg4,18.692478,727,1647.7760135242104
ENSMUSG00000000385,Tmprss2,4.526522,303.999,2845.3753261782444
ENSMUSG00000000386,Mx1,0.331649,17,2171.705
ENSMUSG00000000392,Fap,0.094377,2,897.831
ENSMUSG00000000394,Gcg,0.46631199999999995,7,635.992771221843
ENSMUSG00000000399,Ndufa9,102.60126199999999,2628.681,1085.465279123019
ENSMUSG00000000402,Egfl6,0.019423,1,2181.308
ENSMUSG00000000409,Lck,0.385156,20,2200.009
ENSMUSG00000000411,Tssk3,0.038801,1,1091.915
ENSMUSG00000000416,Cttnbp2,0.193428,16,3504.5494888330545
ENSMUSG00000000420,Galnt1,14.546966,963.0010000000001,2804.6880249542764
ENSMUSG00000000435,Myf5,0,0,1776
ENSMUSG00000000439,Mkrn2,4.167793,361.90799999999996,3678.93944347452
ENSMUSG00000000440,Pparg,4.002694,175,1852.3214406077504
ENSMUSG00000000441,Raf1,28.011428000000006,1719.366,2600.5408026304112
ENSMUSG00000000486,Septin1,1.966977,44,947.7282554971409
ENSMUSG00000000489,Pdgfb,0.411623,31,3190.749115792849
ENSMUSG00000000530,Acvrl1,2.126646,126,2510.1871118493627
ENSMUSG00000000531,Tamalin,0.813621,46,2395.337
ENSMUSG00000000532,Acvr1b,2.821878,279,4188.868
ENSMUSG00000000538,Tom1l2,5.499905999999999,436.42800000000005,3361.9249936158913
ENSMUSG00000000544,Gpa33,0.300435,18,2538.358
ENSMUSG00000000552,Zfp385a,11.201371,703.001,2658.978455344172
ENSMUSG00000000555,Itga5,8.646111999999999,923,4522.842653002876
ENSMUSG00000000560,Gabra2,0,0,2356.5
ENSMUSG00000000561,Wdr77,13.900637999999999,632.991,1929.274650955158
ENSMUSG00000000562,Adora3,0.0502,1,843.976
ENSMUSG00000000563,Atp5pb,159.75270799999998,5113.155000000001,1356.0370061259807
ENSMUSG00000000567,Sox9,1.407626,142.104,4277.11
ENSMUSG00000000568,Hnrnpd,23.248065000000004,838.255,1527.6401807778836
ENSMUSG00000000579,Dynlt1c,2.789564,84.851,1288.6858571715866
ENSMUSG00000000581,C1d,45.714669,602,557.9196046617772
ENSMUSG00000000594,Gm2a,29.140052,2231.17,3243.942
ENSMUSG00000000600,Krit1,4.736369,299,2674.5851494053773
ENSMUSG00000000605,Clcn4,11.489378,1031.612,3804.092107480144
ENSMUSG00000000606,Vmn2r88,0,0,4106.888888888889
ENSMUSG00000000617,Grm6,0,0,3040.25
ENSMUSG00000000627,Sema4f,0.079599,8,4258.072
ENSMUSG00000000628,Hk2,0.521083,68,5528.828
ENSMUSG00000000631,Myo18a,18.802843000000003,2830.386000000001,6377.53865505663
ENSMUSG00000000632,Sez6,0.046859,5,4520.708
ENSMUSG00000000673,Haao,351.1169720000001,8285.967,999.8204415115625
ENSMUSG00000000682,Cd52,5.236746999999999,31,250.80186783894658
ENSMUSG00000000686,Abhd15,12.770721,791.011,2624.205
ENSMUSG00000000690,Hoxb6,0.088506,5,2393.469
ENSMUSG00000000693,Loxl3,0.444987,40.623,3867.708
ENSMUSG00000000701,Tcl1b5,0,0,748
ENSMUSG00000000706,Btn1a1,0,0,1415.3333333333333
ENSMUSG00000000708,Kat2b,11.52958,1095.132,4024.237
ENSMUSG00000000711,Rab5b,30.703755,1911.7820000000002,2638.0176574667826
ENSMUSG00000000724,Cryba1,0.090654,1,467.354
ENSMUSG00000000730,Dnmt3l,0,0,922.75
ENSMUSG00000000731,Aire,0,0,1399.25
ENSMUSG00000000732,Icosl,0.239624,14,2475.302
ENSMUSG00000000738,Spg7,15.018346999999999,775,2186.3025110903354
ENSMUSG00000000739,Sult5a1,10.254011,203.00099999999998,838.7515391276643
ENSMUSG00000000740,Rpl13,455.829777,6491.007,603.309251830435
ENSMUSG00000000743,Chmp1a,32.06227,1372.061,1813.0503942024695
ENSMUSG00000000751,Rpa1,9.644629,475,2086.597363894246
ENSMUSG00000000753,Serpinf1,337.80955400000005,11154.941,1399.0269092364806
ENSMUSG00000000759,Tubgcp3,5.441287,273.00100000000003,2125.6497162957953
ENSMUSG00000000766,Oprm1,0,0,1174.4193548387098
ENSMUSG00000000776,Polr3d,8.313804,235,1197.5639618255377
ENSMUSG00000000782,Tcf7,1.319754,70,2247.169696611641
ENSMUSG00000000787,Ddx3x,40.45335,3142.888,3291.584660365458
ENSMUSG00000000791,Il12rb1,1.453332,95,2769.4223403874685
ENSMUSG00000000792,Slc5a5,0.042227,3,3009.933
ENSMUSG00000000794,Kcnn3,0.027680999999999997,3,4591.64697633756
ENSMUSG00000000804,Usp32,3.9961689999999996,425,4505.839980197535
ENSMUSG00000000805,Car4,0.130192,3,976.264
ENSMUSG00000000811,Txnrd3,2.406149,150,2641.188
