gene_id,gene_name,TPM,counts,length
ENSMUSG00000000001,Gnai3,24.954105,1151.099,2307.606
ENSMUSG00000000003,Pbsn,0,0,475
ENSMUSG00000000028,Cdc45,2.582434,83,1607.828627215255
ENSMUSG00000000037,Scml2,0.238344,18,3777.9714707145977
ENSMUSG00000000049,Apoh,12.835441,204,795.0787344314855
ENSMUSG00000000056,Narf,11.351111,812.139,3579.1729999999993
ENSMUSG00000000058,Cav2,9.125129000000001,300,1644.6488232118143
ENSMUSG00000000078,Klf6,10.720318,724,3378.483848823327
ENSMUSG00000000085,Scmh1,24.781633999999997,852.9999999999999,1721.9082860954607
ENSMUSG00000000088,Cox5a,140.017083,890.0000000000001,317.98004259206
ENSMUSG00000000093,Tbx2,0.715488,78,5453.599
ENSMUSG00000000094,Tbx4,0,0,2705
ENSMUSG00000000103,Zfy2,0,0,2495
ENSMUSG00000000120,Ngfr,0.907721,68.011,3748.172
ENSMUSG00000000125,Wnt3,0.04966,3,3022.088
ENSMUSG00000000126,Wnt9a,0.734975,49,3335.145
ENSMUSG00000000127,Fer,8.32815,406.001,2438.756360026897
ENSMUSG00000000131,Xpo6,17.583868000000002,1116.0470000000003,3175.1115806346475
ENSMUSG00000000134,Tfe3,9.537021,679.0729999999999,3562.0103380592327
ENSMUSG00000000142,Axin2,2.422834,173,3572.0155964122996
ENSMUSG00000000148,Brat1,8.468614,531.014,3136.783056126894
ENSMUSG00000000149,Gna12,28.09496,2084.997,3712.5120000000006
ENSMUSG00000000154,Slc22a18,24.309720000000002,522,1074.1904928049769
ENSMUSG00000000157,Itgb2l,1.093073,23,1052.6154236624636
ENSMUSG00000000159,Igsf5,31.949209000000003,722.905,1131.9116521074434
ENSMUSG00000000167,Pih1d2,3.4087630000000004,71,1041.9630845644008
ENSMUSG00000000168,Dlat,17.410876000000002,1255.9999999999998,3608.775979181748
ENSMUSG00000000171,Sdhd,121.460528,1839.007,757.424
ENSMUSG00000000182,Fgf23,0,0,1478
ENSMUSG00000000183,Fgf6,0,0,4321
ENSMUSG00000000184,Ccnd2,3.9928339999999998,429,5374.856856652944
ENSMUSG00000000194,Gpr107,22.364154,1905.663,4262.69685690713
ENSMUSG00000000197,Nalcn,0.125195,12,4794.986740820321
ENSMUSG00000000202,Btbd17,0.023055,1,2169.867
ENSMUSG00000000204,Slfn4,0.087346,5,2863.621
ENSMUSG00000000214,Th,0.055496,2,1802.851
ENSMUSG00000000215,Ins2,17.076482,66,193.34654345081148
ENSMUSG00000000216,Scnn1g,1.74383,90,2581.839
ENSMUSG00000000223,Drp2,0.038909,5,6428.511
ENSMUSG00000000244,Tspan32,0.307841,12,1950.0485415133137
ENSMUSG00000000247,Lhx2,0,0,847.1428571428571
ENSMUSG00000000248,Clec2g,2.283318,8,175.27271523283218
ENSMUSG00000000253,Gmpr,2.211248,69,1560.999
ENSMUSG00000000263,Glra1,0,0,1738.6666666666667
ENSMUSG00000000266,Mid2,1.344032,105,3908.145133804106
ENSMUSG00000000275,Trim25,1.964444,201,5118.555
ENSMUSG00000000276,Dgke,1.2532619999999999,164,6546.251014775841
ENSMUSG00000000278,Scpep1,17.355299,649,1870.697
ENSMUSG00000000282,Mnt,6.021072,662,5500.156
ENSMUSG00000000290,Itgb2,2.742077,162,2955.468
ENSMUSG00000000295,Hddc2,12.606176000000001,130,515.8822329338411
ENSMUSG00000000296,Tpd52l1,142.607026,2521.417999999999,884.49462009991
ENSMUSG00000000301,Pemt,17.31973,173,499.6846198406095
ENSMUSG00000000303,Cdh1,123.210576,10946.648,4444.5113952593565
ENSMUSG00000000305,Cdh4,0.006972,1,7175.312
ENSMUSG00000000308,Ckmt1,145.81806,3549.0460000000003,1217.562717794092
ENSMUSG00000000317,Bcl6b,0.49747800000000003,25,2513.9536348401334
ENSMUSG00000000318,Clec10a,2.7096999999999998,68.411,1262.9732404103775
ENSMUSG00000000320,Alox12,8.821254,491.099,2785.0285514688726
ENSMUSG00000000326,Comt,52.613468000000005,1354.826,1288.182214435133
ENSMUSG00000000339,Rtca,11.643909999999998,335.82199999999995,1442.783670957608
ENSMUSG00000000340,Dbt,21.923617,1115,2544.2131447771594
ENSMUSG00000000346,Dazap2,81.248268,3235.006,1991.8285444698834
ENSMUSG00000000355,Mcts1,62.629251999999994,395.003,315.5110589601006
ENSMUSG00000000359,Rem1,1.3620480000000001,44.001,1616.0369540420015
ENSMUSG00000000365,Rnf17,0.050574,1,989.15
ENSMUSG00000000374,Trappc10,15.909106999999999,1530.9999999999998,4814.157230265094
ENSMUSG00000000378,Ccm2,13.684999,450.001,1644.9727164940966
ENSMUSG00000000381,Wap,0,0,356.6666666666667
ENSMUSG00000000384,Tbrg4,32.563183,793.001,1218.2521134240778
ENSMUSG00000000385,Tmprss2,34.399047,2023.628,2942.8986407035923
ENSMUSG00000000386,Mx1,2.5069239999999997,109,2175.0842932262804
ENSMUSG00000000392,Fap,1.743253,52,1492.223317973352
ENSMUSG00000000394,Gcg,0.372318,6,806.1730000000001
ENSMUSG00000000399,Ndufa9,87.148256,1826.209,1048.293
ENSMUSG00000000402,Egfl6,0.298995,13,2175.056
ENSMUSG00000000409,Lck,0.901189,27,1498.7820839324488
ENSMUSG00000000411,Tssk3,0.087484,2,1143.642
ENSMUSG00000000416,Cttnbp2,1.1912820000000002,91.001,3821.3583289850762
ENSMUSG00000000420,Galnt1,10.900043,567.001,2602.237427679413
ENSMUSG00000000435,Myf5,0,0,1747
ENSMUSG00000000439,Mkrn2,5.7167829999999995,591.237,5173.695471237058
ENSMUSG00000000440,Pparg,0.6827949999999999,25,1831.6436149927868
ENSMUSG00000000441,Raf1,26.531118999999997,1349.3580000000002,2544.2652988249765
ENSMUSG00000000486,Septin1,2.670303,69,1292.6457214308637
ENSMUSG00000000489,Pdgfb,8.745799,540,3088.7675797243915
ENSMUSG00000000530,Acvrl1,4.603714,240,2607.9174272398327
ENSMUSG00000000531,Tamalin,0.54516,29,2661.121
