Geneid,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Annotation,Tissue specificity,Subcellular location [CC],Gene Ontology (GO),Function [CC],Catalytic activity,DNA binding,Gene Ontology (molecular function),Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology IDs,.secreted_match_cols,secreted,Reference,Function
Scgb1a1,Q06318,reviewed,UTER_MOUSE,Uteroglobin (Club cell 17 kDa protein) (Club cell phospholipid-binding protein) (CCPBP) (Club cells 10 kDa secretory protein) (CC10) (PCB-binding protein) (Secretoglobin family 1A member 1),Scgb1a1 Cc10 Ugb Utg,Mus musculus (Mouse),96,5,TISSUE SPECIFICITY: Club cells (nonciliated cells of the surface epithelium of the pulmonary airways).,SUBCELLULAR LOCATION: Secreted.,cytoplasm [GO:0005737]; extracellular space [GO:0005615]; nuclear envelope [GO:0005635]; secretory granule [GO:0030141]; phospholipase A2 inhibitor activity [GO:0019834]; polychlorinated biphenyl binding [GO:0097160]; negative regulation of interleukin-13 production [GO:0032696]; negative regulation of interleukin-4 production [GO:0032713]; negative regulation of interleukin-5 production [GO:0032714]; negative regulation of T cell proliferation [GO:0042130]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of type II interferon production [GO:0032689]; regulation of inflammatory response [GO:0050727]; regulation of mRNA stability [GO:0043488]; response to cytokine [GO:0034097]; response to fibroblast growth factor [GO:0071774]; response to glucocorticoid [GO:0051384]; response to lipopolysaccharide [GO:0032496]; response to ozone [GO:0010193]; response to silicon dioxide [GO:0034021]; response to xenobiotic stimulus [GO:0009410]; signal transduction [GO:0007165]; T cell proliferation [GO:0042098],"FUNCTION: Binds phosphatidylcholine, phosphatidylinositol, polychlorinated biphenyls (PCB) and weakly progesterone, potent inhibitor of phospholipase A2.",NA,NA,phospholipase A2 inhibitor activity [GO:0019834]; polychlorinated biphenyl binding [GO:0097160],negative regulation of interleukin-13 production [GO:0032696]; negative regulation of interleukin-4 production [GO:0032713]; negative regulation of interleukin-5 production [GO:0032714]; negative regulation of T cell proliferation [GO:0042130]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of type II interferon production [GO:0032689]; regulation of inflammatory response [GO:0050727]; regulation of mRNA stability [GO:0043488]; response to cytokine [GO:0034097]; response to fibroblast growth factor [GO:0071774]; response to glucocorticoid [GO:0051384]; response to lipopolysaccharide [GO:0032496]; response to ozone [GO:0010193]; response to silicon dioxide [GO:0034021]; response to xenobiotic stimulus [GO:0009410]; signal transduction [GO:0007165]; T cell proliferation [GO:0042098],cytoplasm [GO:0005737]; extracellular space [GO:0005615]; nuclear envelope [GO:0005635]; secretory granule [GO:0030141],GO:0000122; GO:0005615; GO:0005635; GO:0005737; GO:0007165; GO:0009410; GO:0010193; GO:0019834; GO:0030141; GO:0032496; GO:0032689; GO:0032696; GO:0032713; GO:0032714; GO:0034021; GO:0034097; GO:0042098; GO:0042130; GO:0043488; GO:0050727; GO:0051384; GO:0071774; GO:0097160,Subcellular location [CC],yes,https://doi.org/10.1093/oxfordjournals.molbev.a026209 / https://doi.org/10.1093/oxfordjournals.molbev.a004102,androgen_binding
Scgb1b10,A0A087WPW0,unreviewed,A0A087WPW0_MOUSE,"ABPA10 (Secretoglobin, family 1B, member 10)",Scgb1b10 Abpa10,Mus musculus (Mouse),93,1,NA,SUBCELLULAR LOCATION: Secreted {ECO:0000256|ARBA:ARBA00004613}.,extracellular region [GO:0005576],NA,NA,NA,NA,NA,extracellular region [GO:0005576],GO:0005576,Subcellular location [CC],yes,https://doi.org/10.1093/oxfordjournals.molbev.a026209 / https://doi.org/10.1093/oxfordjournals.molbev.a004102,androgen_binding
Scgb1b12,A0A087WP21,unreviewed,A0A087WP21_MOUSE,"ABPA12 (Secretoglobin, family 1B, member 12)",Scgb1b12 Abpa12,Mus musculus (Mouse),93,1,NA,SUBCELLULAR LOCATION: Secreted {ECO:0000256|ARBA:ARBA00004613}.,extracellular region [GO:0005576],NA,NA,NA,NA,NA,extracellular region [GO:0005576],GO:0005576,Subcellular location [CC],yes,https://doi.org/10.1093/oxfordjournals.molbev.a026209 / https://doi.org/10.1093/oxfordjournals.molbev.a004102,androgen_binding
Scgb1b15,A0A087WP50,unreviewed,A0A087WP50_MOUSE,"ABPA15_a17 (Secretoglobin, family 1B, member 15) (Secretoglobin, family 1B, member 17)",Scgb1b17 Abpa15_a17 Scgb1b15,Mus musculus (Mouse),93,1,NA,SUBCELLULAR LOCATION: Secreted {ECO:0000256|ARBA:ARBA00004613}.,extracellular region [GO:0005576],NA,NA,NA,NA,NA,extracellular region [GO:0005576],GO:0005576,Subcellular location [CC],yes,https://doi.org/10.1093/oxfordjournals.molbev.a026209 / https://doi.org/10.1093/oxfordjournals.molbev.a004102,androgen_binding
Scgb1b17,A0A087WP50,unreviewed,A0A087WP50_MOUSE,"ABPA15_a17 (Secretoglobin, family 1B, member 15) (Secretoglobin, family 1B, member 17)",Scgb1b17 Abpa15_a17 Scgb1b15,Mus musculus (Mouse),93,1,NA,SUBCELLULAR LOCATION: Secreted {ECO:0000256|ARBA:ARBA00004613}.,extracellular region [GO:0005576],NA,NA,NA,NA,NA,extracellular region [GO:0005576],GO:0005576,Subcellular location [CC],yes,https://doi.org/10.1093/oxfordjournals.molbev.a026209 / https://doi.org/10.1093/oxfordjournals.molbev.a004102,androgen_binding
Scgb1b19,F6WYW0,unreviewed,F6WYW0_MOUSE,"ABPA19 (Secretoglobin, family 1B, member 19)",Scgb1b19 Abpa19 Gm4695,Mus musculus (Mouse),93,1,NA,SUBCELLULAR LOCATION: Secreted {ECO:0000256|ARBA:ARBA00004613}.,extracellular region [GO:0005576],NA,NA,NA,NA,NA,extracellular region [GO:0005576],GO:0005576,Subcellular location [CC],yes,https://doi.org/10.1093/oxfordjournals.molbev.a026209 / https://doi.org/10.1093/oxfordjournals.molbev.a004102,androgen_binding
Scgb1b2,O35176,unreviewed,O35176_MOUSE,"ABPA2 (Androgen-binding protein) (Lacrimal androgen-binding protein eta) (Secretoglobin, family 1B, member 2)",Scgb1b2 Abpa2 Abph Apbh Mja1l,Mus musculus (Mouse),93,2,NA,SUBCELLULAR LOCATION: Secreted {ECO:0000256|ARBA:ARBA00004613}.,extracellular region [GO:0005576],NA,NA,NA,NA,NA,extracellular region [GO:0005576],GO:0005576,Subcellular location [CC],yes,https://doi.org/10.1093/oxfordjournals.molbev.a026209 / https://doi.org/10.1093/oxfordjournals.molbev.a004102,androgen_binding
Scgb1b20,E9PWZ2,unreviewed,E9PWZ2_MOUSE,"ABPA20 (Secretoglobin, family 1B, member 20)",Scgb1b20 Abpa20 Gm5895 Scgb1b11,Mus musculus (Mouse),93,2,NA,SUBCELLULAR LOCATION: Secreted {ECO:0000256|ARBA:ARBA00004613}.,extracellular region [GO:0005576],NA,NA,NA,NA,NA,extracellular region [GO:0005576],GO:0005576,Subcellular location [CC],yes,https://doi.org/10.1093/oxfordjournals.molbev.a026209 / https://doi.org/10.1093/oxfordjournals.molbev.a004102,androgen_binding
Scgb1b24,B1B0N6,unreviewed,B1B0N6_MOUSE,"ABPA24 (Androgen-binding protein) (Secretoglobin, family 1B, member 24)",Scgb1b24 Abpa24 Gm12769,Mus musculus (Mouse),92,1,NA,SUBCELLULAR LOCATION: Secreted {ECO:0000256|ARBA:ARBA00004613}.,extracellular region [GO:0005576],NA,NA,NA,NA,NA,extracellular region [GO:0005576],GO:0005576,Subcellular location [CC],yes,https://doi.org/10.1093/oxfordjournals.molbev.a026209 / https://doi.org/10.1093/oxfordjournals.molbev.a004102,androgen_binding
Scgb1b26-ps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,manual_annotation,https://doi.org/10.1093/oxfordjournals.molbev.a026209 / https://doi.org/10.1093/oxfordjournals.molbev.a004102,androgen_binding
