human_gene,human_id,mouse_gene,mouse_id,n_mouse,n_human,ortholog_type
5S_rRNA,ENSG00000277411,Gm54938,ENSMUSG00002075762,1,1,one-to-one
5S_rRNA,ENSG00000277488,Gm55958,ENSMUSG00002076000,2,2,many-to-many
5S_rRNA,ENSG00000277488,Gm56034,ENSMUSG00002076334,2,2,many-to-many
5_8S_rRNA,ENSG00000275877,Gm54867,ENSMUSG00002075795,2,5,many-to-many
5_8S_rRNA,ENSG00000283274,Gm54867,ENSMUSG00002075795,2,5,many-to-many
5_8S_rRNA,ENSG00000276871,Gm54867,ENSMUSG00002075795,2,5,many-to-many
5_8S_rRNA,ENSG00000278294,Gm54867,ENSMUSG00002075795,2,5,many-to-many
5_8S_rRNA,ENSG00000283291,Gm54867,ENSMUSG00002075795,2,5,many-to-many
5_8S_rRNA,ENSG00000275877,Gm55073,ENSMUSG00002075637,2,5,many-to-many
5_8S_rRNA,ENSG00000283274,Gm55073,ENSMUSG00002075637,2,5,many-to-many
5_8S_rRNA,ENSG00000276871,Gm55073,ENSMUSG00002075637,2,5,many-to-many
5_8S_rRNA,ENSG00000278294,Gm55073,ENSMUSG00002075637,2,5,many-to-many
5_8S_rRNA,ENSG00000283291,Gm55073,ENSMUSG00002075637,2,5,many-to-many
7SK,ENSG00000274303,Gm54750,ENSMUSG00002074945,1,1,one-to-one
7SK,ENSG00000273591,Gm55242,ENSMUSG00002076501,1,6,one-to-many (mouse-to-human)
7SK,ENSG00000275933,Gm55242,ENSMUSG00002076501,1,6,one-to-many (mouse-to-human)
7SK,ENSG00000277313,Gm55242,ENSMUSG00002076501,1,6,one-to-many (mouse-to-human)
7SK,ENSG00000276626,Gm55613,ENSMUSG00002075909,1,1,one-to-one
7SK,ENSG00000202198,Rn7sk,ENSMUSG00002076161,1,1,one-to-one
A1BG,ENSG00000121410,A1bg,ENSMUSG00000022347,1,1,one-to-one
A1CF,ENSG00000148584,A1cf,ENSMUSG00000052595,1,1,one-to-one
A2M,ENSG00000175899,A2m,ENSMUSG00000030111,1,1,one-to-one
A3GALT2,ENSG00000184389,A3galt2,ENSMUSG00000028794,1,1,one-to-one
A4GALT,ENSG00000128274,A4galt,ENSMUSG00000047878,1,1,one-to-one
A4GNT,ENSG00000118017,A4gnt,ENSMUSG00000037953,1,1,one-to-one
AAAS,ENSG00000094914,Aaas,ENSMUSG00000036678,1,1,one-to-one
AACS,ENSG00000081760,Aacs,ENSMUSG00000029482,1,1,one-to-one
AADAC,ENSG00000114771,Aadac,ENSMUSG00000027761,1,1,one-to-one
AADACL2,ENSG00000197953,Aadacl2,ENSMUSG00000091376,1,1,one-to-one
AADACL3,ENSG00000188984,Aadacl3,ENSMUSG00000078507,1,1,one-to-one
AADACL4,ENSG00000204518,AAdacl4fm3,ENSMUSG00000041735,5,1,one-to-many (mouse-to-human)
AADACL4,ENSG00000204518,Aadacl4,ENSMUSG00000070609,5,1,one-to-many (mouse-to-human)
AADACL4,ENSG00000204518,Aadacl4fm1,ENSMUSG00000028593,5,1,one-to-many (mouse-to-human)
AADACL4,ENSG00000204518,Aadacl4fm4,ENSMUSG00000078505,5,1,one-to-many (mouse-to-human)
AADACL4,ENSG00000204518,Aadacl4fm5,ENSMUSG00000078504,5,1,one-to-many (mouse-to-human)
AADAT,ENSG00000109576,Aadat,ENSMUSG00000057228,1,1,one-to-one
