gene_id,gene_name,TPM,counts,length
ENSMUSG00000000001,Gnai3,13.709458,930,2374.56
ENSMUSG00000000003,Pbsn,0,0,505.5
ENSMUSG00000000028,Cdc45,1.216013,58,1669.5922582094106
ENSMUSG00000000037,Scml2,0.099919,2,700.65
ENSMUSG00000000049,Apoh,12.787177,340.007,930.752
ENSMUSG00000000056,Narf,4.318606,428,3469.130232049416
ENSMUSG00000000058,Cav2,10.874651,463,1490.342306607173
ENSMUSG00000000078,Klf6,6.347104,634,3496.5049999999997
ENSMUSG00000000085,Scmh1,5.342819,325.999,2135.8343509439496
ENSMUSG00000000088,Cox5a,218.23742699999997,2102.473,337.2268210644318
ENSMUSG00000000093,Tbx2,0.710626,127,6255.803
ENSMUSG00000000094,Tbx4,0.011817,1,2962.198
ENSMUSG00000000103,Zfy2,0,0,2532
ENSMUSG00000000120,Ngfr,0.677203,79,4083.465
ENSMUSG00000000125,Wnt3,0.021477,2,3259.647
ENSMUSG00000000126,Wnt9a,0.392867,40,3563.9764051091083
ENSMUSG00000000127,Fer,2.441485,187,2681.0694374460627
ENSMUSG00000000131,Xpo6,8.853665999999999,690.999,2731.966157045455
ENSMUSG00000000134,Tfe3,3.1522900000000003,367.00000000000006,4075.3065728851084
ENSMUSG00000000142,Axin2,1.225646,114,3255.8194226097908
ENSMUSG00000000148,Brat1,2.370807,244,3602.58465166165
ENSMUSG00000000149,Gna12,5.602953,645,4029.6109999999994
ENSMUSG00000000154,Slc22a18,3.5172359999999996,128,1273.880897401255
ENSMUSG00000000157,Itgb2l,0.253795,10,1379.2356737642585
ENSMUSG00000000159,Igsf5,5.751214000000001,216.032,1314.8576023458697
ENSMUSG00000000167,Pih1d2,0.46440800000000004,11,829.1124140367951
ENSMUSG00000000168,Dlat,32.238627,2855,3099.916497418857
ENSMUSG00000000171,Sdhd,123.665522,2925.936,828.203
ENSMUSG00000000182,Fgf23,0,0,1515
ENSMUSG00000000183,Fgf6,0,0,4358
ENSMUSG00000000184,Ccnd2,3.780488,598.0010000000001,5536.989922215862
ENSMUSG00000000194,Gpr107,4.757552,613,4510.215868952352
ENSMUSG00000000197,Nalcn,0.026857,5,6516.847
ENSMUSG00000000202,Btbd17,0.02675,2,2617.094
ENSMUSG00000000204,Slfn4,0.261867,23,3074.445
ENSMUSG00000000214,Th,0,0,965.3333333333334
ENSMUSG00000000215,Ins2,7.011112,42.001000000000005,209.69244194957946
ENSMUSG00000000216,Scnn1g,0.393708,33,2934.003
ENSMUSG00000000223,Drp2,1.227641,221,6301.460432469264
ENSMUSG00000000244,Tspan32,7.230779000000002,258,1248.9792699590178
ENSMUSG00000000247,Lhx2,0,0,875
ENSMUSG00000000248,Clec2g,0.438699,7,558.5374609082766
ENSMUSG00000000253,Gmpr,3.2046259999999998,151.998,1660.2779811634807
ENSMUSG00000000263,Glra1,0,0,1775.6666666666667
ENSMUSG00000000266,Mid2,0.954582,116,4253.682310697248
ENSMUSG00000000275,Trim25,5.434276,886,5707.060820418396
ENSMUSG00000000276,Dgke,0.548639,91,5805.979633952381
ENSMUSG00000000278,Scpep1,9.939667,574,2021.438
ENSMUSG00000000282,Mnt,1.608628,273,5940.559000000001
ENSMUSG00000000290,Itgb2,13.519062,1209.0140000000001,3130.439273512245
ENSMUSG00000000295,Hddc2,5.70268,100.00000000000001,613.8206998130703
ENSMUSG00000000296,Tpd52l1,34.706983,940.0000000000001,948.0507710431933
ENSMUSG00000000301,Pemt,6.454417,117.99900000000001,639.949216480435
ENSMUSG00000000303,Cdh1,7.223208,1023,4957.537
ENSMUSG00000000305,Cdh4,0.031586,7,7757.43
ENSMUSG00000000308,Ckmt1,49.986298,2096.0009999999997,1467.7789797841
ENSMUSG00000000317,Bcl6b,0.641632,64,3491.521
ENSMUSG00000000318,Clec10a,5.268481,214.55700000000002,1425.5330689265083
ENSMUSG00000000320,Alox12,1.599183,143,3130.100739317514
ENSMUSG00000000326,Comt,34.202079,1416.267,1449.4833015055315
ENSMUSG00000000339,Rtca,6.470378999999999,286,1547.2365119293631
ENSMUSG00000000340,Dbt,11.38621,875.251,2690.754
ENSMUSG00000000346,Dazap2,33.055389,1965.001,2080.8503753061864
ENSMUSG00000000355,Mcts1,29.211147,269.00000000000006,322.34741321770076
ENSMUSG00000000359,Rem1,0.542058,32,2066.448
ENSMUSG00000000365,Rnf17,0.124128,1,282
ENSMUSG00000000374,Trappc10,3.990578,596,5227.943398969773
ENSMUSG00000000378,Ccm2,14.643076,562.999,1345.8501531139354
ENSMUSG00000000381,Wap,0.112587,1,310.908
ENSMUSG00000000384,Tbrg4,8.931367999999999,396.001,1552.0213873277867
ENSMUSG00000000385,Tmprss2,16.924522000000003,1461.002,3021.7272062967563
ENSMUSG00000000386,Mx1,2.080324,142.663,2400.475695703169
ENSMUSG00000000392,Fap,1.263866,78,2160.299622128454
ENSMUSG00000000394,Gcg,0.367209,9,857.925
ENSMUSG00000000399,Ndufa9,73.917928,2423.149,1147.494968558967
ENSMUSG00000000402,Egfl6,0.396891,27,2381.296
ENSMUSG00000000409,Lck,16.732678,915.001,1914.150574797889
ENSMUSG00000000411,Tssk3,0.029869,1,1171.932
ENSMUSG00000000416,Cttnbp2,0.37804699999999997,40,3703.6860963054864
ENSMUSG00000000420,Galnt1,30.118961,2576.8469999999998,2994.8083259340187
ENSMUSG00000000435,Myf5,0.055019,2,1272.44
ENSMUSG00000000439,Mkrn2,3.4369249999999996,400.672,4080.7417332836767
ENSMUSG00000000440,Pparg,8.957632,440.38300000000004,1720.9090892383167
ENSMUSG00000000441,Raf1,10.292785,877.3569999999999,2983.763416629513
ENSMUSG00000000486,Septin1,21.082475999999996,684.0010000000001,1135.6769907472446
ENSMUSG00000000489,Pdgfb,1.647628,182,3866.62918398085
ENSMUSG00000000530,Acvrl1,3.50047,258.001,2579.964852520661
