gene_id,gene_name,TPM,counts,length
ENSMUSG00000000001,Gnai3,19.732969,1648,2331.909
ENSMUSG00000000003,Pbsn,0,0,493
ENSMUSG00000000028,Cdc45,1.6484670000000001,101,1710.755213550529
ENSMUSG00000000037,Scml2,0.473668,26,1532.6617999611542
ENSMUSG00000000049,Apoh,7.960903,254,890.8776438339974
ENSMUSG00000000056,Narf,7.289216,1012,3876.5589999999997
ENSMUSG00000000058,Cav2,5.21799,284,1519.714
ENSMUSG00000000078,Klf6,15.85763,1957.53,3446.807
ENSMUSG00000000085,Scmh1,9.219657,813.1759999999998,2462.723198690689
ENSMUSG00000000088,Cox5a,128.61359,1455.9999999999998,316.0981140181376
ENSMUSG00000000093,Tbx2,0.612176,132,6020.666
ENSMUSG00000000094,Tbx4,0.009653,1,2892.699
ENSMUSG00000000103,Zfy2,0,0,2518
ENSMUSG00000000120,Ngfr,17.841323,2525.003,3951.6780000000003
ENSMUSG00000000125,Wnt3,0,0,2763
ENSMUSG00000000126,Wnt9a,0.380617,48,3521.27
ENSMUSG00000000127,Fer,3.622338,319,2458.942442186234
ENSMUSG00000000131,Xpo6,8.014575999999998,1275.6550000000002,4444.261147538436
ENSMUSG00000000134,Tfe3,5.48106,739.999,3769.7613123151364
ENSMUSG00000000142,Axin2,0.847197,98,3229.897854301892
ENSMUSG00000000148,Brat1,3.80538,476,3492.654251495251
ENSMUSG00000000149,Gna12,11.955309999999999,1653.442,3861.6692293347473
ENSMUSG00000000154,Slc22a18,12.718084999999999,533.9999999999999,1172.374036015328
ENSMUSG00000000157,Itgb2l,1.873058,75,1118.039092749931
ENSMUSG00000000159,Igsf5,20.941167,917.175,1222.9208087833883
ENSMUSG00000000167,Pih1d2,0.855844,21,685.1280352470777
ENSMUSG00000000168,Dlat,11.893963,1604.018,3765.558
ENSMUSG00000000171,Sdhd,62.160829,1859.002,835.045
ENSMUSG00000000182,Fgf23,0.014542,1,1920.077
ENSMUSG00000000183,Fgf6,0,0,4344
ENSMUSG00000000184,Ccnd2,2.124061,405.287,5327.726154166004
ENSMUSG00000000194,Gpr107,10.429314999999999,1876.261,5023.243391651418
ENSMUSG00000000197,Nalcn,0.031247,7,6255.218
ENSMUSG00000000202,Btbd17,0.070494,6,2376.554
ENSMUSG00000000204,Slfn4,0.23169,26,3133.382
ENSMUSG00000000214,Th,0,0,952
ENSMUSG00000000215,Ins2,5.196886,37,198.79493335047178
ENSMUSG00000000216,Scnn1g,2.798797,272,2713.594
ENSMUSG00000000223,Drp2,0.040489,10,6896.1630000000005
ENSMUSG00000000244,Tspan32,0.180809,13,2007.558173348672
ENSMUSG00000000247,Lhx2,0.034598,5,4035.2430000000004
ENSMUSG00000000248,Clec2g,0.733464,21,799.4426775956284
ENSMUSG00000000253,Gmpr,2.221688,91,1143.681556755044
ENSMUSG00000000263,Glra1,0,0,1761.6666666666667
ENSMUSG00000000266,Mid2,2.845623,425.23400000000004,4172.506616055254
ENSMUSG00000000275,Trim25,6.645996,1292.2,5428.958
ENSMUSG00000000276,Dgke,0.809444,175.00400000000002,6036.847024663843
ENSMUSG00000000278,Scpep1,13.062359,910,1945.21
ENSMUSG00000000282,Mnt,3.089445,629,5684.821672918275
ENSMUSG00000000290,Itgb2,5.357417,570,2970.750668921796
ENSMUSG00000000295,Hddc2,6.198116000000001,131,590.1447151234344
ENSMUSG00000000296,Tpd52l1,60.758277,1921.041,882.8314671837223
ENSMUSG00000000301,Pemt,6.866111,113.99999999999999,463.59734315291433
ENSMUSG00000000303,Cdh1,59.473768,9656.613,4533.63
ENSMUSG00000000305,Cdh4,0.007607,2,7341.17
ENSMUSG00000000308,Ckmt1,108.159111,5149.999000000001,1329.5075937550002
ENSMUSG00000000317,Bcl6b,0.207503,26,3498.61
ENSMUSG00000000318,Clec10a,1.81817,85.995,1320.6513230709998
ENSMUSG00000000320,Alox12,5.974669,619.548,2895.394783370259
ENSMUSG00000000326,Comt,25.85226,1316.203,1421.5806654030248
ENSMUSG00000000339,Rtca,8.197176,441.99899999999997,1505.582886225207
ENSMUSG00000000340,Dbt,14.993969,1398.0220000000002,2603.419576424761
ENSMUSG00000000346,Dazap2,56.281444,4150.813,2059.276695655321
ENSMUSG00000000355,Mcts1,32.152916000000005,364,316.10217013520645
ENSMUSG00000000359,Rem1,0.555656,27,1356.7656552687274
ENSMUSG00000000365,Rnf17,0.0206,1,1355.435
ENSMUSG00000000374,Trappc10,8.664631,1562.9959999999999,5036.79848303061
ENSMUSG00000000378,Ccm2,8.909811,512.001,1604.5317701705458
ENSMUSG00000000381,Wap,0,0,369.3333333333333
ENSMUSG00000000384,Tbrg4,10.951538999999999,577.037,1471.2096767762964
ENSMUSG00000000385,Tmprss2,37.091882999999996,3855.142,2902.0728404323127
ENSMUSG00000000386,Mx1,3.570068,281.697,2203.1920276580167
ENSMUSG00000000392,Fap,1.9111089999999997,135.013,1972.586237293111
ENSMUSG00000000394,Gcg,0.24135,7,809.8369999999999
ENSMUSG00000000399,Ndufa9,55.959207,2307.007,1151.1297566659587
ENSMUSG00000000402,Egfl6,0.221045,18,2273.729
ENSMUSG00000000409,Lck,0.6494500000000001,54,2321.6407673646936
