gene_id,gene_name,TPM,counts,length
ENSMUSG00000000001,Gnai3,9.885771,720.001,2319.579
ENSMUSG00000000003,Pbsn,0,0,495
ENSMUSG00000000028,Cdc45,0.612154,31,1612.8286480591485
ENSMUSG00000000037,Scml2,0.096291,3,992.2523929650746
ENSMUSG00000000049,Apoh,10.764866,309,914.1901781342192
ENSMUSG00000000056,Narf,2.870006,334,3706.3835266992473
ENSMUSG00000000058,Cav2,2.46712,113,1458.73
ENSMUSG00000000078,Klf6,3.427981,377,3502.593
ENSMUSG00000000085,Scmh1,5.579287999999999,296.998,1695.3695205793285
ENSMUSG00000000088,Cox5a,68.03792800000001,703,329.0719098653768
ENSMUSG00000000093,Tbx2,0.717398,139,6170.796
ENSMUSG00000000094,Tbx4,0,0,2731
ENSMUSG00000000103,Zfy2,0,0,2521
ENSMUSG00000000120,Ngfr,0.374971,49,4161.843
ENSMUSG00000000125,Wnt3,0.009619,1,3310.9
ENSMUSG00000000126,Wnt9a,0.187711,21,3563.009
ENSMUSG00000000127,Fer,1.539816,132.001,2730.183237499805
ENSMUSG00000000131,Xpo6,5.051992999999999,437.065,2755.312491221584
ENSMUSG00000000134,Tfe3,2.232419,279,3980.2954169902687
ENSMUSG00000000142,Axin2,0.204106,22,3432.825764485121
ENSMUSG00000000148,Brat1,1.1354170000000001,126,3534.2867073401226
ENSMUSG00000000149,Gna12,2.517942,307.76,3892.719
ENSMUSG00000000154,Slc22a18,4.949929,190.00000000000003,1222.4788164682766
ENSMUSG00000000157,Itgb2l,0.585212,24,1306.1275805742193
ENSMUSG00000000159,Igsf5,7.165016999999999,305.469,1357.8053594932155
ENSMUSG00000000167,Pih1d2,0.283197,11,1237.0591061981588
ENSMUSG00000000168,Dlat,4.963081,597.475,3834.0280024228905
ENSMUSG00000000171,Sdhd,32.229452,810.008,800.43
ENSMUSG00000000182,Fgf23,0,0,1504
ENSMUSG00000000183,Fgf6,0,0,4347
ENSMUSG00000000184,Ccnd2,0.9772540000000001,158.00000000000003,5149.160171852968
ENSMUSG00000000194,Gpr107,2.4079599999999997,395,5224.377391687571
ENSMUSG00000000197,Nalcn,0.119179,22,5879.089739761199
ENSMUSG00000000202,Btbd17,0,0,1131.5714285714287
ENSMUSG00000000204,Slfn4,0,0,2853.6666666666665
ENSMUSG00000000214,Th,0.034841,2,1828.214
ENSMUSG00000000215,Ins2,1.5775169999999998,10,201.8890034148602
ENSMUSG00000000216,Scnn1g,0.563872,54,3049.999
ENSMUSG00000000223,Drp2,0.122985,25,6474.015499272269
ENSMUSG00000000244,Tspan32,0.32625000000000004,11,1073.8216156873561
ENSMUSG00000000247,Lhx2,0,0,864.2857142857143
ENSMUSG00000000248,Clec2g,0.187726,10,1696.532
ENSMUSG00000000253,Gmpr,0.39439,21,1695.822
ENSMUSG00000000263,Glra1,0,0,1764.6666666666667
ENSMUSG00000000266,Mid2,0.8708210000000001,114,4169.298169703073
ENSMUSG00000000275,Trim25,1.852969,341,5861.017
ENSMUSG00000000276,Dgke,0.308659,83,8564.18
ENSMUSG00000000278,Scpep1,2.788658,180,2055.721
ENSMUSG00000000282,Mnt,1.08414,204.485,6007.084
