Geneid,mouse_gene,ortholog_type,Secretome location,Secretome function,Level,Reliability,Cell type,Mean_TPM
DDX11L1,,human-specific,,,,,,0.010458106870229
WASH7P,,human-specific,,,,,,1.92145013358779
MIR6859-1,,human-specific,,,,,,0.00338171755725191
MIR1302-2HG,,human-specific,,,,,,0.0237603435114504
FAM138A,,human-specific,,,,,,0.00871440076335878
OR4F5,Or4f17 | Or4f4b | Or4f4-ps1,many-to-many,,,,,,0.0847243816793893
DDX11L17,,human-specific,,,,,,0.0967861259541985
WASH9P,,human-specific,,,,,,3.48535656870229
MIR6859-2,,human-specific,,,,,,0.00142266030534351
OR4F29,,human-specific,,,,,,0.0676872824427481
OR4F16,Or4f7,one-to-many (mouse-to-human),,,,,,0.0470080992366412
LINC01409,,human-specific,,,,,,0.359248900763359
FAM87B,,human-specific,,,,,,0.162149400763359
LINC01128,,human-specific,,,,,,2.71138301526718
LINC00115,,human-specific,,,,,,3.10199983969466
FAM41C,,human-specific,,,,,,0.0734595305343511
LINC02593,,human-specific,,,,,,1.91095429389313
SAMD11,Samd11,one-to-one,,,,,,2.11615017938931
NOC2L,Noc2l,one-to-one,,,Low,Approved,glandular cells,31.0396683587786
KLHL17,Klhl17,one-to-one,,,Not detected,Approved,glandular cells,6.41862465648855
PLEKHN1,Plekhn1,one-to-one,,,Low,Uncertain,glandular cells,0.845606824427481
PERM1,Perm1,one-to-one,,,Not detected,Enhanced,glandular cells,0.220022961832061
HES4,,human-specific,,,,,,5.02869741603054
ISG15,Isg15,one-to-one,Secreted to blood,Immunity,Not detected,Approved,glandular cells,56.6501196564886
AGRN,Agrn,one-to-one,Secreted to extracellular matrix,Developmental protein,Medium,Approved,glandular cells,14.824063740458
RNF223,Rnf223,one-to-one,,,,,,0.0691941641221374
C1orf159,9430015G10Rik,one-to-one,,,Medium,Approved,glandular cells,4.50980996183206
LINC01342,,human-specific,,,,,,0.10768836259542
MIR200B,Mir200b,one-to-one,,,,,,0.0705671946564886
MIR200A,Mir200a,one-to-one,,,,,,0.0519275763358779
MIR429,Mir429,one-to-one,,,,,,0.0959579541984733
TTLL10-AS1,,human-specific,,,,,,0.0505016908396947
TTLL10,Ttll10,one-to-one,,,,,,0.0871467061068702
TNFRSF18,Tnfrsf18,one-to-one,Secreted to blood,Receptor,Not detected,Approved,glandular cells,0.62257613740458
TNFRSF4,Tnfrsf4,one-to-one,,,Not detected,Enhanced,glandular cells,0.772885465648855
SDF4,Sdf4,one-to-one,Intracellular and membrane,,Low,Supported,glandular cells,110.987379389313
B3GALT6,B3galt6,one-to-one,,,,,,10.2165648091603
C1QTNF12,C1qtnf12,one-to-one,Secreted to blood,Complement pathway,Not detected,Uncertain,glandular cells,1.41973846183206
UBE2J2,Ube2j2,one-to-one,,,,,,14.9487455725191
LINC01786,,human-specific,,,,,,2.45682159160305
SCNN1D,,human-specific,,,,,,6.90596836259542
ACAP3,Acap3,one-to-one,,,Low,Approved,glandular cells,22.4535007251908
MIR6726,,human-specific,,,,,,0.0455303435114504
PUSL1,Pusl1,one-to-one,,,High,Uncertain,glandular cells,9.66890595419847
INTS11,Ints11,one-to-one,,,Medium,Approved,glandular cells,22.5862164885496
MIR6727,,human-specific,,,,,,0.0376137213740458
CPTP,Cptp,one-to-one,,,Not detected,Approved,glandular cells,43.2823583969466
TAS1R3,Tas1r3,one-to-one,,,Medium,Uncertain,glandular cells,0.909852927480916
DVL1,Dvl1,one-to-many (mouse-to-human),,,High,Approved,glandular cells,37.8304019083969
MIR6808,,human-specific,,,,,,0.033211713740458
MXRA8,Mxra8,one-to-one,,,,,,9.63227767175573
AURKAIP1,Aurkaip1,one-to-one,,,Medium,Approved,glandular cells,92.9319080152672
CCNL2,Ccnl2,one-to-one,,,Medium,Supported,glandular cells,110.234925572519
MRPL20-AS1,,human-specific,,,,,,19.4186317175573
MRPL20,Mrpl20,one-to-one,,,Medium,Supported,glandular cells,42.5185803053435
MRPL20-DT,,human-specific,,,,,,3.45683199618321
ANKRD65,Ankrd65,one-to-one,,,Not detected,Enhanced,glandular cells,0.790522427480916
TMEM88B,Tmem88b,one-to-one,,,Not detected,Enhanced,glandular cells,0.300773393129771
LINC01770,,human-specific,,,,,,1.9716274389313
VWA1,Vwa1,one-to-one,Secreted to extracellular matrix,No annotated function,,,,40.2686345801527
ATAD3C,Atad3a,one-to-many (mouse-to-human),,,,,,3.90420272900763
ATAD3B,Atad3a,one-to-many (mouse-to-human),,,High,Approved,glandular cells,9.95138942748092
ATAD3A,Atad3a,one-to-many (mouse-to-human),,,High,Approved,glandular cells,14.9556336259542
TMEM240,Tmem240,one-to-one,,,Not detected,Supported,glandular cells,0.430540324427481
SSU72,Ssu72,one-to-one,,,Medium,Supported,glandular cells,27.4913980534351
FNDC10,Fndc10 | Fndc10l,one-to-many (human-to-mouse),,,,,,0.521767351145038
MIB2,Mib2,one-to-one,,,Not detected,Enhanced,glandular cells,16.4244819465649
MMP23B,Mmp23,one-to-one,,,,,,0.295537912213741
CDK11B,Cdk11b,one-to-many (mouse-to-human),,,Medium,Approved,glandular cells,11.6534994656489
SLC35E2B,Slc35e2,one-to-many (mouse-to-human),,,Low,Uncertain,glandular cells,10.1684200763359
MMP23A,,human-specific,,,,,,0.129904950381679
CDK11A,Cdk11b,one-to-many (mouse-to-human),,,Medium,Supported,glandular cells,11.0692333206107
SLC35E2A,Slc35e2,one-to-many (mouse-to-human),,,,,,1.24739013740458
NADK,Nadk,one-to-one,,,Not detected,Uncertain,glandular cells,54.6124167938931
GNB1,Gnb1,one-to-one,,,High,Supported,glandular cells,56.0790969465649
CALML6,,human-specific,,,,,,2.16219991984733
TMEM52,Tmem52,one-to-one,Intracellular and membrane,No annotated function,,,,6.12481081679389
CFAP74,Cfap74,one-to-one,,,Not detected,Enhanced,glandular cells,1.48717750381679
GABRD,Gabrd,one-to-one,,,Not detected,Enhanced,glandular cells,0.182179919847328
PRKCZ,Prkcz,one-to-one,,,Medium,Enhanced,glandular cells,2.88140055725191
PRKCZ-AS1,,human-specific,,,,,,2.28514891603053
FAAP20,Faap20,one-to-one,,,Low,Uncertain,glandular cells,6.1010513740458
SKI,Ski,one-to-one,,,Low,Approved,glandular cells,17.2281625572519
MORN1,Morn1,one-to-one,,,Medium,Uncertain,glandular cells,0.682724622137405
RER1,Rer1,one-to-one,,,Medium,Supported,glandular cells,58.3451370229008
PEX10,Pex10,one-to-one,,,Not detected,Approved,glandular cells,7.17822942748092
PLCH2,Plch2,one-to-one,,,Not detected,Enhanced,glandular cells,7.11322559541985
PANK4,Pank4,one-to-one,,,,,,7.53904171755725
HES5,Hes5,one-to-one,,,Not detected,Enhanced,glandular cells,0.241073351145038
TNFRSF14-AS1,,human-specific,,,,,,2.97676635496183
TNFRSF14,Tnfrsf14,one-to-one,,,Low,Approved,glandular cells,52.4748324427481
PRXL2B,Prxl2b,one-to-one,,,Medium,Approved,glandular cells,6.19519055725191
MMEL1,Mmel1,one-to-one,Intracellular and membrane,Enzyme,,,,0.0759593702290076
MMEL1-AS1,,human-specific,,,,,,0
TTC34,Ttc34,one-to-one,,,,,,0.127970251908397
ACTRT2,Actrt2,one-to-one,,,Not detected,Enhanced,glandular cells,0.0316084923664122
PRDM16-DT,Prdm16os,one-to-one,,,,,,0.273221389312977
PRDM16,Prdm16,one-to-one,,,,,,0.190780469465649
MIR4251,,human-specific,,,,,,0
ARHGEF16,Arhgef16,one-to-one,,,Medium,Approved,glandular cells,6.18085115648855
MEGF6,Megf6,one-to-one,Secreted to blood,No annotated function,Medium,Uncertain,glandular cells,4.31856920229008
MIR551A,,human-specific,,,,,,0.00170124045801527
TPRG1L,Tprg1l,one-to-one,,,,,,64.5680503816794
WRAP73,Wrap73,one-to-one,,,Low,Uncertain,glandular cells,9.02012618320611
