gene_id,gene_name,TPM,counts,length
ENSMUSG00000000001,Gnai3,46.480395,2115.171,2239.786
ENSMUSG00000000003,Pbsn,0,0,478.5
ENSMUSG00000000028,Cdc45,0.839595,24,1406.9294824480849
ENSMUSG00000000037,Scml2,0.059023,1,833.892
ENSMUSG00000000049,Apoh,2632.053806,43277.632,809.2813863572284
ENSMUSG00000000056,Narf,18.77978,1404.564,3681.1380000000004
ENSMUSG00000000058,Cav2,1.613604,51,1555.622
ENSMUSG00000000078,Klf6,2.398394,165,3386.057
ENSMUSG00000000085,Scmh1,4.142248,231,2744.7753741470815
ENSMUSG00000000088,Cox5a,347.01745200000005,2222.985,315.2942950752114
ENSMUSG00000000093,Tbx2,0.92435,98,5218.2
ENSMUSG00000000094,Tbx4,0,0,2708
ENSMUSG00000000103,Zfy2,0,0,2498
ENSMUSG00000000120,Ngfr,1.30962,98,3683.0829999999996
ENSMUSG00000000125,Wnt3,0,0,2743
ENSMUSG00000000126,Wnt9a,0.360976,24,3272.377
ENSMUSG00000000127,Fer,2.201228,105.99900000000001,2370.127923484073
ENSMUSG00000000131,Xpo6,15.458274,938.0130000000001,2986.606374579918
ENSMUSG00000000134,Tfe3,8.478599999999998,618.018,3587.6269580028547
ENSMUSG00000000142,Axin2,3.1127029999999998,216.03,3415.9261172707447
ENSMUSG00000000148,Brat1,4.278447,284.057,3267.7571790423026
ENSMUSG00000000149,Gna12,51.04291,3693.501,3561.50663150514
ENSMUSG00000000154,Slc22a18,115.65744600000001,2760.079,1174.5692510856154
ENSMUSG00000000157,Itgb2l,0.461027,8,854.0713741798203
ENSMUSG00000000159,Igsf5,21.90204,480.106,1078.9042278515153
ENSMUSG00000000167,Pih1d2,0.477295,8,824.961
ENSMUSG00000000168,Dlat,18.886345000000002,1305.723,3402.780709832951
ENSMUSG00000000171,Sdhd,229.003871,3441.419,739.649
ENSMUSG00000000182,Fgf23,0,0,1481
ENSMUSG00000000183,Fgf6,0,0,4324
ENSMUSG00000000184,Ccnd2,2.068214,225,5354.487179023061
