Geneid,mouse_gene,ortholog_type,Secretome location,Secretome function,Level,Reliability,Cell type,Mean_TPM
A1BG,A1bg,one-to-one,Secreted to blood,No annotated function,Not detected,Supported,glandular cells,425.681874045802
A1BG-AS1,,human-specific,,,,,,4.1696904351145
A1CF,A1cf,one-to-one,,,Not detected,Enhanced,glandular cells,36.9379469465649
A2M,A2m,one-to-one,Secreted to blood,Enzyme inhibitor,Not detected,Supported,glandular cells,470.363451526718
A2M-AS1,,human-specific,,,,,,8.40188801908397
A2ML1,,human-specific,,,,,,0.117623996183206
A2ML1-AS1,,human-specific,,,,,,0.00637432061068702
A2MP1,,human-specific,,,,,,0.158326721374046
A3GALT2,A3galt2,one-to-one,,,,,,0.0806573893129771
A4GALT,A4galt,one-to-one,,,,,,2.21796805725191
A4GNT,A4gnt,one-to-one,Intracellular and membrane,Enzyme,Not detected,Enhanced,glandular cells,0.124110145038168
AA06,,human-specific,,,,,,0.00126845801526718
AAAS,Aaas,one-to-one,,,Medium,Approved,glandular cells,21.0845767938931
AACS,Aacs,one-to-one,,,High,Approved,glandular cells,3.10039222900763
AACSP1,,human-specific,,,,,,0.00629416412213741
AADAC,Aadac,one-to-one,,,Not detected,Approved,glandular cells,142.182872862595
AADACL2,Aadacl2,one-to-one,Secreted in other tissues,Enzyme,,,,0.00644012213740458
AADACL2-AS1,,human-specific,,,,,,0.00375496946564886
AADACL3,Aadacl3,one-to-one,,,,,,0.00315837786259542
AADACL4,Aadacl4 | Aadacl4fm1 | Aadacl4fm2 | AAdacl4fm3 | Aadacl4fm4 | Aadacl4fm5,one-to-many (human-to-mouse),,,,,,0.00607569465648855
AADACP1,,human-specific,,,,,,1.62711658396947
AADAT,Aadat,one-to-one,,,Not detected,Enhanced,glandular cells,14.7592506908397
AAGAB,Aagab,one-to-one,,,Medium,Supported,glandular cells,8.17936958015267
AAK1,Aak1,one-to-one,,,Not detected,Enhanced,glandular cells,1.41018429007634
AAMDC,Aamdc,one-to-one,,,Not detected,Enhanced,glandular cells,3.5838495
AAMP,Aamp,one-to-one,,,Medium,Approved,glandular cells,60.2027026717557
AANAT,Aanat,one-to-one,,,,,,0.0535971145038168
AAR2,Aar2,one-to-one,,,,,,10.0066847709924
AARD,Aard,one-to-one,,,,,,0.0145864312977099
AARS1,Aars1,one-to-one,,,Medium,Supported,glandular cells,34.6616016030534
AARS2,Aars2,one-to-one,,,Medium,Approved,glandular cells,5.62248389312977
AARSD1,Aarsd1,one-to-many (mouse-to-human),,,Not detected,Supported,glandular cells,18.2407349618321
AASDH,Aasdh,one-to-one,,,High,Approved,glandular cells,3.79008488549618
AASDHPPT,Aasdhppt,one-to-one,,,Low,Approved,glandular cells,12.5975013358779
AASS,Aass,one-to-one,,,Low,Enhanced,glandular cells,38.3656739312977
AATBC,,human-specific,,,,,,0.160630076335878
AATF,Aatf,one-to-one,,,High,Uncertain,glandular cells,8.26771895801527
AATK,Aatk,one-to-one,,,Not detected,Approved,glandular cells,2.66328554580153
ABALON,,human-specific,,,,,,0.0537569427480916
ABAT,Abat,one-to-one,,,Low,Enhanced,glandular cells,108.731133969466
ABCA1,Abca1,one-to-one,,,Medium,Approved,glandular cells,20.6832658778626
ABCA10,,human-specific,,,,,,2.33727979770992
ABCA11P,,human-specific,,,,,,1.15974092366412
ABCA12,Abca12,one-to-one,,,,,,0.0086517786259542
ABCA13,Abca13,one-to-one,,,,,,0.124760465648855
ABCA17P,Abca17,one-to-one,,,,,,0.0350714427480916
ABCA2,Abca2,one-to-one,,,Medium,Approved,glandular cells,14.5383220992366
ABCA3,Abca3,one-to-one,,,Medium,Enhanced,glandular cells,0.91186715648855
ABCA4,Abca4,one-to-one,,,Not detected,Enhanced,glandular cells,0.42566927480916
ABCA5,Abca5,one-to-one,,,High,Approved,glandular cells,14.2873996183206
ABCA6,Abca6,one-to-one,,,,,,19.7753990076336
ABCA7,Abca7,one-to-one,,,Low,Enhanced,glandular cells,3.72072169847328
ABCA8,Abca8a | Abca8b,one-to-many (human-to-mouse),,,Not detected,Enhanced,glandular cells,15.3615388931298
ABCA9,Abca9,one-to-one,,,High,Uncertain,glandular cells,8.35136200381679
ABCA9-AS1,,human-specific,,,,,,0.0340028893129771
ABCB1,Abcb1a | Abcb1b,one-to-many (human-to-mouse),,,Not detected,Enhanced,glandular cells,9.15790160305344
ABCB10,Abcb10,one-to-one,,,Medium,Uncertain,glandular cells,7.35616125954199
ABCB11,Abcb11,one-to-one,,,Not detected,Enhanced,glandular cells,22.6986976717557
ABCB4,Abcb4,one-to-one,,,Not detected,Enhanced,glandular cells,33.964760610687
ABCB5,Abcb5,one-to-one,,,,,,0.00792490458015267
ABCB6,Abcb6,one-to-one,Intracellular and membrane,Transport,Medium,Approved,glandular cells,19.5544982824427
ABCB7,Abcb7,one-to-one,,,Low,Approved,glandular cells,6.45196916030534
ABCB8,Abcb8,one-to-one,,,Medium,Approved,glandular cells,10.4972147709924
ABCB9,Abcb9,one-to-one,,,Medium,Approved,glandular cells,0.8194735
ABCC1,Abcc1,one-to-one,,,Not detected,Uncertain,glandular cells,1.94449064885496
ABCC10,Abcc10,one-to-one,,,Low,Approved,glandular cells,3.49811710305344
ABCC11,,human-specific,,,,,,1.83949976335878
ABCC12,Abcc12,one-to-one,,,,,,0.0362510839694657
ABCC13,,human-specific,,,,,,0.0296920381679389
ABCC2,Abcc2,one-to-one,,,Medium,Enhanced,glandular cells,66.6506846946565
ABCC3,Abcc3,one-to-one,,,Low,Enhanced,glandular cells,72.7616603053435
ABCC4,Abcc4,one-to-one,,,Not detected,Enhanced,glandular cells,0.615176339694656
ABCC5,Abcc5,one-to-one,,,Not detected,Uncertain,glandular cells,3.12063501526718
ABCC5-AS1,,human-specific,,,,,,0.00729880534351145
ABCC6,Abcc6,one-to-one,,,,,,47.0547349236641
ABCC6P1,,human-specific,,,,,,27.7781460305344
ABCC6P2,,human-specific,,,,,,3.11048440076336
ABCC8,Abcc8,one-to-one,,,Not detected,Approved,glandular cells,0.0673770687022901
ABCC9,Abcc9,one-to-one,,,,,,8.60936374045802
ABCD1,Abcd1,one-to-one,,,Not detected,Approved,glandular cells,8.70802767175572
ABCD2,Abcd2,one-to-one,,,,,,0.0374100190839695
ABCD3,Abcd3,one-to-one,,,Medium,Enhanced,glandular cells,24.7265276335878
ABCD4,Abcd4,one-to-one,,,Not detected,Approved,glandular cells,15.5400072137405
ABCE1,Abce1,one-to-one,,,High,Approved,glandular cells,14.2554757251908
ABCF1,Abcf1,one-to-one,,,High,Approved,glandular cells,22.401022519084
ABCF2,Abcf2,one-to-many (mouse-to-human),,,Medium,Approved,glandular cells,7.52259980916031
ABCF3,Abcf3,one-to-one,,,Medium,Approved,glandular cells,32.3811140076336
ABCG1,Abcg1,one-to-one,,,Not detected,Approved,glandular cells,2.31005839694656
ABCG2,Abcg2 | Abcg3,one-to-many (human-to-mouse),,,Not detected,Enhanced,glandular cells,4.44625320992366
ABCG4,Abcg4,one-to-one,,,Not detected,Enhanced,glandular cells,0.104114874045802
ABCG5,Abcg5,one-to-one,,,,,,73.528838129771
ABCG8,Abcg8,one-to-one,,,Medium,Uncertain,glandular cells,34.2260201145038
ABHD1,Abhd1,one-to-one,,,Medium,Uncertain,glandular cells,3.24059046564886
ABHD10,Abhd10,one-to-one,,,Medium,Supported,glandular cells,18.1075021374046
ABHD11,Abhd11,one-to-one,,,Medium,Approved,glandular cells,11.037707519084
ABHD12,Abhd12,one-to-one,,,Not detected,Uncertain,glandular cells,10.8074541984733
ABHD12B,Abhd12b,one-to-one,,,,,,0.0662453854961832
ABHD13,Abhd13,one-to-one,,,Medium,Approved,glandular cells,4.63215786259542
ABHD14A,Abhd14a,one-to-one,,,Medium,Approved,glandular cells,13.2124119083969
ABHD14B,Abhd14b,one-to-one,,,High,Supported,glandular cells,73.4605400763359
ABHD15,Abhd15,one-to-one,Secreted to blood,No annotated function,Medium,Approved,glandular cells,14.9827587022901
ABHD16A,Abhd16a,one-to-one,,,Not detected,Approved,glandular cells,25.8374515648855
ABHD17A,Abhd17a,one-to-one,,,Medium,Uncertain,glandular cells,22.6642813740458
ABHD17B,Abhd17b,one-to-one,,,,,,6.88171335877863
ABHD17C,Abhd17c,one-to-one,,,Low,Uncertain,glandular cells,2.71780635877863
ABHD18,Abhd18,one-to-one,Intracellular and membrane,No annotated function,Medium,Approved,glandular cells,4.7591706870229
ABHD2,Abhd2,one-to-one,,,Low,Approved,glandular cells,43.7141196564886
ABHD3,Abhd3,one-to-one,,,Medium,Approved,glandular cells,16.1594639312977
ABHD4,Abhd4,one-to-one,,,Low,Uncertain,glandular cells,18.6532994274809
ABHD5,Abhd5,one-to-one,,,Low,Approved,glandular cells,4.61972930152672
ABHD6,Abhd6,one-to-one,,,Low,Uncertain,glandular cells,20.613700648855
ABHD8,Abhd8,one-to-one,,,Low,Approved,glandular cells,17.0832498473282
ABI1,Abi1,one-to-one,,,Medium,Approved,glandular cells,12.3035901908397
ABI2,Abi2,one-to-one,,,Low,Enhanced,glandular cells,2.66081457633588
ABI3,Abi3,one-to-one,,,Not detected,Enhanced,glandular cells,3.17611536641221
ABI3BP,Abi3bp,one-to-one,Secreted in other tissues,No annotated function,,,,0.93233527480916
ABITRAM,Abitram,one-to-one,,,Low,Uncertain,glandular cells,7.63785209923664
ABL1,Abl1,one-to-one,,,Medium,Supported,glandular cells,9.80820759541985
ABL2,Abl2,one-to-one,,,Medium,Uncertain,glandular cells,1.9062127519084
ABLIM1,Ablim1,one-to-one,,,Not detected,Approved,glandular cells,17.1409304961832
ABLIM2,Ablim2,one-to-one,,,Not detected,Uncertain,glandular cells,0.746415133587786
ABLIM3,Ablim3,one-to-one,,,High,Approved,glandular cells,59.3373991221374
ABO,Abo,one-to-one,Secreted to blood,,,,,0.185656709923664
ABR,Abr,one-to-one,,,High,Enhanced,glandular cells,2.1927878778626
ABRA,Abra,one-to-one,,,,,,0.0435646374045801
ABRACL,Abracl,one-to-one,,,Low,Enhanced,glandular cells,23.7491774045802
ABRAXAS1,Abraxas1,one-to-one,,,Not detected,Uncertain,glandular cells,0.411009461832061
ABRAXAS2,Abraxas2,one-to-one,,,Medium,Approved,glandular cells,6.80648786259542
ABT1,Abt1,one-to-one,,,,,,10.001151259542
ABTB1,Abtb1,one-to-one,,,Medium,Uncertain,glandular cells,12.7038199618321
ABTB2,Abtb2,one-to-one,,,Low,Approved,glandular cells,8.63845675572519
ACAA1,Acaa1a | Acaa1b,one-to-many (human-to-mouse),,,Not detected,Enhanced,glandular cells,182.963540458015
ACAA2,Acaa2,one-to-one,,,Medium,Approved,glandular cells,249.157222900763
ACACA,Acaca,one-to-one,,,Medium,Approved,glandular cells,7.53157187022901
ACACB,Acacb,one-to-one,Intracellular and membrane,Enzyme,Not detected,Enhanced,glandular cells,38.400951259542
ACAD10,Acad10 | Acad12,one-to-many (human-to-mouse),,,,,,14.882334351145
ACAD11,Acad11,one-to-one,,,Not detected,Enhanced,glandular cells,75.5676606870229
ACAD8,Acad8,one-to-one,,,Medium,Enhanced,glandular cells,17.9512624427481
ACAD9,Acad9,one-to-one,,,Medium,Supported,glandular cells,6.38223328244275
ACADL,Acadl,one-to-one,,,Medium,Enhanced,glandular cells,13.826207519084
ACADM,Acadm,one-to-one,,,Medium,Enhanced,glandular cells,34.4027448473282
ACADS,Acads,one-to-one,,,Medium,Enhanced,glandular cells,173.996588549618
ACADSB,Acadsb,one-to-one,,,Medium,Enhanced,glandular cells,102.976062977099
ACADVL,Acadvl,one-to-one,,,Medium,Enhanced,glandular cells,680.201740458015
ACAN,Acan,one-to-one,Secreted to extracellular matrix,No annotated function,Not detected,Enhanced,glandular cells,0.0204880381679389
ACAP1,Acap1,one-to-one,,,Low,Approved,glandular cells,4.52646148854962
ACAP2,Acap2,one-to-one,,,Medium,Supported,glandular cells,3.81968893129771
ACAP3,Acap3,one-to-one,,,Low,Approved,glandular cells,22.4535007251908
ACAT1,Acat1,one-to-one,,,High,Enhanced,glandular cells,118.132763740458
ACAT2,Acat2 | Acat3,one-to-many (human-to-mouse),,,Medium,Enhanced,glandular cells,39.2008436641221
ACBD3,Acbd3,one-to-one,,,Medium,Approved,glandular cells,13.2727040076336
ACBD3-AS1,,human-specific,,,,,,0.0871291374045802
ACBD4,Acbd4,one-to-one,,,Not detected,Approved,glandular cells,43.5064459541985
ACBD5,Acbd5,one-to-one,,,High,Enhanced,glandular cells,8.01491377862596
ACBD6,Acbd6,one-to-one,,,Medium,Approved,glandular cells,4.77028633587786
ACBD7,Acbd7,one-to-one,,,,,,0.193930190839695
ACCS,Accs,one-to-one,,,Low,Approved,glandular cells,18.1188311068702
ACCSL,Accsl,one-to-one,,,,,,0.00721169083969466
ACD,Acd,one-to-one,,,High,Approved,glandular cells,6.15238877862595
ACE,Ace,one-to-one,Secreted to blood,Enzyme,Not detected,Enhanced,glandular cells,0.868652729007634
ACE2,Ace2,one-to-one,Secreted to blood,Receptor,Not detected,Enhanced,glandular cells,0.48422936259542
ACER1,Acer1,one-to-one,,,,,,0.413774053435115
ACER2,Acer2,one-to-one,,,,,,1.25608299236641
ACER3,Acer3,one-to-one,,,Not detected,Approved,glandular cells,1.54692896564886
ACHE,Ache,one-to-one,Intracellular and membrane,Enzyme,,,,2.27466941984733
ACIN1,Acin1,one-to-one,,,Medium,Supported,glandular cells,22.9981397709924
ACKR1,Ackr1,one-to-one,,,Not detected,Enhanced,glandular cells,1.07649484732824
ACKR2,Ackr2,one-to-one,,,Not detected,Enhanced,glandular cells,4.49278182442748
ACKR3,Ackr3,one-to-one,,,Low,Approved,glandular cells,22.0712374885496
ACKR4,Ackr4,one-to-one,,,,,,0.287912927480916
ACLY,Acly,one-to-one,,,Not detected,Enhanced,glandular cells,17.9918471755725
ACMSD,Acmsd,one-to-one,,,Not detected,Enhanced,glandular cells,74.7121001908397
ACO1,Aco1,one-to-one,,,Not detected,Enhanced,glandular cells,38.1536419465649
ACO2,Aco2,one-to-one,,,High,Enhanced,glandular cells,18.3473561068702
ACOD1,Acod1,one-to-one,,,,,,0.0156139427480916
ACOT1,Acot1 | Acot2 | Acot3 | Acot5,many-to-many,,,Medium,Approved,glandular cells,14.9597864045802
ACOT11,Acot11,one-to-one,,,Low,Enhanced,glandular cells,0.116330091603053
ACOT12,Acot12,one-to-one,,,,,,44.5867473282443
ACOT13,Acot13,one-to-one,,,Medium,Enhanced,glandular cells,13.3860732824427
ACOT2,Acot1 | Acot2 | Acot3 | Acot5,many-to-many,,,Medium,Enhanced,glandular cells,35.1932841603053
ACOT4,Acot4,one-to-one,,,Not detected,Enhanced,glandular cells,4.02574016030534
ACOT6,Acot6,one-to-one,,,,,,0.984419530534351
ACOT7,Acot7,one-to-one,,,Not detected,Enhanced,glandular cells,8.25896034351145
ACOT8,Acot8,one-to-one,,,Medium,Approved,glandular cells,11.1962173282443
ACOT9,Acot10 | Acot9,one-to-many (human-to-mouse),,,Medium,Supported,glandular cells,5.80510877862596
ACOX1,Acox1,one-to-one,,,Low,Approved,glandular cells,39.9380679389313
ACOX2,Acox2,one-to-one,,,Low,Enhanced,glandular cells,98.1665781679389
ACOX3,Acox3,one-to-one,,,Not detected,Uncertain,glandular cells,11.3424097328244
ACOXL,Acoxl,one-to-one,,,,,,0.442533507633588
ACOXL-AS1,,human-specific,,,,,,0.0546112022900763
ACP1,Acp1,one-to-one,,,Low,Approved,glandular cells,28.897584389313
ACP2,Acp2,one-to-one,,,,,,50.9138973282443
ACP3,Acp3,one-to-one,Secreted to blood,Enzyme,Not detected,Enhanced,glandular cells,0.150520625954198
ACP4,Acp4,one-to-one,,,,,,0.0401631984732824
ACP5,Acp5,one-to-one,Intracellular and membrane,Enzyme,Not detected,Enhanced,glandular cells,7.3136357480916
ACP6,Acp6,one-to-one,Intracellular and membrane,Enzyme,,,,2.83404727480916
ACP7,Acp7,one-to-one,Secreted - unknown location,Enzyme,Not detected,Uncertain,glandular cells,0.0112040572519084
ACR,Acr,one-to-one,Secreted in male reproductive system,Enzyme,Not detected,Enhanced,glandular cells,0.472532469465649
ACRBP,Acrbp,one-to-one,Secreted in male reproductive system,No annotated function,Not detected,Enhanced,glandular cells,1.37147994274809
ACRV1,Acrv1,one-to-one,Secreted in male reproductive system,No annotated function,Not detected,Enhanced,glandular cells,0.0361292709923664
ACSBG1,Acsbg1,one-to-one,,,Not detected,Approved,glandular cells,0.208270118320611
ACSBG2,Acsbg2,one-to-one,,,Not detected,Enhanced,glandular cells,0.0528205419847328
ACSF2,Acsf2,one-to-one,,,Medium,Enhanced,glandular cells,20.879268129771
ACSF3,Acsf3,one-to-one,,,,,,4.82220991984733
ACSL1,Acsl1,one-to-one,,,Medium,Enhanced,glandular cells,459.539533206107
ACSL3,Acsl3,one-to-one,,,Medium,Approved,glandular cells,10.7674772900763
ACSL3-AS1,,human-specific,,,,,,0.277577400763359
ACSL4,Acsl4,one-to-one,,,Low,Supported,glandular cells,7.40631019847328
ACSL5,Acsl5,one-to-one,,,Not detected,Enhanced,glandular cells,49.3052079770992
ACSL6,Acsl6,one-to-one,,,Low,Enhanced,glandular cells,0.536789003816794
ACSL6-AS1,,human-specific,,,,,,0.00143976717557252
ACSM1,Acsm1,one-to-one,,,,,,2.41990172137405
ACSM2A,Acsm2,one-to-many (mouse-to-human),,,Not detected,Supported,glandular cells,170.199034694657
ACSM2B,Acsm2,one-to-many (mouse-to-human),,,Not detected,Supported,glandular cells,154.100790419847
ACSM3,Acsm3,one-to-one,,,Not detected,Uncertain,glandular cells,8.43175541221374
ACSM4,Acsm4,one-to-one,,,,,,0.0134837977099237
ACSM5,Acsm5,one-to-one,,,High,Uncertain,glandular cells,82.2777256870229
ACSM6,,human-specific,,,,,,0.0339178091603054
ACSS1,Acss1,one-to-one,,,Medium,Enhanced,glandular cells,5.16900945038168
ACSS2,Acss2,one-to-one,,,Low,Approved,glandular cells,58.7528687022901
ACSS3,Acss3,one-to-one,,,Low,Approved,glandular cells,7.19436457251908
ACTA1,Acta1,one-to-one,,,Not detected,Enhanced,glandular cells,2.78268999618321
ACTA2,Acta2,one-to-one,,,Not detected,Enhanced,glandular cells,36.2178149618321
ACTA2-AS1,,human-specific,,,,,,1.93713210305344
ACTB,Actb,one-to-one,,,Low,Supported,glandular cells,586.561532824427
ACTBL2,Actbl2,one-to-one,,,Not detected,Uncertain,glandular cells,0.0133419847328244
ACTC1,Actc1,one-to-one,,,Not detected,Enhanced,glandular cells,0.928241809160305
ACTE1P,Acte1,one-to-one,,,,,,0.00640859160305344
ACTG1,Actg1,one-to-one,,,Low,Approved,glandular cells,400.184148854962
ACTG1P17,,human-specific,,,,,,0.283182503816794
ACTG1P20,,human-specific,,,,,,0.52961677480916
ACTG1P25,,human-specific,,,,,,0.425209625954199
ACTG2,Actg2,one-to-one,,,Not detected,Supported,glandular cells,3.15686835877863
ACTL10,Actl10,one-to-one,,,,,,0.402819221374046
ACTL6A,Actl6a,one-to-one,,,High,Supported,glandular cells,9.0727115648855
ACTL6B,Actl6b,one-to-one,,,,,,0.0411670038167939
ACTL7A,Actl7a,one-to-one,,,Not detected,Enhanced,glandular cells,0.0578198664122137
ACTL7B,Actl7b,one-to-one,,,Not detected,Enhanced,glandular cells,0.0720629923664122
ACTL8,,human-specific,,,,,,0.0139809847328244
ACTL9,Actl9,one-to-one,,,,,,0.0279776183206107
ACTN1,Actn1,one-to-one,,,High,Approved,glandular cells,29.9421538167939
ACTN1-DT,,human-specific,,,,,,0.0863697557251908
ACTN2,Actn2,one-to-one,,,Not detected,Enhanced,glandular cells,0.290345198473282
ACTN3,Actn3,one-to-one,,,,,,0.0552033015267176
ACTN4,Actn4,one-to-one,,,Medium,Supported,glandular cells,58.5464801908397
ACTR10,Actr10,one-to-one,,,,,,13.252477519084
ACTR1A,Actr1a,one-to-one,,,Low,Approved,glandular cells,22.3643370992366
ACTR1B,Actr1b,one-to-one,,,,,,43.8036465648855
