gene_id,gene_name,TPM,counts,length
ENSMUSG00000000001,Gnai3,16.49111,1067.009,2835.845
ENSMUSG00000000003,Pbsn,0,0,505
ENSMUSG00000000028,Cdc45,0.745986,25,1468.8355637934224
ENSMUSG00000000037,Scml2,0,0,2618.1111111111113
ENSMUSG00000000049,Apoh,1399.947669,26868.83,841.204
ENSMUSG00000000056,Narf,11.666904,979,3677.8259720357687
ENSMUSG00000000058,Cav2,0.87616,51,2551.238
ENSMUSG00000000078,Klf6,3.703875,361,4271.841
ENSMUSG00000000085,Scmh1,5.7566120000000005,227,1728.3162582159434
ENSMUSG00000000088,Cox5a,247.027418,1650.001,292.7540791813644
ENSMUSG00000000093,Tbx2,1.334001,94,3088.415
ENSMUSG00000000094,Tbx4,0,0,2741
ENSMUSG00000000103,Zfy2,0,0,2531
ENSMUSG00000000120,Ngfr,1.469789,101,3011.831
ENSMUSG00000000125,Wnt3,0.033355,2,2628.036
ENSMUSG00000000126,Wnt9a,0.32784,21,2807.512
ENSMUSG00000000127,Fer,1.2867570000000002,83,2827.129162734689
ENSMUSG00000000131,Xpo6,30.383204999999993,808.035,1165.630713465877
ENSMUSG00000000134,Tfe3,7.404814,456.998,2704.9939475010447
ENSMUSG00000000142,Axin2,4.292747,210,2144.1147968703954
ENSMUSG00000000148,Brat1,3.3671169999999995,217.99899999999997,2837.673313666856
ENSMUSG00000000149,Gna12,39.313287,2493.926,2780.407
ENSMUSG00000000154,Slc22a18,71.40561199999999,1598.001,980.8636516624773
ENSMUSG00000000157,Itgb2l,0.78344,21,1174.8374962830594
ENSMUSG00000000159,Igsf5,14.36887,367,1119.457213868801
ENSMUSG00000000167,Pih1d2,0.56533,9,697.757276528753
ENSMUSG00000000168,Dlat,9.590984,556.9990000000001,2545.4006272609777
ENSMUSG00000000171,Sdhd,128.556444,2286.27,779.467
ENSMUSG00000000182,Fgf23,0,0,1514
ENSMUSG00000000183,Fgf6,0,0,4357
ENSMUSG00000000184,Ccnd2,3.055934,414,5937.731840325086
ENSMUSG00000000194,Gpr107,5.27275,450,3740.5850617795254
ENSMUSG00000000197,Nalcn,0,0,3329.1428571428573
ENSMUSG00000000202,Btbd17,0,0,1140.5714285714287
ENSMUSG00000000204,Slfn4,0.095609,7,3208.94
ENSMUSG00000000214,Th,0,0,963.8333333333334
ENSMUSG00000000215,Ins2,1.856281,9,212.50204898935021
ENSMUSG00000000216,Scnn1g,0.052587,3,2500.379
ENSMUSG00000000223,Drp2,0.016489,1,2658.141
ENSMUSG00000000244,Tspan32,0.797865,19,1043.7275470875397
ENSMUSG00000000247,Lhx2,1.216475,69,2486.051
ENSMUSG00000000248,Clec2g,0,0,1017.5
ENSMUSG00000000253,Gmpr,0.417637,9,944.5110591159308
ENSMUSG00000000263,Glra1,0,0,1774.6666666666667
ENSMUSG00000000266,Mid2,1.271366,145,4998.751521712079
ENSMUSG00000000275,Trim25,11.988999,1358,4964.564
ENSMUSG00000000276,Dgke,0.370102,66,7816.047
ENSMUSG00000000278,Scpep1,27.658844,1104,1749.4410000000003
ENSMUSG00000000282,Mnt,3.103194,296.25,4184.211328868902
ENSMUSG00000000290,Itgb2,2.096532,119,2487.766558705043
ENSMUSG00000000295,Hddc2,1.467426,20,597.3625568069532
ENSMUSG00000000296,Tpd52l1,4.7695039999999995,90,827.0601955371042
ENSMUSG00000000301,Pemt,491.79410800000005,6638.752,591.6529248049998
ENSMUSG00000000303,Cdh1,5.118371,466,3990.4170000000004
ENSMUSG00000000305,Cdh4,0.200146,28,6131.622
ENSMUSG00000000308,Ckmt1,5.834485,146.001,1096.7678390063563
ENSMUSG00000000317,Bcl6b,0.464895,33,3111.164
ENSMUSG00000000318,Clec10a,0.466912,11,1032.5750702573503
ENSMUSG00000000320,Alox12,0.30406500000000003,18,2594.5983709930447
ENSMUSG00000000326,Comt,404.35034799999994,14492.039,1570.8539340247087
ENSMUSG00000000339,Rtca,6.222594,153,1077.666192699379
ENSMUSG00000000340,Dbt,36.433025,2732,3286.621
ENSMUSG00000000346,Dazap2,35.548952,1424.986,1756.9041584010972
ENSMUSG00000000355,Mcts1,32.261385000000004,243.99999999999997,331.4903125411075
ENSMUSG00000000359,Rem1,0.45277100000000003,14,1355.231717830868
ENSMUSG00000000365,Rnf17,0.114287,3,1150.5215923683359
ENSMUSG00000000374,Trappc10,4.646304,465,4386.412954386111
ENSMUSG00000000378,Ccm2,16.209335,450,1216.7784887706991
ENSMUSG00000000381,Wap,0,0,379
ENSMUSG00000000384,Tbrg4,16.421581,524.9989999999999,1401.2268377367561
ENSMUSG00000000385,Tmprss2,4.526025000000001,289,2798.6272521212322
ENSMUSG00000000386,Mx1,0.51114,26,2229.448
ENSMUSG00000000392,Fap,0.270942,15,2426.494
ENSMUSG00000000394,Gcg,0.297395,6,884.262
ENSMUSG00000000399,Ndufa9,74.006925,1697.002,1005.0189786821978
ENSMUSG00000000402,Egfl6,0.018763,1,2335.955
ENSMUSG00000000409,Lck,1.928826,79,1795.139
ENSMUSG00000000411,Tssk3,0,0,980
ENSMUSG00000000416,Cttnbp2,0.206529,19,4032.1475761951106
ENSMUSG00000000420,Galnt1,11.066232,871,3449.709856925465
ENSMUSG00000000435,Myf5,0.022771,1,1924.752
ENSMUSG00000000439,Mkrn2,2.956726,385.298,5711.489
ENSMUSG00000000440,Pparg,2.000868,71,1555.2631673723604
ENSMUSG00000000441,Raf1,30.445352000000003,1275.702,1836.5070414423521
ENSMUSG00000000486,Septin1,4.060347999999999,85,917.529031392137
ENSMUSG00000000489,Pdgfb,0.303658,17,2453.741
ENSMUSG00000000530,Acvrl1,1.211073,62.001000000000005,2243.8065337580806
ENSMUSG00000000531,Tamalin,0.770459,29,1649.73
ENSMUSG00000000532,Acvr1b,4.29297,382,3900.0460000000003
ENSMUSG00000000538,Tom1l2,7.414278,499,2949.8229024118064
ENSMUSG00000000544,Gpa33,0.524174,27,2257.628
ENSMUSG00000000552,Zfp385a,13.824586,690,2187.5659042270054
ENSMUSG00000000555,Itga5,9.430881,825.005,3834.145049756222
ENSMUSG00000000560,Gabra2,0,0,2361.8333333333335
ENSMUSG00000000561,Wdr77,6.242266000000001,388,2724.2918653271095
ENSMUSG00000000562,Adora3,0.02295,1,1909.745
ENSMUSG00000000563,Atp5pb,79.563824,1986.8920000000003,1094.517380548049
ENSMUSG00000000567,Sox9,1.431335,146,4470.703
ENSMUSG00000000568,Hnrnpd,41.19187899999999,1165.081,1239.6771215194383
ENSMUSG00000000579,Dynlt1c,5.221271000000001,156.84300000000002,1316.5977654584485
ENSMUSG00000000581,C1d,15.779825000000002,699,1941.507926824854
ENSMUSG00000000594,Gm2a,33.515703,2625.643,3433.614
ENSMUSG00000000600,Krit1,5.866233999999999,443.001,3309.8522885057096
ENSMUSG00000000605,Clcn4,16.616690000000002,1571.001,4143.772262000855
ENSMUSG00000000606,Vmn2r88,0,0,4113.888888888889
ENSMUSG00000000617,Grm6,0,0,3047.25
ENSMUSG00000000627,Sema4f,0.025087,2,3494.22
ENSMUSG00000000628,Hk2,0.548424,60,4795.115
ENSMUSG00000000631,Myo18a,26.52703,2746.0000000000005,4537.077559631101
ENSMUSG00000000632,Sez6,0.059814,5,3663.803
ENSMUSG00000000673,Haao,505.49914700000005,9616.519,833.7993313087866
ENSMUSG00000000682,Cd52,15.230957,86,247.4775267663089
ENSMUSG00000000686,Abhd15,7.236963,324,1962.243033790417
ENSMUSG00000000690,Hoxb6,0.071781,3,1831.8
ENSMUSG00000000693,Loxl3,0.474759,38.179,3524.609
ENSMUSG00000000701,Tcl1b5,0,0,755
ENSMUSG00000000706,Btn1a1,0.044289,3,2968.8750000000005
ENSMUSG00000000708,Kat2b,11.182768,961,3766.5025575946856
ENSMUSG00000000711,Rab5b,24.470069,1516.96,2717.0851096122365
ENSMUSG00000000724,Cryba1,0,0,780
ENSMUSG00000000730,Dnmt3l,0.04194,1,1045.039
ENSMUSG00000000731,Aire,0.03212,2,2729.123
ENSMUSG00000000732,Icosl,0.889383,44,2168.34186727203
ENSMUSG00000000738,Spg7,15.335471000000002,583.999,1669.090787180452
ENSMUSG00000000739,Sult5a1,16.066031999999996,334,911.1752997438945
ENSMUSG00000000740,Rpl13,623.050022,6258.956,440.2940018192392
ENSMUSG00000000743,Chmp1a,22.354892,812,1592.0166581442218
ENSMUSG00000000751,Rpa1,5.154149,324,2755.1944017685555
