gene_id,gene_name,TPM,counts,length
ENSMUSG00000000001,Gnai3,7.102407,460,2612.976
ENSMUSG00000000003,Pbsn,0,0,477
ENSMUSG00000000028,Cdc45,0.205117,7,1376.8270457885012
ENSMUSG00000000037,Scml2,0.020144,2,4005.6949999999997
ENSMUSG00000000049,Apoh,5.962058,163,1102.997
ENSMUSG00000000056,Narf,1.365358,151,4461.836
ENSMUSG00000000058,Cav2,2.457242,57,935.8580000000001
ENSMUSG00000000078,Klf6,2.500181,194,3130.497
ENSMUSG00000000085,Scmh1,1.035654,58.99999999999999,2298.372040013363
ENSMUSG00000000088,Cox5a,22.281038,234,423.7050766584573
ENSMUSG00000000093,Tbx2,0.249726,27,4361.968
ENSMUSG00000000094,Tbx4,0.013348,1,3022.4460000000004
ENSMUSG00000000103,Zfy2,0,0,2499
ENSMUSG00000000120,Ngfr,0.474404,41,3486.731
ENSMUSG00000000125,Wnt3,0.040253,3,3006.801
ENSMUSG00000000126,Wnt9a,0.216431,17,3168.926
ENSMUSG00000000127,Fer,0.366497,30,3302.4299999999994
ENSMUSG00000000131,Xpo6,2.025585,176,3505.462539111911
ENSMUSG00000000134,Tfe3,1.4485,119,3314.454567565067
ENSMUSG00000000142,Axin2,0.40840200000000004,30,2963.578080584816
ENSMUSG00000000148,Brat1,0.655492,53.001,3262.058518187865
ENSMUSG00000000149,Gna12,2.863158,245.963,3465.8369999999995
ENSMUSG00000000154,Slc22a18,1.836951,49,1076.1716726984007
ENSMUSG00000000157,Itgb2l,0.16630299999999998,2,485.19117336428087
ENSMUSG00000000159,Igsf5,2.547418,97,1536.22374941215
ENSMUSG00000000167,Pih1d2,0.119725,4,1347.906
ENSMUSG00000000168,Dlat,2.3059540000000003,186,3254.209271447739
ENSMUSG00000000171,Sdhd,11.189835,262.947,948.041
ENSMUSG00000000182,Fgf23,0,0,1482
ENSMUSG00000000183,Fgf6,0,0,4325
ENSMUSG00000000184,Ccnd2,4.683406,681,5866.356037755856
ENSMUSG00000000194,Gpr107,1.366478,212,6259.164
ENSMUSG00000000197,Nalcn,0.027204,5,7415.188
ENSMUSG00000000202,Btbd17,0.042447,2,1900.951
ENSMUSG00000000204,Slfn4,0.0122,1,3306.8040000000005
ENSMUSG00000000214,Th,0.117102,5,1722.614
ENSMUSG00000000215,Ins2,808.3927359999999,3881.142,193.69585218364952
ENSMUSG00000000216,Scnn1g,0.107661,8,2997.876
ENSMUSG00000000223,Drp2,0.060084,5,3357.3431552326742
ENSMUSG00000000244,Tspan32,0.095302,5,2116.646314662861
ENSMUSG00000000247,Lhx2,0,0,848.8571428571429
ENSMUSG00000000248,Clec2g,0.232137,1,173.79599999999996
ENSMUSG00000000253,Gmpr,0.229431,6,1055.073687191356
ENSMUSG00000000263,Glra1,0,0,1742.6666666666667
ENSMUSG00000000266,Mid2,0.867439,86,3999.8413893922216
ENSMUSG00000000275,Trim25,1.252496,184,5926.858715041805
ENSMUSG00000000276,Dgke,0.162474,33,8194.32
ENSMUSG00000000278,Scpep1,5.788667,298,2076.925
ENSMUSG00000000282,Mnt,0.80208,97,4879.071
ENSMUSG00000000290,Itgb2,1.012942,75,2987.167907370807
ENSMUSG00000000295,Hddc2,2.223302,37,671.408
ENSMUSG00000000296,Tpd52l1,4.884011,122,1007.78077836864
ENSMUSG00000000301,Pemt,2.185672,35.00000000000001,646.0494129558324
ENSMUSG00000000303,Cdh1,8.097873,949.892,4732.455
ENSMUSG00000000305,Cdh4,0.081789,1,493.27299999999997
ENSMUSG00000000308,Ckmt1,5.063533,175,1394.3358766513422
ENSMUSG00000000317,Bcl6b,0.246983,22,3593.672
ENSMUSG00000000318,Clec10a,1.4426080000000001,42.521,1189.1649092317525
ENSMUSG00000000320,Alox12,0.9695999999999999,75,3120.6962075010315
ENSMUSG00000000326,Comt,6.534964,227.00100000000003,1401.4114303856913
ENSMUSG00000000339,Rtca,1.975538,82,1674.6020389139564
ENSMUSG00000000340,Dbt,10.576988,688,2624.276
ENSMUSG00000000346,Dazap2,7.767252,365,1895.8705605279704
ENSMUSG00000000355,Mcts1,8.631418,65.99900000000001,308.49268046107835
ENSMUSG00000000359,Rem1,0.886352,38,1729.6605896077403
ENSMUSG00000000365,Rnf17,0.011271,1,3579.58
ENSMUSG00000000374,Trappc10,2.881876,364,5095.762351925274
ENSMUSG00000000378,Ccm2,3.077797,131,1717.1744118419765
ENSMUSG00000000381,Wap,0,0,357.6666666666667
ENSMUSG00000000384,Tbrg4,5.697337000000001,165.004,1168.4343853560003
ENSMUSG00000000385,Tmprss2,3.060638,149.074,1965.039221461669
ENSMUSG00000000386,Mx1,0.057168,4,2822.857
ENSMUSG00000000392,Fap,0.24258200000000002,14,2328.3730403409977
ENSMUSG00000000394,Gcg,28.189824,551,788.5740791827221
ENSMUSG00000000399,Ndufa9,15.006891000000001,533,1432.9125369627857
ENSMUSG00000000402,Egfl6,0.015927,1,2533.084
ENSMUSG00000000409,Lck,0.167431,9,2168.652
ENSMUSG00000000411,Tssk3,0,0,948
ENSMUSG00000000416,Cttnbp2,0.28749,28,3929.336001565272
ENSMUSG00000000420,Galnt1,15.154914,1140.767,3036.871329127965
ENSMUSG00000000435,Myf5,0,0,1751
