gene_id,gene_name,TPM,counts,length
ENSMUSG00000000001,Gnai3,78.293352,4304.537,2478.272
ENSMUSG00000000003,Pbsn,0,0,479
ENSMUSG00000000028,Cdc45,11.042607,363.00000000000006,1481.7760561533162
ENSMUSG00000000037,Scml2,0.073945,7,4267.159
ENSMUSG00000000049,Apoh,23.855849,433,818.164
ENSMUSG00000000056,Narf,15.454144,1247.913,3639.8782742554363
ENSMUSG00000000058,Cav2,4.531726999999999,181,1800.3727621827177
ENSMUSG00000000078,Klf6,38.985051999999996,3140.214,3630.8537338407555
ENSMUSG00000000085,Scmh1,7.140845,240,1514.9876042258304
ENSMUSG00000000088,Cox5a,643.886736,4515.125999999999,316.08794198851143
ENSMUSG00000000093,Tbx2,2.390152,230,4337.604
ENSMUSG00000000094,Tbx4,0.201598,12,2683.141
ENSMUSG00000000103,Zfy2,0,0,2501
ENSMUSG00000000120,Ngfr,1.363652,106,3503.885
ENSMUSG00000000125,Wnt3,1.362251,86.006,2845.913
ENSMUSG00000000126,Wnt9a,0.187833,13,3119.747
ENSMUSG00000000127,Fer,3.357132,188.001,2524.276950486904
ENSMUSG00000000131,Xpo6,22.542733,1171.5439999999999,2342.606182492736
ENSMUSG00000000134,Tfe3,11.284249999999998,770.0429999999999,3076.028505806413
ENSMUSG00000000142,Axin2,13.771441,910.001,2978.5875108963546
ENSMUSG00000000148,Brat1,4.420904999999999,310,3160.807040959035
ENSMUSG00000000149,Gna12,11.553981,839.002,3273.249
ENSMUSG00000000154,Slc22a18,67.370706,1651.431,1104.9353839113694
ENSMUSG00000000157,Itgb2l,1.167091,27,1042.8135910824435
ENSMUSG00000000159,Igsf5,52.176525000000005,1267.6540000000002,1095.1486496907373
ENSMUSG00000000167,Pih1d2,1.023725,24,1056.7575924335147
ENSMUSG00000000168,Dlat,34.519435,2418.6090000000004,3158.271203904612
ENSMUSG00000000171,Sdhd,499.012168,8236.193,743.983
ENSMUSG00000000182,Fgf23,0,0,1484
ENSMUSG00000000183,Fgf6,0,0,4327
ENSMUSG00000000184,Ccnd2,49.948571,5591.34,5045.9197696490455
ENSMUSG00000000194,Gpr107,41.785912,3577.9169999999995,3859.651403973329
ENSMUSG00000000197,Nalcn,0.110522,15,6117.725
ENSMUSG00000000202,Btbd17,0.047419,3,2851.771
ENSMUSG00000000204,Slfn4,12.687288,743.395,2641.1819543553356
ENSMUSG00000000214,Th,0.293436,11,1689.765
ENSMUSG00000000215,Ins2,1.834178,8,196.60567676637712
ENSMUSG00000000216,Scnn1g,0.017695,1,2547.389
ENSMUSG00000000223,Drp2,0.11171199999999999,15,6052.540961893083
ENSMUSG00000000244,Tspan32,1.9771310000000002,53,1208.33640703575
ENSMUSG00000000247,Lhx2,0,0,851.2857142857143
ENSMUSG00000000248,Clec2g,0.580607,11.001,854.0004805970303
ENSMUSG00000000253,Gmpr,1.538573,49,1435.5729999999999
ENSMUSG00000000263,Glra1,0,0,1744.6666666666667
ENSMUSG00000000266,Mid2,3.847961,359,4205.437563527801
ENSMUSG00000000275,Trim25,39.660959,4416.834,5019.904750001179
ENSMUSG00000000276,Dgke,0.766085,103.007,6060.882896989238
ENSMUSG00000000278,Scpep1,129.149775,5043.515,1760.302
ENSMUSG00000000282,Mnt,4.546435,513.387,5090.046
ENSMUSG00000000290,Itgb2,12.347939,728.0000000000001,2657.5685199077357
ENSMUSG00000000295,Hddc2,12.348089000000002,146,532.9675522380832
ENSMUSG00000000296,Tpd52l1,3.217855,58,812.4733704007795
ENSMUSG00000000301,Pemt,10.013190000000002,129.998,585.2100436078811
ENSMUSG00000000303,Cdh1,124.00970000000001,11671.68,4242.533257927598
ENSMUSG00000000305,Cdh4,0.067557,10,6672.314
ENSMUSG00000000308,Ckmt1,1386.999025,36827.693,1196.8673808536087
ENSMUSG00000000317,Bcl6b,0.579029,40,3113.918
ENSMUSG00000000318,Clec10a,0.761506,19,1124.677727566165
ENSMUSG00000000320,Alox12,0.7871630000000001,48,2748.681228139534
ENSMUSG00000000326,Comt,98.904207,2844.793,1296.5326713888317
ENSMUSG00000000339,Rtca,30.039793999999997,882,1323.4854849403098
ENSMUSG00000000340,Dbt,10.92094,634,2616.837848217461
ENSMUSG00000000346,Dazap2,144.10451500000002,5791.008,1811.440830606938
ENSMUSG00000000355,Mcts1,46.816755,362,348.5414217195105
ENSMUSG00000000359,Rem1,1.637578,60,1651.5693076934351
ENSMUSG00000000365,Rnf17,0.366304,4.999,615.2809820722679
ENSMUSG00000000374,Trappc10,24.629418,2559.7889999999998,4684.870877634623
ENSMUSG00000000378,Ccm2,14.143425999999998,485,1545.733365446816
ENSMUSG00000000381,Wap,0,0,360.3333333333333
ENSMUSG00000000384,Tbrg4,46.555451999999995,1632.111,1580.2529988668996
ENSMUSG00000000385,Tmprss2,70.43928799999999,4166.62,2666.3448304861913
ENSMUSG00000000386,Mx1,8.798494999999999,384.38100000000003,1969.2498061463925
ENSMUSG00000000392,Fap,1.867883,72,1737.5226445880178
ENSMUSG00000000394,Gcg,33.311302,560,757.7810886485914
ENSMUSG00000000399,Ndufa9,199.10689299999999,4512.23,1021.5328853239249
ENSMUSG00000000402,Egfl6,0.060898,3,2220.563
ENSMUSG00000000409,Lck,18.118255,723.0010000000001,1798.7442924899779
ENSMUSG00000000411,Tssk3,0,0,950
ENSMUSG00000000416,Cttnbp2,0.665724,53,3588.6346669400527
ENSMUSG00000000420,Galnt1,79.73172299999999,5343.289,3020.8209232316476
ENSMUSG00000000435,Myf5,0,0,1753
ENSMUSG00000000439,Mkrn2,6.1186419999999995,550.4660000000001,4055.2954778722137
ENSMUSG00000000440,Pparg,11.116014,400,1622.0283364133943
ENSMUSG00000000441,Raf1,34.024494,1952.7229999999997,2586.9996615866794
ENSMUSG00000000486,Septin1,22.543176,529,1057.762692061669
ENSMUSG00000000489,Pdgfb,2.1097029999999997,141,3012.6260723310347
ENSMUSG00000000530,Acvrl1,11.939925,694.001,2620.024769746795
ENSMUSG00000000531,Tamalin,0.906498,44,2187.928
ENSMUSG00000000532,Acvr1b,22.936304,2107.007,4140.855
ENSMUSG00000000538,Tom1l2,28.543664,2066.0449999999996,3262.703919449584
ENSMUSG00000000544,Gpa33,244.969834,13071.039999999999,2405.1657406294116
ENSMUSG00000000552,Zfp385a,2.5988290000000003,152,2636.4135157253513
ENSMUSG00000000555,Itga5,2.961164,297,4521.073
ENSMUSG00000000560,Gabra2,0.267292,15,2529.6053495877172
ENSMUSG00000000561,Wdr77,21.631264,937.105,1952.7844488439507
ENSMUSG00000000562,Adora3,1.0447609999999998,40,1725.8002849436382
ENSMUSG00000000563,Atp5pb,328.029324,9678.948,1330.0350793941948
ENSMUSG00000000567,Sox9,4.98287,486,4396.471
ENSMUSG00000000568,Hnrnpd,88.79872999999999,2708.3089999999997,1374.7979233750418
ENSMUSG00000000579,Dynlt1c,31.657754999999995,995.1289999999999,1416.9245679467165
ENSMUSG00000000581,C1d,61.045652,1004.999,742.0940317422771
ENSMUSG00000000594,Gm2a,25.189557,1814.088,3246.275
ENSMUSG00000000600,Krit1,9.630949,572.133,2677.7853301006994
ENSMUSG00000000605,Clcn4,16.533745,1448,3947.7068218616537
ENSMUSG00000000606,Vmn2r88,0.014248,1,3163.732
ENSMUSG00000000617,Grm6,0,0,3017.25
ENSMUSG00000000627,Sema4f,0.192162,17,3987.758
ENSMUSG00000000628,Hk2,3.871921,458,5331.956
ENSMUSG00000000631,Myo18a,43.165825000000005,4816.568,5029.734103566305
ENSMUSG00000000632,Sez6,0.189844,14,3324.1302318640564
ENSMUSG00000000673,Haao,6.048598,119.001,886.8293421860735
ENSMUSG00000000682,Cd52,95.6473,500,235.6374642291
ENSMUSG00000000686,Abhd15,1.307103,70,2413.992
ENSMUSG00000000690,Hoxb6,1.591375,51,1444.5915213730264
ENSMUSG00000000693,Loxl3,2.009873,146.544,3286.5907794373084
ENSMUSG00000000701,Tcl1b5,0,0,725
ENSMUSG00000000706,Btn1a1,0.078173,5,2883.107
ENSMUSG00000000708,Kat2b,10.398076,827.173,3585.8425240801284
ENSMUSG00000000711,Rab5b,28.507195,1666.927,2635.7833448558863
ENSMUSG00000000724,Cryba1,0,0,752
ENSMUSG00000000730,Dnmt3l,0.582561,13,1005.8884002997111
ENSMUSG00000000731,Aire,0.029596,2,3046.146
ENSMUSG00000000732,Icosl,8.989475,467.00000000000006,2341.6938961231886
ENSMUSG00000000738,Spg7,42.166817,2057.998,2199.997065721085
ENSMUSG00000000739,Sult5a1,0.514573,11,963.5950447536114
ENSMUSG00000000740,Rpl13,1233.679666,14263.821,521.1723043692218
ENSMUSG00000000743,Chmp1a,74.039432,2844.3140000000003,1731.6572206145775
ENSMUSG00000000751,Rpa1,32.028953,1319.0049999999999,1856.3129135780678
ENSMUSG00000000753,Serpinf1,7.733132,205,1194.9393641953868
ENSMUSG00000000759,Tubgcp3,13.653991999999999,671.1870000000001,2215.802294181511
ENSMUSG00000000766,Oprm1,0,0,1152.6774193548388
ENSMUSG00000000776,Polr3d,8.889327,333.00000000000006,1688.5851115549017
ENSMUSG00000000782,Tcf7,5.193643,255,2213.174527410914
ENSMUSG00000000787,Ddx3x,87.804853,7218.437,3705.7157705746176
ENSMUSG00000000791,Il12rb1,2.451399,122,2243.331143239432
ENSMUSG00000000792,Slc5a5,0.016009,1,2815.715
ENSMUSG00000000794,Kcnn3,0.904638,128,6377.973912616981
ENSMUSG00000000804,Usp32,5.967022999999999,681,5144.425733277382
ENSMUSG00000000805,Car4,91.04712199999999,1928.6760000000002,954.8619594964025
ENSMUSG00000000811,Txnrd3,2.613649,146,2517.985
ENSMUSG00000000817,Fasl,1.247598,39,1409.086
ENSMUSG00000000823,Zfp512b,5.122517,377.80299999999994,3324.5333682107844
ENSMUSG00000000826,Dnajc5,23.830618,2145.543,4058.349872199496
ENSMUSG00000000827,Tpd52l2,22.996775000000003,816.5600000000001,1600.5489159477358
ENSMUSG00000000838,Fmr1,18.063947,1110.9140000000002,2772.142160626911
ENSMUSG00000000861,Bcl11a,3.377815,253,3376.2308452461134
ENSMUSG00000000869,Il4,0.17677,1,255
ENSMUSG00000000876,Pxmp4,26.950651,1133.7350000000001,1896.2253816746766
ENSMUSG00000000881,Dlg3,28.487533,1785.999,2826.0130529570606
ENSMUSG00000000884,Gnb1l,3.9438080000000006,125,1428.7021514239532
ENSMUSG00000000889,Dbh,0.588793,31,2373.267
ENSMUSG00000000901,Mmp11,1.6783670000000002,50,1342.8605806715693
ENSMUSG00000000902,Smarcb1,29.438200000000002,1026.769,1572.2050840379845
ENSMUSG00000000903,Vpreb3,3.71916,25,302.99999999999994
ENSMUSG00000000915,Hip1r,17.387822999999997,2580.9599999999996,6690.886555186295
ENSMUSG00000000916,Nsun5,9.256653000000002,382.34700000000004,1861.8782278600052
ENSMUSG00000000934,Top1mt,4.601407,162,1586.981486046116
ENSMUSG00000000938,Hoxa10,0.24576199999999998,8.866999999999999,1626.2860045898065
ENSMUSG00000000942,Hoxa4,1.421228,44,1395.521
ENSMUSG00000000948,Gm38393,0.228837,13,2560.736
