Geneid,mouse_gene,ortholog_type,Secretome location,Secretome function,Level,Reliability,Cell type,Mean_TPM,adult_PAR_01,adult_PAR_02,adult_PAR_03,adult_PAR_04
A1BG,A1bg,one-to-one,Secreted to blood,No annotated function,Not detected,Supported,glandular cells,0.6128090141940835,0.389775255258373,0.707896376469474,0.649920198578337,0.70364422647015
A1BG-AS1,NA,human-specific,NA,NA,NA,NA,NA,0.2987572786744069,0.325727678103241,0.0991758717986645,0.121404590532556,0.648720974263166
A1CF,A1cf,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,0.14809774963237313,0.102449102004416,0.289650869117711,0.0545494732273695,0.145741554179996
A2M,A2m,one-to-one,Secreted to blood,Enzyme inhibitor,Not detected,Supported,glandular cells,49.98204873931875,56.4844816913593,45.0233321224237,40.5663368837673,57.8540442597247
A2M-AS1,NA,human-specific,NA,NA,NA,NA,NA,1.4870305393635244,0.814460815987713,2.3879825131348,0.843234058155474,1.90244477017611
A2ML1,NA,human-specific,Secreted in other tissues,Enzyme inhibitor,Not detected,Enhanced,glandular cells,0.343643079546623,0.172637576465433,0.298892154615706,0.217637986321353,0.685404600784
A2ML1-AS1,NA,human-specific,NA,NA,NA,NA,NA,0.06209033434999,0.169426118280807,0,0.078935219119153,0
A2MP1,NA,human-specific,NA,NA,NA,NA,NA,1.077474503316704,0.577685224279686,1.28986437759795,0.26914215011901,2.17320626127017
A3GALT2,A3galt2,one-to-one,NA,NA,NA,NA,NA,0.35091981503478126,0.610381191518977,0.137663477961001,0.505555772892171,0.150078817766976
A4GALT,A4galt,one-to-one,NA,NA,NA,NA,NA,1.591171323110512,1.6263477598685,0.924339583383708,1.34872645494941,2.46527149424043
A4GNT,A4gnt,one-to-one,Intracellular and membrane,Enzyme,Not detected,Enhanced,glandular cells,0.10779043811006124,0.134197283241761,0,0,0.296964469198484
AA06,NA,human-specific,NA,NA,NA,NA,NA,0.03036602661701275,0,0,0,0.121464106468051
AAAS,Aaas,one-to-one,NA,NA,Medium,Approved,glandular cells,2.194062424424355,0.993873212857162,0.814717492296467,2.31521564176755,4.65244335077624
AAAS_1,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0,0
AACS,Aacs,one-to-one,NA,NA,High,Approved,glandular cells,23.578867526539575,22.3000733717486,23.0415622872004,17.7427326275372,31.2311018196721
AACSP1,NA,human-specific,NA,NA,NA,NA,NA,0.03945320814364705,0.0491185808396392,0,0,0.108694251734949
AADAC,Aadac,one-to-one,NA,NA,Not detected,Approved,glandular cells,0.04675153893915492,0.0887779852028027,0,0,0.098228170553817
AADACL2,Aadacl2,one-to-one,Secreted in other tissues,Enzyme,NA,NA,NA,0.073300396826708,0.0274229230972294,0.0278319640225501,0.0255525472168325,0.21239415297022
AADACL2-AS1,NA,human-specific,NA,NA,NA,NA,NA,0.06672966457415166,0,0,0.167481721395301,0.0994369369013057
AADACL2-AS1_1,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0,0
AADACL2_1,NA,human-specific,NA,NA,NA,NA,NA,0.0109373825686629,0,0.0437495302746516,0,0
AADACL3,Aadacl3,one-to-one,NA,NA,NA,NA,NA,0.01893102719797977,0,0,0,0.0757241087919191
AADACL4,Aadacl4 | Aadacl4fm1 | AAdacl4fm3 | Aadacl4fm4 | Aadacl4fm5,one-to-many (mouse-to-human),NA,NA,NA,NA,NA,0.07880203573870533,0.0569155007678346,0.0577644536317078,0.106067177126475,0.0944610114288039
AADACP1,NA,human-specific,NA,NA,NA,NA,NA,0.41101669138358,0.43059733397046,0.655530199941522,0.200614257435489,0.357324974186849
AADAT,Aadat,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,0.6151307916328448,0.761403341997899,0.796177434393003,0.494480453125203,0.408461937015274
