gene_id,gene_name,TPM,counts,length
ENSMUSG00000000001,Gnai3,23.874713,1563,2451.732
ENSMUSG00000000003,Pbsn,0,0,499.5
ENSMUSG00000000028,Cdc45,2.986838,125,1567.29373227239
ENSMUSG00000000037,Scml2,0.275379,21,2855.8987395879863
ENSMUSG00000000049,Apoh,20.986256,468,835.1476723074378
ENSMUSG00000000056,Narf,11.823743,1161.17,3677.839997706649
ENSMUSG00000000058,Cav2,8.283547,419,1894.305
ENSMUSG00000000078,Klf6,14.901027,1480,3719.612
ENSMUSG00000000085,Scmh1,17.111231,776,1698.3711539218893
ENSMUSG00000000088,Cox5a,156.214417,1263,302.78503599129397
ENSMUSG00000000093,Tbx2,0.691169,84,4551.422
ENSMUSG00000000094,Tbx4,0,0,2735
ENSMUSG00000000103,Zfy2,0,0,2525
ENSMUSG00000000120,Ngfr,0.390507,38,3644.244
ENSMUSG00000000125,Wnt3,0,0,2770
ENSMUSG00000000126,Wnt9a,0.701647,60,3202.468
ENSMUSG00000000127,Fer,6.513513,460,2644.8114684392276
ENSMUSG00000000131,Xpo6,15.153553,1057,2612.237796687483
ENSMUSG00000000134,Tfe3,6.025772,583.001,3623.3313733569744
ENSMUSG00000000142,Axin2,3.198975,279.99899999999997,3277.9272899313064
ENSMUSG00000000148,Brat1,6.984218,580.001,3110.0140007229156
ENSMUSG00000000149,Gna12,24.284867,2225.056,3431.2887352105326
ENSMUSG00000000154,Slc22a18,28.764269999999996,837.001,1089.743733795052
ENSMUSG00000000157,Itgb2l,0.8191959999999999,27,1234.3200235425954
ENSMUSG00000000159,Igsf5,34.242884,1076.154,1176.946298926545
ENSMUSG00000000167,Pih1d2,3.1144890000000003,77,925.8827640043036
ENSMUSG00000000168,Dlat,12.147148999999999,1161.473,3580.857678399763
ENSMUSG00000000171,Sdhd,119.210674,2547.292,800.232
ENSMUSG00000000182,Fgf23,0,0,1508
ENSMUSG00000000183,Fgf6,0,0,4351
ENSMUSG00000000184,Ccnd2,5.119409999999999,734.999,5376.7481494535505
ENSMUSG00000000194,Gpr107,18.356047,2148.0000000000005,4382.352145849922
ENSMUSG00000000197,Nalcn,0.07257,12,6192.677
ENSMUSG00000000202,Btbd17,0.086282,4,1736.176
ENSMUSG00000000204,Slfn4,0.096313,8,3110.6799999999994
ENSMUSG00000000214,Th,0,0,958.3333333333334
