gene_id,gene_name,TPM,counts,length
ENSMUSG00000000001,Gnai3,6.471575,529,2721.61
ENSMUSG00000000003,Pbsn,0,0,510.5
ENSMUSG00000000028,Cdc45,1.073823,65,2015.3973796119099
ENSMUSG00000000037,Scml2,0.060995999999999995,4,2183.4226471407965
ENSMUSG00000000049,Apoh,3.171195,96,1007.9253930098905
ENSMUSG00000000056,Narf,2.179916,289,4414.06
ENSMUSG00000000058,Cav2,0.820061,57,2314.2438221766424
ENSMUSG00000000078,Klf6,1.997737,246.099,4101.583
ENSMUSG00000000085,Scmh1,5.507496,339.0009999999999,2049.395013246855
ENSMUSG00000000088,Cox5a,102.932957,1254,405.6235999879319
ENSMUSG00000000093,Tbx2,0.201379,37,6117.419
ENSMUSG00000000094,Tbx4,0.009792,1,3400.1120000000005
ENSMUSG00000000103,Zfy2,0,0,2540
ENSMUSG00000000120,Ngfr,16.408115,2048,4155.77
ENSMUSG00000000125,Wnt3,0.030551,3,3269.454
ENSMUSG00000000126,Wnt9a,0.17478,20,3809.9503364687034
ENSMUSG00000000127,Fer,1.028634,88,2848.407415775679
ENSMUSG00000000131,Xpo6,3.447479,318.00100000000003,3071.1835531154793
ENSMUSG00000000134,Tfe3,2.3321119999999995,264.001,3769.0739155983943
ENSMUSG00000000142,Axin2,0.285871,22,2562.3204145681098
ENSMUSG00000000148,Brat1,0.9020579999999999,109.99999999999999,4060.117147759901
ENSMUSG00000000149,Gna12,1.649009,184.696,3729.184
ENSMUSG00000000154,Slc22a18,3.939205,145.449,1229.36822877078
ENSMUSG00000000157,Itgb2l,0.6857869999999999,26,1262.3035606565888
ENSMUSG00000000159,Igsf5,9.051158,418.65799999999996,1540.0532789910421
ENSMUSG00000000167,Pih1d2,0.24085199999999998,8,1105.9119727592047
ENSMUSG00000000168,Dlat,5.5024560000000005,529,3200.953242725794
ENSMUSG00000000171,Sdhd,37.210451,1170,1046.89
ENSMUSG00000000182,Fgf23,0,0,1523
ENSMUSG00000000183,Fgf6,0,0,4366
ENSMUSG00000000184,Ccnd2,0.449066,87,6450.443
ENSMUSG00000000194,Gpr107,2.469201,429.995,5798.124682178567
ENSMUSG00000000197,Nalcn,0.058362,11,6275.424296151606
ENSMUSG00000000202,Btbd17,0.056559,4,2354.719
ENSMUSG00000000204,Slfn4,0.045136,5,3688.287
ENSMUSG00000000214,Th,0,0,972.1666666666666
ENSMUSG00000000215,Ins2,0.7741560000000001,6,258.049113155488
ENSMUSG00000000216,Scnn1g,1.87604,181,3212.304
ENSMUSG00000000223,Drp2,0.034378,6,5811.05296643202
ENSMUSG00000000244,Tspan32,0.398125,7,585.4102927598117
ENSMUSG00000000247,Lhx2,0.015531,1,2143.787
ENSMUSG00000000248,Clec2g,0.172235,1,193.312
ENSMUSG00000000253,Gmpr,0.539467,30,1851.554
ENSMUSG00000000263,Glra1,0,0,1783.6666666666667
ENSMUSG00000000266,Mid2,1.761245,268,5066.352474513767
ENSMUSG00000000275,Trim25,0.711838,129,6033.77
ENSMUSG00000000276,Dgke,0.192089,42,7279.913946457111
ENSMUSG00000000278,Scpep1,3.516047,246,2329.489
ENSMUSG00000000282,Mnt,0.930072,170,6085.727
ENSMUSG00000000290,Itgb2,0.740789,67,3011.3449999999993
ENSMUSG00000000295,Hddc2,4.81184,109,754.2160028760308
ENSMUSG00000000296,Tpd52l1,23.110088,690.742,995.1644085810058
ENSMUSG00000000301,Pemt,1.917032,43,746.8257833953737
ENSMUSG00000000303,Cdh1,8.077645,1147.096,4728.193
ENSMUSG00000000305,Cdh4,0,0,1303.3333333333333
ENSMUSG00000000308,Ckmt1,106.264459,4762.468999999999,1492.1909100290247
ENSMUSG00000000317,Bcl6b,0.242885,28,3838.29
ENSMUSG00000000318,Clec10a,3.6577469999999996,151.849,1382.2276834340921
ENSMUSG00000000320,Alox12,4.117382,398.05899999999997,3218.889562856203
ENSMUSG00000000326,Comt,7.50057,398.54200000000003,1769.1260466855185
ENSMUSG00000000339,Rtca,3.720818,185,1655.44
ENSMUSG00000000340,Dbt,4.145611000000001,404,3244.689356317802
ENSMUSG00000000346,Dazap2,20.490427,1344.757,2185.10931277601
ENSMUSG00000000355,Mcts1,22.31091,290,432.77396804052364
ENSMUSG00000000359,Rem1,0.205932,11,1778.4819400675951
ENSMUSG00000000365,Rnf17,0,0,1782.6666666666667
ENSMUSG00000000374,Trappc10,3.025914,525,5776.741589353168
ENSMUSG00000000378,Ccm2,2.8670480000000005,141.001,1637.4364134855784
ENSMUSG00000000381,Wap,0,0,383
ENSMUSG00000000384,Tbrg4,7.464422999999998,333.99899999999997,1489.8085978192826
ENSMUSG00000000385,Tmprss2,11.403194,986,2878.9272973230136
ENSMUSG00000000386,Mx1,0.465629,37,2645.7081561307396
ENSMUSG00000000392,Fap,0.7057180000000001,51,2406.1286248784922
ENSMUSG00000000394,Gcg,0.516767,7,451.007
ENSMUSG00000000399,Ndufa9,28.504353000000002,1124.968,1314.0424910131444
ENSMUSG00000000402,Egfl6,0.02658,2,2505.295
ENSMUSG00000000409,Lck,0.659477,39,1968.9958026496754
ENSMUSG00000000411,Tssk3,0.048066,2,1385.378
ENSMUSG00000000416,Cttnbp2,3.946681,521.087,4396.006536969165
ENSMUSG00000000420,Galnt1,5.690252999999999,528,3089.4594000314223
ENSMUSG00000000435,Myf5,0.013671,1,2435.4700000000003
ENSMUSG00000000439,Mkrn2,1.449962,229.242,5264.028197474831
