gene_id,gene_name,human_gene,ortholog_type,secreted,Reference,Function,mean_tpm,sd_tpm,Mous-1A-PAR-Mal-L,Mous-1B-PAR-Mal-L,Mous-2A-PAR-Mal-L,Mous-2B-PAR-Mal-L,Mous-3A-PAR-Mal-L,Mous-3B-PAR-Mal-L,Mous-4A-PAR-Fem-L,Mous-4B-PAR-Fem-L,Mous-5A-PAR-Fem-L,Mous-5B-PAR-Fem-L,Mous-6A-PAR-Fem-L,Mous-6B-PAR-Fem-L
ENSMUSG00000000001,Gnai3,GNAI3,one-to-one,No_annotation,NA,NA,16.897457499999998,8.448953786396928,22.995775,17.205658,15.420758,8.99264,17.114215,13.709458,11.276258,9.885771,39.223155,18.696722,20.25877,7.99031
ENSMUSG00000000003,Pbsn,NA,mouse-specific,yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,CDC45,one-to-one,No_annotation,NA,NA,1.6912124166666669,1.412538673816657,1.616403,2.222727,1.992936,1.497959,1.229699,1.216013,0.682505,0.612154,5.842910000000001,1.40648,1.536173,0.43859
ENSMUSG00000000037,Scml2,SCML2,one-to-one,No_annotation,NA,NA,0.16808874999999998,0.15557811765746785,0.090275,0.484027,0.05051,0.025781,0.103066,0.099919,0.279814,0.096291,0.059662,0.431065,0.053208,0.24344699999999997
ENSMUSG00000000049,Apoh,APOH,one-to-one,yes,NA,NA,10.79266225,3.4293587439971693,18.394776,12.111015,9.304476,9.972977,3.816018,12.787177,10.607385,10.764866,13.580201,8.813598,9.90073,9.458728
ENSMUSG00000000056,Narf,NARF,one-to-one,No_annotation,NA,NA,4.461412083333333,1.811880343819318,6.301532,5.299688,4.034665,2.359814,3.998404,4.318606,2.833964,2.870006,8.805684,4.952754,4.934583,2.827245
ENSMUSG00000000058,Cav2,CAV2,one-to-one,No_annotation,NA,NA,8.976588333333334,14.210249513809366,6.3152539999999995,6.512253,2.921716,1.710196,3.278181,10.874651,3.357418,2.46712,11.002285,52.958958,4.255285,2.065743
ENSMUSG00000000078,Klf6,KLF6,one-to-one,No_annotation,NA,NA,7.0439845,3.4418575897495582,12.56611,8.078124,4.991906,3.705951,6.433688,6.347104,3.493616,3.427981,13.879992,7.868072,9.033552,4.701718
ENSMUSG00000000085,Scmh1,SCMH1,one-to-one,No_annotation,NA,NA,5.761615333333333,1.3957202148544434,6.838005,8.935825000000001,4.907659000000001,3.776573,4.595676000000001,5.342819,5.559822,5.579287999999999,5.335487,7.155759,6.479863,4.632608
ENSMUSG00000000088,Cox5a,COX5A,one-to-one,No_annotation,NA,NA,119.38675075,71.10291965209679,101.907392,130.56262999999998,66.947866,67.08878899999999,80.693001,218.23742699999997,66.38426299999999,68.03792800000001,244.034371,236.21897400000003,82.428533,70.099835
ENSMUSG00000000093,Tbx2,TBX2,one-to-one,No_annotation,NA,NA,0.7008706666666666,0.24044394415570444,0.684814,0.973357,0.736133,0.386832,0.647251,0.710626,0.763112,0.717398,0.425052,1.274413,0.520289,0.571171
ENSMUSG00000000094,Tbx4,TBX4,one-to-one,No_annotation,NA,NA,0.0084055,0.01180248525831433,0.020977,0,0.012136,0,0.021307,0.011817,0,0,0,0,0.034629,0
ENSMUSG00000000103,Zfy2,NA,mouse-specific,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,NGFR,one-to-one,No_annotation,NA,NA,0.9306113333333332,0.6731399046099127,1.839416,1.215478,0.414016,0.449538,1.650083,0.677203,0.166037,0.374971,2.297418,0.58447,0.907569,0.591137
ENSMUSG00000000125,Wnt3,WNT3,one-to-one,yes,NA,NA,0.042538,0.06774444318573632,0.038119,0.021286,0.01095,0.016646,0,0.021477,0.186067,0.009619,0.185122,0,0.02117,0
ENSMUSG00000000126,Wnt9a,WNT9A,one-to-one,yes,NA,NA,0.33522075,0.23128298684320395,0.361985,0.33818,0.310485,0.151901,0.204121,0.392867,0.191417,0.187711,0.196174,1.012245,0.257753,0.41781
ENSMUSG00000000127,Fer,FER,one-to-one,No_annotation,NA,NA,1.9450263333333333,0.5328414539695877,2.433286,1.7058049999999998,2.218648,1.693887,1.7139570000000002,2.441485,1.6814429999999998,1.539816,1.504341,3.20492,1.864306,1.338422
ENSMUSG00000000131,Xpo6,XPO6,one-to-one,No_annotation,NA,NA,9.3602411666666665,5.262928297659877,11.975451,11.348038,8.275470999999998,5.006538000000001,8.776838999999999,8.853665999999999,4.404885,5.051992999999999,24.19497400000001,9.249007000000002,8.956663,6.229368999999999
ENSMUSG00000000134,Tfe3,TFE3,one-to-one,No_annotation,NA,NA,3.8564871666666662,1.4701319093793672,6.204456,4.795543,3.3806719999999997,2.7725299999999997,3.9682650000000006,3.1522900000000003,2.765419,2.232419,6.53527,4.768368,3.749479,1.9531350000000005
ENSMUSG00000000142,Axin2,AXIN2,one-to-one,No_annotation,NA,NA,1.172697,1.12458651164045,1.452595,1.590085,0.314283,0.200926,0.4304829999999999,1.225646,0.349929,0.204106,3.610819,2.9343440000000003,1.4224329999999998,0.336715
ENSMUSG00000000148,Brat1,BRAT1,one-to-one,No_annotation,NA,NA,2.7679624166666668,1.4723295841512498,4.101789,3.482148,2.725101,1.521043,2.5590960000000003,2.370807,1.35427,1.135417,6.252778999999999,3.2041630000000003,3.320498,1.188438
