gene_id,gene_name,human_gene,ortholog_type,secreted,Reference,Function,mean_tpm,sd_tpm,Mous-1A-LIV-Mal,Mous-1B-LIV-Mal,Mous-2A-LIV-Mal,Mous-2B-LIV-Mal,Mous-3A-LIV-Mal,Mous-3B-LIV-Mal,Mous-4A-LIV-Fem,Mous-4B-LIV-Fem,Mous-5A-LIV-Fem,Mous-5B-LIV-Fem,Mous-6A-LIV-Fem,Mous-6B-LIV-Fem
ENSMUSG00000000001,Gnai3,GNAI3,one-to-one,No_annotation,NA,NA,35.37821125,8.589575673210799,29.632054,27.138799,32.802274,30.245203,41.658178,34.909021,40.257202,44.614826,16.49111,38.868218,41.441255,46.480395
ENSMUSG00000000003,Pbsn,NA,mouse-specific,yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,CDC45,one-to-one,No_annotation,NA,NA,0.7749293333333334,0.18369920735333192,0.441944,0.603673,0.919038,0.719795,0.561083,0.976134,0.800403,1.009764,0.745986,0.680464,1.001273,0.839595
ENSMUSG00000000037,Scml2,SCML2,one-to-one,No_annotation,NA,NA,0.02592408333333333,0.0237151383315243,0.040578,0.012992,0.017128,0.029325,0.058154,0,0.044786,0,0,0,0.049103,0.059023
ENSMUSG00000000049,Apoh,APOH,one-to-one,yes,NA,NA,2432.4963866666667,445.4906147584012,2506.636122,2112.036258,2336.0926790000003,2225.559863,2362.324159,2130.127741,2896.656669,2721.669909,1399.947669,3032.206451,2834.645314,2632.053806
ENSMUSG00000000056,Narf,NARF,one-to-one,No_annotation,NA,NA,15.589189,3.0408370157249616,12.776553000000002,14.011454,11.959052,13.236094,19.215505,18.674547,15.729231,19.216356,11.666904,13.557985,18.246807,18.77978
ENSMUSG00000000058,Cav2,CAV2,one-to-one,No_annotation,NA,NA,1.7850245833333334,0.761849442720143,1.387795,0.642976,2.700144,1.650363,2.784379,1.23155,1.740601,1.937933,0.87616,1.700821,3.153969,1.613604
ENSMUSG00000000078,Klf6,KLF6,one-to-one,No_annotation,NA,NA,2.61335925,0.6524674712759981,1.952453,2.089014,2.13705,2.278296,3.182173,2.024728,2.35952,3.897731,3.703875,2.724991,2.612086,2.398394
ENSMUSG00000000085,Scmh1,SCMH1,one-to-one,No_annotation,NA,NA,4.278888833333333,0.8131714163590752,4.470046,3.760733,3.031029,4.117964,5.308102,4.453735,5.037522000000001,4.019957,5.7566120000000005,3.079349,4.169369,4.142248
ENSMUSG00000000088,Cox5a,COX5A,one-to-one,No_annotation,NA,NA,299.38125375,42.3895319094521,272.922571,361.321218,241.619237,362.794256,257.72209,305.622419,285.531275,322.49037100000004,247.027418,281.837595,306.669143,347.01745200000005
ENSMUSG00000000093,Tbx2,TBX2,one-to-one,No_annotation,NA,NA,0.699237,0.26931716471341505,0.49233,0.241845,0.753715,0.488888,0.683819,0.558888,0.648032,0.759374,1.334001,0.671859,0.833743,0.92435
ENSMUSG00000000094,Tbx4,TBX4,one-to-one,No_annotation,NA,NA,0.00846675,0.01292503875939326,0.025713,0,0,0.029079,0,0,0.016492,0,0,0,0.030317,0
ENSMUSG00000000103,Zfy2,NA,mouse-specific,No_annotation,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,NGFR,one-to-one,No_annotation,NA,NA,1.6191343333333332,0.5114194484587762,2.380428,0.913785,1.348228,1.746969,1.675649,0.849487,1.976602,2.357391,1.469789,1.306864,2.0948,1.30962
ENSMUSG00000000125,Wnt3,WNT3,one-to-one,yes,NA,NA,0.00940366666666666,0.01255299098247348,0,0,0,0,0.016532,0,0.015596,0.018997,0.033355,0,0.028364,0
ENSMUSG00000000126,Wnt9a,WNT9A,one-to-one,yes,NA,NA,0.23756183333333333,0.0749005348698384,0.198349,0.177,0.235436,0.143078,0.314304,0.112633,0.271377,0.204885,0.32784,0.247815,0.257049,0.360976
ENSMUSG00000000127,Fer,FER,one-to-one,No_annotation,NA,NA,2.29709425,0.4574123284102201,2.177834,1.828658,3.126814,2.011059,2.493895,2.3398009999999996,2.559283,2.416059,1.2867570000000002,2.517463,2.60628,2.201228
ENSMUSG00000000131,Xpo6,XPO6,one-to-one,No_annotation,NA,NA,15.306905833333332,5.7284705957482815,19.882586,17.825985,9.077625,10.483981000000002,11.050142,11.199962,16.206744999999998,14.939349,30.383204999999993,12.478504999999998,14.696511000000005,15.458274
ENSMUSG00000000134,Tfe3,TFE3,one-to-one,No_annotation,NA,NA,7.639149416666666,1.124612227399249,7.004939,5.991173000000001,9.486048999999998,6.714496999999999,9.250377,6.537744000000001,7.969397,7.108020000000001,7.404814,7.005090000000001,8.719092999999999,8.478599999999998
ENSMUSG00000000142,Axin2,AXIN2,one-to-one,No_annotation,NA,NA,2.482328916666667,1.0532369079951454,1.499809,2.185181,2.537722,2.981068,1.5386289999999998,2.154487,4.215305,1.281599,4.292747,1.187288,2.801409,3.112703
ENSMUSG00000000148,Brat1,BRAT1,one-to-one,No_annotation,NA,NA,3.832856583333333,0.46183230327359354,3.748366,3.394343,3.307018,3.91703,4.289068,3.5810369999999994,4.179358,3.901255,3.3671169999999995,3.313978,4.717262,4.278447
ENSMUSG00000000149,Gna12,GNA12,one-to-one,No_annotation,NA,NA,39.69111866666667,5.278407615928781,43.705905,38.550342,39.51603,43.596319,41.026211000000004,38.050554000000005,30.024808,37.076841,39.313287,33.482674,40.907543,51.04291
ENSMUSG00000000154,Slc22a18,SLC22A18,one-to-one,No_annotation,NA,NA,100.8779005,14.85860412216762,94.836479,97.120156,91.338285,106.19226700000002,83.889883,97.247284,116.406743,102.119054,71.40561199999999,110.199574,124.12202299999998,115.657446
