gene_id,gene_name,human_gene,ortholog_type,secreted,Reference,Function,mean_tpm,sd_tpm,Mous-1A-PANC-Mal,Mous-1B-PANC-Mal,Mous-2A-PANC-Mal,Mous-2B-PANC-Mal,Mous-3A-PANC-Mal,Mous-3B-PANC-Mal,Mous-4A-PANC-Fem,Mous-4B-PANC-Fem,Mous-5A-PANC-Fem,Mous-5B-PANC-Fem,Mous-6A-PANC-Fem,Mous-6B-PANC-Fem
ENSMUSG00000000001,Gnai3,GNAI3,one-to-one,No_annotation,NA,NA,15.321224,21.564543566079156,5.165396,5.830555,6.55677,8.015574,7.102407,6.784827,7.336137,6.155482,78.293352,8.749349,36.208928,7.655911
ENSMUSG00000000003,Pbsn,NA,mouse-specific,yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,CDC45,one-to-one,No_annotation,NA,NA,1.5073785,3.2136746625517056,0.379438,0.279711,0.225128,0.351801,0.205117,0.168765,0.278392,0.282322,11.042607,0.202914,4.253314,0.419033
ENSMUSG00000000037,Scml2,SCML2,one-to-one,No_annotation,NA,NA,0.14408508333333334,0.3146423422223624,0.00795,0,0.210906,0.015594,0.020144,0.022769,0.011423,0.247142,0.073945,0.012085,1.107063,0
ENSMUSG00000000049,Apoh,APOH,one-to-one,yes,NA,NA,12.140122583333332,5.320736245644111,14.153486,7.980813,10.345922,5.785352,5.962058,13.589797,17.008288,9.779467,23.855849,7.31261,14.445445,15.462384
ENSMUSG00000000056,Narf,NARF,one-to-one,No_annotation,NA,NA,3.4702046666666666,4.246895386246957,1.054946,1.706232,1.333355,2.078454,1.365358,2.01985,1.597649,1.914888,15.454144,2.367703,8.408372,2.341505
ENSMUSG00000000058,Cav2,CAV2,one-to-one,No_annotation,NA,NA,3.776520166666667,2.767378893439285,3.187807,2.010031,2.173367,2.687746,2.457242,2.904328,3.4289759999999996,2.515343,4.531726999999999,2.909354,12.215353,4.296968
ENSMUSG00000000078,Klf6,KLF6,one-to-one,No_annotation,NA,NA,7.144651916666667,10.83422790357429,2.5580279999999997,2.598904,1.813902,3.594633,2.500181,3.722638,1.933765,3.423705,38.985052,3.537949,17.02955,4.037516
ENSMUSG00000000085,Scmh1,SCMH1,one-to-one,No_annotation,NA,NA,2.4163675833333333,2.15265245356507,0.989027,1.164416,1.024773,1.87195,1.035654,2.499193,1.293512,1.792531,7.140845,1.335328,6.662555,2.186627
ENSMUSG00000000088,Cox5a,COX5A,one-to-one,No_annotation,NA,NA,86.69433041666667,176.5556025503397,25.660245,31.028944,34.800812,37.214455,22.281038,28.66399,28.334347,25.112439,643.886736,29.740134,96.066281,37.542544
ENSMUSG00000000093,Tbx2,TBX2,one-to-one,No_annotation,NA,NA,0.41684333333333334,0.6309928084589949,0.114003,0.185457,0.071955,0.343524,0.249726,0.331516,0.135854,0.295635,2.390152,0.126435,0.385313,0.37255
