gene_id,gene_name,TPM,counts,length
ENSMUSG00000000001,Gnai3,31.397672,1476,2279.246
ENSMUSG00000000003,Pbsn,0,0,484
ENSMUSG00000000028,Cdc45,2.128358,79,1799.636
ENSMUSG00000000037,Scml2,0.48865200000000003,27,2678.960390451691
ENSMUSG00000000049,Apoh,11.371192,197,839.9679999999998
ENSMUSG00000000056,Narf,11.385513,855,3640.9594074074657
ENSMUSG00000000058,Cav2,10.837968,361,1614.96
ENSMUSG00000000078,Klf6,16.167672,1108,3322.726563170876
ENSMUSG00000000085,Scmh1,17.356996,635.001,1773.7874424390602
ENSMUSG00000000088,Cox5a,165.61750299999997,1085.702,317.8385013491298
ENSMUSG00000000093,Tbx2,0.605559,67,5364.394
ENSMUSG00000000094,Tbx4,0,0,2716
ENSMUSG00000000103,Zfy2,0,0,2506
ENSMUSG00000000120,Ngfr,0.659907,50,3673.5789999999997
ENSMUSG00000000125,Wnt3,0,0,2751
ENSMUSG00000000126,Wnt9a,1.120789,76,3287.6983306206607
ENSMUSG00000000127,Fer,5.687019,285,2429.754970987085
ENSMUSG00000000131,Xpo6,16.893918,1195.223,3430.2179478791136
ENSMUSG00000000134,Tfe3,9.413851000000003,713.001,3672.1849809700616
ENSMUSG00000000142,Axin2,0.892672,81,4399.418090595425
ENSMUSG00000000148,Brat1,8.437603000000001,541.999,3114.4595624150606
ENSMUSG00000000149,Gna12,29.314195,2178.796,3603.636
ENSMUSG00000000154,Slc22a18,28.541403,619,1051.5206178985666
ENSMUSG00000000157,Itgb2l,1.9829720000000002,46,1124.7174760551334
ENSMUSG00000000159,Igsf5,40.204659,943.346,1137.618889003834
ENSMUSG00000000167,Pih1d2,1.261197,27,1037.9653616500832
ENSMUSG00000000168,Dlat,16.263357000000003,1138.734,3394.8031252850806
ENSMUSG00000000171,Sdhd,118.655004,1854.305,757.7
ENSMUSG00000000182,Fgf23,0,0,1489
ENSMUSG00000000183,Fgf6,0,0,4332
ENSMUSG00000000184,Ccnd2,3.465357,388,5428.5796247881535
ENSMUSG00000000194,Gpr107,22.294093999999998,1954.171,4249.862498184318
ENSMUSG00000000197,Nalcn,0.016394,2,5914.846
ENSMUSG00000000202,Btbd17,0.291639,16,2659.970516782735
ENSMUSG00000000204,Slfn4,0.763102,48,3049.728
ENSMUSG00000000214,Th,0,0,941.5
ENSMUSG00000000215,Ins2,6.212937,25,195.09468774590823
ENSMUSG00000000216,Scnn1g,1.352087,72,2581.845
ENSMUSG00000000223,Drp2,0.11091699999999999,10,4371.262231407269
ENSMUSG00000000244,Tspan32,1.9728,31.001,761.8694783237022
ENSMUSG00000000247,Lhx2,0,0,855
ENSMUSG00000000248,Clec2g,1.244712,19,740.0948272403576
ENSMUSG00000000253,Gmpr,2.403811,77,1553.076
ENSMUSG00000000263,Glra1,0,0,1749.6666666666667
ENSMUSG00000000266,Mid2,1.5383879999999999,107,3372.255030103589
ENSMUSG00000000275,Trim25,9.679467,1025,5134.224
ENSMUSG00000000276,Dgke,1.321548,173,6346.954000302675
ENSMUSG00000000278,Scpep1,27.957903,1064,1845.183
ENSMUSG00000000282,Mnt,6.426128,717.011,5409.771
ENSMUSG00000000290,Itgb2,21.300765,1242.001,2827.0221825910007
ENSMUSG00000000295,Hddc2,7.926533,89,544.3884851528404
ENSMUSG00000000296,Tpd52l1,117.899196,2109.7980000000002,867.6255808738424
ENSMUSG00000000301,Pemt,12.466759999999999,139,540.584246865986
ENSMUSG00000000303,Cdh1,118.60959799999999,10610.023,4337.094646043401
ENSMUSG00000000305,Cdh4,0.027486,4,7055.927
ENSMUSG00000000308,Ckmt1,159.738913,4001.8959999999997,1214.6674017394437
ENSMUSG00000000317,Bcl6b,0.482605,32,3214.846
ENSMUSG00000000318,Clec10a,2.2152559999999997,53.323,1167.0503571596241
ENSMUSG00000000320,Alox12,5.702095,324.112,2755.896499866979
ENSMUSG00000000326,Comt,57.583785999999996,1557.683,1311.538148566456
ENSMUSG00000000339,Rtca,14.735803,438.99999999999994,1444.418806558964
ENSMUSG00000000340,Dbt,31.621319999999997,1594.0290000000002,2444.0981998155676
ENSMUSG00000000346,Dazap2,114.69415399999998,4644.143,1963.2097498010928
ENSMUSG00000000355,Mcts1,65.857762,424,312.14830828410174
ENSMUSG00000000359,Rem1,1.192077,44.006,1789.8139999999999
ENSMUSG00000000365,Rnf17,0,0,1754.5
