gene_id,gene_name,TPM,counts,length
ENSMUSG00000000001,Gnai3,14.442622,1293.002,2423.422
ENSMUSG00000000003,Pbsn,0,0,503
ENSMUSG00000000028,Cdc45,1.309892,66,1363.9059848155418
ENSMUSG00000000037,Scml2,0.040637,6,3996.709
ENSMUSG00000000049,Apoh,7.342924,266,980.593
ENSMUSG00000000056,Narf,4.977775,749,4073.077
ENSMUSG00000000058,Cav2,3.8088610000000003,209,1485.3442017708182
ENSMUSG00000000078,Klf6,10.488504,1378,3556.409419539717
ENSMUSG00000000085,Scmh1,6.462862000000001,654.999,2743.421652883041
ENSMUSG00000000088,Cox5a,112.095491,1439.0000000000002,347.4954512051694
ENSMUSG00000000093,Tbx2,0.560141,127,6137.374
ENSMUSG00000000094,Tbx4,0,0,2739
ENSMUSG00000000103,Zfy2,0,0,2529
ENSMUSG00000000120,Ngfr,36.572111,5611.5,4153.412
ENSMUSG00000000125,Wnt3,0,0,2774
ENSMUSG00000000126,Wnt9a,0.2968,41,3739.3430000000003
ENSMUSG00000000127,Fer,1.638171,151.999,2511.65822515354
ENSMUSG00000000131,Xpo6,7.5845270000000005,859.8679999999999,3068.8740172937614
ENSMUSG00000000134,Tfe3,3.239426,491.01900000000006,4103.041603523278
ENSMUSG00000000142,Axin2,0.505863,56,2996.612792012857
ENSMUSG00000000148,Brat1,1.661565,226.99999999999997,3698.1505474603755
ENSMUSG00000000149,Gna12,3.912287,559.801,3873.279
ENSMUSG00000000154,Slc22a18,6.500911,320,1332.4529110356996
ENSMUSG00000000157,Itgb2l,0.701993,30,1156.8157515744458
ENSMUSG00000000159,Igsf5,14.029757,697.761,1346.2702766119185
ENSMUSG00000000167,Pih1d2,0.188347,8.085,1162.0550227027773
ENSMUSG00000000168,Dlat,11.191423,1554.001,3758.7366035726645
ENSMUSG00000000171,Sdhd,42.353491,1419.994,907.556
ENSMUSG00000000182,Fgf23,0,0,1512
ENSMUSG00000000183,Fgf6,0,0,4355
ENSMUSG00000000184,Ccnd2,1.115341,235,5703.431115806737
ENSMUSG00000000194,Gpr107,5.026016,1039,5595.872125278751
ENSMUSG00000000197,Nalcn,0.100592,21,5651.096966478448
ENSMUSG00000000202,Btbd17,0.010904,1,2482.501
ENSMUSG00000000204,Slfn4,0.035237,4,3072.847
ENSMUSG00000000214,Th,0,0,962.1666666666666
ENSMUSG00000000215,Ins2,4.5075400000000005,36,216.19151828269966
ENSMUSG00000000216,Scnn1g,4.861622,513,2856.356
ENSMUSG00000000223,Drp2,0.051154000000000005,11,5820.896461664776
ENSMUSG00000000244,Tspan32,0.290693,16,1489.917418286646
ENSMUSG00000000247,Lhx2,0.006771,1,3998.048
ENSMUSG00000000248,Clec2g,0.33745000000000003,7,561.5214651652096
ENSMUSG00000000253,Gmpr,0.752861,48,1725.848
ENSMUSG00000000263,Glra1,0,0,1772.6666666666667
ENSMUSG00000000266,Mid2,4.1130569999999995,616,4054.0783412542064
ENSMUSG00000000275,Trim25,2.059097,427,5613.413932775872
ENSMUSG00000000276,Dgke,0.438893,121,7462.825580886457
ENSMUSG00000000278,Scpep1,8.557318,650,2056.136
ENSMUSG00000000282,Mnt,1.828456,424,6277.077
ENSMUSG00000000290,Itgb2,0.99523,115,3127.883
ENSMUSG00000000295,Hddc2,3.176103,73,622.1635249555823
ENSMUSG00000000296,Tpd52l1,27.236707999999997,879.066,873.6614341240139
ENSMUSG00000000301,Pemt,2.5765119999999997,66,693.4064170510366
ENSMUSG00000000303,Cdh1,21.438809,3702.003,4674.253
ENSMUSG00000000305,Cdh4,0.01082,3,7505.617
ENSMUSG00000000308,Ckmt1,110.87242200000001,5775.9310000000005,1410.1798605777187
ENSMUSG00000000317,Bcl6b,0.431857,38,2381.8765152932565
