Geneid,mouse_gene,ortholog_type,Secretome location,Secretome function,Level,Reliability,Cell type,Mean_TPM,adult_SM_01,adult_SM_02,adult_SM_03,adult_SM_04,adult_SM_05,adult_SM_06
A1BG,A1bg,one-to-one,Secreted to blood,No annotated function,Not detected,Supported,glandular cells,0.7758861005448724,0.416606203475153,0.889715290754687,0.675046892603955,0.577263354340578,1.15007258827129,0.946612273823571
A1BG-AS1,NA,human-specific,NA,NA,NA,NA,NA,0.38380233266304314,0.413427869763194,0.35317102269159,0.306238576899608,0.396356739374157,0.232409888644768,0.601209898604942
A1CF,A1cf,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,0.11390967702044368,0.111456769867601,0.121659799610878,0.0412797069167491,0.111306805039942,0.149180485124642,0.14857449556285
A2M,A2m,one-to-one,Secreted to blood,Enzyme inhibitor,Not detected,Supported,glandular cells,63.057452191656864,66.5861783007198,36.1201459040887,61.8346138507424,73.6460674086489,67.4736473864264,72.684060299314993
A2M-AS1,NA,human-specific,NA,NA,NA,NA,NA,1.8062395996631364,2.98638722967205,1.17744147913005,1.72998166506809,3.32648855857903,0.614947904115969,1.00219076141363
A2ML1,NA,human-specific,Secreted in other tissues,Enzyme inhibitor,Not detected,Enhanced,glandular cells,0.274650869867685,0.32653055990079,0.139469470026626,0.525114889985203,0.231696388740565,0.134564858994932,0.290529051557994
A2ML1-AS1,NA,human-specific,NA,NA,NA,NA,NA,0.13902467588911682,0.215043067788914,0.122467118979746,0.23893339516343,0.257704473402611,0,0
A2MP1,NA,human-specific,NA,NA,NA,NA,NA,1.312690660954173,1.46644689857719,0.37581396086582203,0.868993397230527,3.47080290042097,1.0010184450847,0.69306836354583
A3GALT2,A3galt2,one-to-one,NA,NA,NA,NA,NA,0.18052551851296067,0.344321158395153,0,0.063762284339801,0.1547360437806,0.207387123088963,0.312946501473247
A4GALT,A4galt,one-to-one,NA,NA,NA,NA,NA,5.631605830963885,3.81194838941994,4.76110302742461,6.42196509363312,4.41563566847607,4.12776212713567,10.2512206796939
A4GNT,A4gnt,one-to-one,Intracellular and membrane,Enzyme,Not detected,Enhanced,glandular cells,0.018404116606001317,0,0.0485012429615144,0,0,0,0.0619234566744935
AA06,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
AAAS,Aaas,one-to-one,NA,NA,Medium,Approved,glandular cells,1.6661151687369793,1.00270494914467,1.90653976877807,1.36567219913246,1.88965532253279,2.84434581545651,0.987772957377376
