Chr,Start,End,Geneid,Cluster
NC_000067.7,3269956,3277540,Xkr4,1
NC_000067.7,11484121,11484861,A830018L16Rik,2
NC_000067.7,12049764,12053967,Gm30898,3
NC_000067.7,13738962,13739091,Xkr9,4
NC_000067.7,17797276,17797358,Crispld1,5
NC_000067.7,19279132,19279472,Tfap2b,6
NC_000067.7,37723623,37728481,Gm39628,7
NC_000067.7,38212936,38218651,Aff3,8
NC_000067.7,38257962,38274585,Gm16150,8
NC_000067.7,43162233,43162825,Fhl2,9
NC_000067.7,52961483,52964893,1700019D03Rik,10
NC_000067.7,54512159,54520003,Pgap1,11
NC_000067.7,55442722,55445789,Plcl1,12
NC_000067.7,58317485,58317634,Aox2,13
NC_000067.7,65052237,65052468,Akr1cl,14
NC_000067.7,65144443,65144909,D630023F18Rik,14
NC_000067.7,68702610,68708589,Gm53558,15
NC_000067.7,69470385,69470612,Gm28497,16
NC_000067.7,72863650,72864123,Igfbp2,17
NC_000067.7,74448543,74448595,Vil1,18
NC_000067.7,74640583,74640772,Stk36,19
NC_000067.7,74941230,74941402,Cfap65,20
NC_000067.7,82564647,82565152,Col4a3,21
NC_000067.7,84881344,84885150,Slc16a14,22
NC_000067.7,85083814,85084411,A530040E14Rik,23
NC_000067.7,85219007,85219618,Sp140l2,24
NC_000067.7,85250516,85250650,LOC118567760,24
NC_000067.7,85257384,85257469,Gm53567,24
NC_000067.7,85498462,85499055,Sp110,25
NC_000067.7,85515212,85515290,Sp140,25
NC_000067.7,86470735,86471305,Pde6d,26
NC_000067.7,87025724,87026686,Alpi,27
NC_000067.7,88139681,88140593,Ugt1a1,28
NC_000067.7,88907467,88908198,Gm34194,29
NC_000067.7,88998061,88998319,Sh3bp4,29
NC_000067.7,89029977,89030016,Gm34331,29
NC_000067.7,92943180,92946221,Kif1a,30
NC_000067.7,98007039,98013257,Gm51640,31
NC_000067.7,106788905,106788990,Serpinb5,32
NC_000067.7,106973317,106974150,Serpinb3a,33
NC_000067.7,107005893,107006327,Serpinb3d,33
NC_000067.7,107290044,107290089,Serpinb11,34
NC_000067.7,107456724,107456821,Serpinb10,35
NC_000067.7,119995106,119996054,Tmem37,36
NC_000067.7,125841373,125842758,Nckap5,37
NC_000067.7,127418079,127419397,Tmem163,38
NC_000067.7,128212493,128213073,Lct,39
NC_000067.7,130737751,130738024,Gm15848,40
NC_000067.7,131182337,131183075,Ikbke,41
NC_000067.7,131725122,131725324,Pm20d1,42
NC_000067.7,132226352,132227390,Klhdc8a,43
NC_000067.7,132284053,132285555,Tmcc2,43
NC_000067.7,132475706,132475836,Gm51646,44
NC_000067.7,132808093,132808413,Lrrn2,45
NC_000067.7,133237561,133237649,Golt1a,46
NC_000067.7,133241803,133247203,Gm53474,46
NC_000067.7,133249625,133249714,Kiss1,46
NC_000067.7,133278412,133278535,Ren1,46
NC_000067.7,133964992,133965320,Fmod,47
NC_000067.7,135763933,135764184,Tnnt2,48
NC_000067.7,135799132,135801387,Pkp1,48
NC_000067.7,138201476,138201585,Atp6v1g3,49
NC_000067.7,151447215,151447335,Niban1,50
NC_000067.7,152998502,153000029,Lamc2,51
NC_000067.7,153378762,153379303,Npl,52
NC_000067.7,153625089,153625349,Rnasel,53
NC_000067.7,155088217,155089459,BC034090,54
NC_000067.7,156082866,156083415,Tdrd5,55
NC_000067.7,159871950,159872323,4930523C07Rik,56
NC_000067.7,161643681,161646378,Suco,57
NC_000067.7,162657130,162657883,Fmo1,58
NC_000067.7,162781368,162782095,Fmo3,59
NC_000067.7,164330876,164331113,Gm26685,60
NC_000067.7,165108760,165108907,Gpr161,61
NC_000067.7,167273244,167273692,Lrrc52,62
NC_000067.7,167425902,167426369,Rxrg,63
NC_000067.7,168170333,168199924,Gm51671,64
NC_000067.7,170125767,170129210,Gm7694,65
NC_000067.7,170772677,170775183,Gm39701,66
NC_000067.7,170978282,170978303,Mpz,67
NC_000067.7,171057141,171057496,Fcer1g,67
NC_000067.7,171508989,171509008,Cd48,68
NC_000067.7,172024295,172026257,Pea15a,69
NC_000067.7,172051075,172051393,Atp1a4,69
NC_000067.7,172302927,172303106,Slamf9,70
NC_000067.7,172327813,172327899,Tagln2,70
NC_000067.7,174324079,174331157,Fmn2,71
NC_000067.7,175489993,175490720,Opn3,72
NC_000067.7,176847642,176853015,Akt3,73
NC_000067.7,178356690,178357190,Kif26b,74
NC_000067.7,179124948,179153692,Gm31349,75
NC_000067.7,181362453,181363366,Gm32767,76
NC_000067.7,182782317,182782406,Tlr5,77
NC_000067.7,183195395,183195610,Hhipl2,78
NC_000067.7,186196037,186196340,Gm35426,79
NC_000067.7,186319519,186319617,Gm35546,80
NC_000067.7,186354984,186357803,Tgfb2,80
NC_000067.7,187340707,187341096,Esrrg,81
NC_000067.7,190679843,190682453,Vash2,82
NC_000067.7,190853099,190853369,Gm46178,83
NC_000067.7,190902493,190903876,Atf3,83
NC_000067.7,191660682,191660908,Gm39742,84
NC_000067.7,191669995,191670589,Gm39743,84
NC_000067.7,192903917,192904536,Hsd11b1,85
NC_000067.7,192976661,192976744,Lamb3,85
NC_000067.7,193023203,193025047,Gm51741,85
NC_000068.8,4923807,4923955,Phyh,86
NC_000068.8,4946892,4947360,Gm13194,86
NC_000068.8,4980933,4981120,Ucma,86
NC_000068.8,12306057,12306400,E030013I19Rik,87
NC_000068.8,14234225,14234384,Mrc1,88
NC_000068.8,24166966,24167135,Il36rn,89
NC_000068.8,25118909,25119527,Slc34a3,90
NC_000068.8,25124487,25126352,Rnf224,90
NC_000068.8,25181189,25182140,Grin1,90
NC_000068.8,25181270,25181354,Grin1os,90
NC_000068.8,25356723,25356843,Ptgds,91
NC_000068.8,25514677,25515100,Fcna,92
NC_000068.8,26732508,26733886,Abo,93
NC_000068.8,28352013,28352446,Pierce1,94
NC_000068.8,28445831,28446385,Cel,94
NC_000068.8,29735442,29735855,Cercam,95
NC_000068.8,29758363,29758407,2600006K01Rik,95
NC_000068.8,30735076,30735693,Prrx2,96
NC_000068.8,31204273,31204688,Hmcn2,97
NC_000068.8,31840315,31840393,Aif1l,98
NC_000068.8,32269120,32269545,Bbln,99
NC_000068.8,32274649,32274896,Lcn2,99
NC_000068.8,32677619,32679649,Stxbp1,100
NC_000068.8,33450977,33454805,Lmx1b,101
NC_000068.8,34662102,34662158,Hspa5,102
NC_000068.8,35290191,35292814,Ggta1,103
NC_000068.8,35439546,35440428,Gm13446,104
NC_000068.8,35971962,35974087,Lhx6,105
NC_000068.8,49509298,49509799,Kif5c,106
NC_000068.8,49956413,49956596,Lypd6,107
NC_000068.8,51838517,51838788,Nmi,108
NC_000068.8,51928125,51928281,Tnfaip6,108
NC_000068.8,51962725,51962878,Rif1,108
NC_000068.8,57887832,57887925,Galnt5,109
NC_000068.8,58019151,58024205,Cytip,110
NC_000068.8,58166791,58166874,Gm13544,111
NC_000068.8,58456329,58457540,Upp2,112
NC_000068.8,59314997,59315110,Dapl1,113
NC_000068.8,60428636,60430927,Itgb6,114
NC_000068.8,64742820,64743197,Grb14,115
NC_000068.8,65063826,65068426,Gm13594,116
NC_000068.8,68161177,68180552,Gm54158,117
NC_000068.8,68303308,68304349,Gm13596,118
NC_000068.8,70320284,70320943,Gad1os,119
NC_000068.8,72306540,72306655,Cdca7,120
