"ensembl_gene_id","external_gene_name","hsapiens_homolog_ensembl_gene","hsapiens_homolog_associated_gene_name","hsapiens_homolog_orthology_type","hsapiens_homolog_orthology_confidence","hsapiens_homolog_perc_id","hsapiens_homolog_perc_id_r1"
"ENSMUSG00000064341","mt-Nd1","ENSG00000198888","MT-ND1","ortholog_one2one",1,77.044,77.044
"ENSMUSG00000064345","mt-Nd2","ENSG00000198763","MT-ND2","ortholog_one2one",1,57.3913,57.0605
"ENSMUSG00000064351","mt-Co1","ENSG00000198804","MT-CO1","ortholog_one2one",1,90.6615,90.8382
"ENSMUSG00000064354","mt-Co2","ENSG00000198712","MT-CO2","ortholog_one2one",1,71.3656,71.3656
"ENSMUSG00000064356","mt-Atp8","ENSG00000228253","MT-ATP8","ortholog_one2one",0,46.2687,45.5882
"ENSMUSG00000064357","mt-Atp6","ENSG00000198899","MT-ATP6","ortholog_one2one",1,75.6637,75.6637
"ENSMUSG00000064358","mt-Co3","ENSG00000198938","MT-CO3","ortholog_one2one",1,86.9732,86.9732
"ENSMUSG00000064360","mt-Nd3","ENSG00000198840","MT-ND3","ortholog_one2one",1,66.087,66.087
"ENSMUSG00000065947","mt-Nd4l","ENSG00000212907","MT-ND4L","ortholog_one2one",1,66.3265,66.3265
"ENSMUSG00000064363","mt-Nd4","ENSG00000198886","MT-ND4","ortholog_one2one",1,66.8845,66.8845
"ENSMUSG00000064367","mt-Nd5","ENSG00000198786","MT-ND5","ortholog_one2one",1,63.4267,63.8474
"ENSMUSG00000064368","mt-Nd6","ENSG00000198695","MT-ND6","ortholog_one2one",1,52.907,52.2989
"ENSMUSG00000064370","mt-Cytb","ENSG00000198727","MT-CYB","ortholog_one2one",1,77.9528,78.1579
"ENSMUSG00000094722","","ENSG00000204479","PRAMEF17","ortholog_many2many",0,36.7983,37.3418
"ENSMUSG00000094722","","ENSG00000116726","PRAMEF12","ortholog_many2many",0,42.6195,42.4431
"ENSMUSG00000094722","","ENSG00000116721","PRAMEF1","ortholog_many2many",0,36.7983,37.3418
"ENSMUSG00000094722","","ENSG00000204480","PRAMEF19","ortholog_many2many",0,37.422,37.5783
"ENSMUSG00000094722","","ENSG00000204478","PRAMEF20","ortholog_many2many",0,39.9168,40.4211
"ENSMUSG00000094722","","ENSG00000232423","PRAMEF6","ortholog_many2many",0,39.9168,40.3361
"ENSMUSG00000094722","","ENSG00000279804","PRAMEF18","ortholog_many2many",0,37.6299,37.7871
"ENSMUSG00000094722","","ENSG00000187545","PRAMEF10","ortholog_many2many",0,37.2141,37.7637
"ENSMUSG00000094722","","ENSG00000120952","PRAMEF2","ortholog_many2many",0,36.1746,36.7089
"ENSMUSG00000094722","","ENSG00000237700","PRAMEF33","ortholog_many2many",0,36.5904,37.1308
"ENSMUSG00000094722","","ENSG00000239810","PRAMEF11","ortholog_many2many",0,38.4615,38.7029
"ENSMUSG00000094722","","ENSG00000280267","PRAMEF26","ortholog_many2many",0,39.501,39.749
"ENSMUSG00000094722","","ENSG00000204505","PRAMEF9","ortholog_many2many",0,39.7089,39.9582
"ENSMUSG00000094722","","ENSG00000279169","PRAMEF13","ortholog_many2many",0,36.5904,37.1308
"ENSMUSG00000094722","","ENSG00000270601","PRAMEF5","ortholog_many2many",0,39.9168,40.3361
"ENSMUSG00000094722","","ENSG00000243073","PRAMEF4","ortholog_many2many",0,39.0852,39.3305
"ENSMUSG00000094722","","ENSG00000229571","PRAMEF25","ortholog_many2many",0,39.501,39.749
"ENSMUSG00000094722","","ENSG00000204481","PRAMEF14","ortholog_many2many",0,36.5904,37.1308
"ENSMUSG00000094722","","ENSG00000182330","PRAMEF8","ortholog_many2many",0,41.7879,42.4051
"ENSMUSG00000094722","","ENSG00000204501","PRAMEF15","ortholog_many2many",0,39.7089,39.9582
"ENSMUSG00000094722","","ENSG00000274764","PRAMEF27","ortholog_many2many",0,39.7089,39.9582
"ENSMUSG00000094722","","ENSG00000204510","PRAMEF7","ortholog_many2many",0,41.7879,42.4051
"ENSMUSG00000094741","","ENSG00000204479","PRAMEF17","ortholog_many2many",0,39.0663,33.5443
