gene_id,gene_name,TPM,counts,length
ENSMUSG00000000001,Gnai3,34.909021,1736.101,2291.106
ENSMUSG00000000003,Pbsn,0,0,477.5
ENSMUSG00000000028,Cdc45,0.9761340000000001,34,1604.6382973321286
ENSMUSG00000000037,Scml2,0,0,2589
ENSMUSG00000000049,Apoh,2130.1277410000002,37769.847,816.859743119216
ENSMUSG00000000056,Narf,18.674547,1447.739,3571.4777180778738
ENSMUSG00000000058,Cav2,1.23155,43,1608.512
ENSMUSG00000000078,Klf6,2.024728,150,3412.97
ENSMUSG00000000085,Scmh1,4.453735,172.001,1779.147304651489
ENSMUSG00000000088,Cox5a,305.622419,2123.049,320.02392624410186
ENSMUSG00000000093,Tbx2,0.558888,63.005,5193.503
ENSMUSG00000000094,Tbx4,0,0,2710
ENSMUSG00000000103,Zfy2,0,0,2500
ENSMUSG00000000120,Ngfr,0.849487,68,3687.7410000000004
ENSMUSG00000000125,Wnt3,0,0,2745
ENSMUSG00000000126,Wnt9a,0.112633,8,3272.149
ENSMUSG00000000127,Fer,2.3398009999999996,124,2441.4647028854165
ENSMUSG00000000131,Xpo6,11.199962000000001,751.933,3092.934413590152
ENSMUSG00000000134,Tfe3,6.537744000000001,502.001,3537.3973026794865
ENSMUSG00000000142,Axin2,2.154487,148.001,3164.6511465365074
ENSMUSG00000000148,Brat1,3.5810369999999994,254.001,3267.63044345758
ENSMUSG00000000149,Gna12,38.050554000000005,2966.45,3591.5653985799786
ENSMUSG00000000154,Slc22a18,97.24728400000001,2477.6130000000003,1173.718045662509
ENSMUSG00000000157,Itgb2l,0.23086,6.007,1198.6951561119292
ENSMUSG00000000159,Igsf5,19.988225,474,1092.476284421203
ENSMUSG00000000167,Pih1d2,0.187405,4,983.304
ENSMUSG00000000168,Dlat,25.12228,1619.5500000000002,2969.908022581868
ENSMUSG00000000171,Sdhd,273.341316,4435.346,747.533
ENSMUSG00000000182,Fgf23,0,0,1483
ENSMUSG00000000183,Fgf6,0,0,4326
ENSMUSG00000000184,Ccnd2,1.0551409999999999,123,5370.345382083531
ENSMUSG00000000194,Gpr107,4.898992000000001,478,4494.993368030607
ENSMUSG00000000197,Nalcn,0,0,3298.1428571428573
ENSMUSG00000000202,Btbd17,0,0,1117.4285714285713
ENSMUSG00000000204,Slfn4,0.257726,6,1072.509
ENSMUSG00000000214,Th,0,0,935.8333333333334
ENSMUSG00000000215,Ins2,6.361429,27,195.53162253323902
ENSMUSG00000000216,Scnn1g,0.070977,4,2596.258
ENSMUSG00000000223,Drp2,0,0,3624.6666666666665
ENSMUSG00000000244,Tspan32,0.224493,6,1231.2797874454884
ENSMUSG00000000247,Lhx2,0.7038949999999999,44,2879.735025242401
ENSMUSG00000000248,Clec2g,0,0,991.3333333333334
ENSMUSG00000000253,Gmpr,0.60447,20,1524.274
ENSMUSG00000000263,Glra1,0,0,1743.6666666666667
ENSMUSG00000000266,Mid2,1.046398,95,4182.487411209693
ENSMUSG00000000275,Trim25,11.555983,1262,5031.069220153924
ENSMUSG00000000276,Dgke,0.176725,29,7559.748
ENSMUSG00000000278,Scpep1,33.297183,1301.324,1800.469
ENSMUSG00000000282,Mnt,2.640862,317.001,5529.969
ENSMUSG00000000290,Itgb2,3.5558829999999997,210,2720.693596192282
ENSMUSG00000000295,Hddc2,1.6520629999999998,18,501.94252608284313
ENSMUSG00000000296,Tpd52l1,8.924036000000001,161,831.1366222307933
ENSMUSG00000000301,Pemt,639.588047,9036.619,650.8985535355057
ENSMUSG00000000303,Cdh1,9.693843,907,4310.416
ENSMUSG00000000305,Cdh4,0.072608,11,6979.378
ENSMUSG00000000308,Ckmt1,1.8659679999999998,49,1209.7611818702144
ENSMUSG00000000317,Bcl6b,0.519368,36,3193.269
ENSMUSG00000000318,Clec10a,0.35789099999999996,10.004,1287.7130519767193
ENSMUSG00000000320,Alox12,0.262268,13,2283.5201168232497
ENSMUSG00000000326,Comt,432.702682,13426.405999999999,1429.4795393869872
ENSMUSG00000000339,Rtca,7.570586,228,1387.4362666882062
ENSMUSG00000000340,Dbt,30.342807,1689.108,2564.541
ENSMUSG00000000346,Dazap2,49.616659,1994.2769999999998,1851.6789644099376
ENSMUSG00000000355,Mcts1,43.278397999999996,300,319.3434077806439
ENSMUSG00000000359,Rem1,0.052668,2,1749.409
ENSMUSG00000000365,Rnf17,0.012148,1,3792.206
ENSMUSG00000000374,Trappc10,4.060721,420.00100000000003,4764.905779463302
ENSMUSG00000000378,Ccm2,13.440877,399,1367.5808127202563
ENSMUSG00000000381,Wap,0,0,358.3333333333333
ENSMUSG00000000384,Tbrg4,18.637742999999997,654.002,1616.5654194305612
ENSMUSG00000000385,Tmprss2,1.756429,113,2963.8441625542505
ENSMUSG00000000386,Mx1,0.281596,13,2126.792
ENSMUSG00000000392,Fap,0.178512,8,2064.573
ENSMUSG00000000394,Gcg,0.059403,1,775.534
ENSMUSG00000000399,Ndufa9,123.287637,2773.0719999999997,1036.213973883018
ENSMUSG00000000402,Egfl6,0.064212,3,2152.358
ENSMUSG00000000409,Lck,0.168266,8,2190.2911949829436
ENSMUSG00000000411,Tssk3,0.042703,1,1078.822
ENSMUSG00000000416,Cttnbp2,0.079512,6,3476.3530000000005
ENSMUSG00000000420,Galnt1,13.850323,833.039,2770.851956490979
ENSMUSG00000000435,Myf5,0,0,1752
ENSMUSG00000000439,Mkrn2,3.464205,403.936,5371.756
ENSMUSG00000000440,Pparg,4.583259999999999,148,1487.6305297360398
ENSMUSG00000000441,Raf1,28.64997,1623.9179999999997,2611.2460280124546
ENSMUSG00000000486,Septin1,1.031396,24,1071.9977478601818
ENSMUSG00000000489,Pdgfb,0.48531199999999997,35,3322.4257751261043
ENSMUSG00000000530,Acvrl1,1.233137,68,2540.418744227121
ENSMUSG00000000531,Tamalin,0.339456,17.973,2439.232
ENSMUSG00000000532,Acvr1b,3.952278,364,4242.889
ENSMUSG00000000538,Tom1l2,8.88386,685.0000000000001,3552.1938465596036
