Geneid,Chr,Start,End,Strand,Length,adult_PAR_01,adult_PAR_02,adult_PAR_03,adult_PAR_04,adult_SL_01,adult_SL_02,adult_SL_03,adult_SM_01,adult_SM_02,adult_SM_03,adult_SM_04,adult_SM_05,adult_SM_06
A1BG,NC_000019.10,58345183,58347029,-,3382,19,34,34,31,59,82,56,24,60,35,37,55,50
A1BG-AS1,NC_000019.10,58351970,58353044,+,2130,10,3,4,18,9,27,12,15,15,10,16,7,20
A1CF,NC_000010.11,50799409,50806880,-,9481,14,39,8,18,28,52,21,18,23,6,20,20,22
A2M,NC_000012.12,9067708,9067839,-,5208,4240,3330,3268,3925,14764,7353,4460,5907,3751,4937,7269,4969,5912
A2M-AS1,NC_000012.12,9065177,9065228,+,2300,27,78,30,57,63,37,32,117,54,61,145,20,36
A2ML1,NC_000012.12,8822621,8822713,+,6832,17,29,23,61,45,59,145,38,19,55,30,13,31
A2ML1-AS1,NC_000012.12,8776211,8776384,-,819,2,0,1,0,1,7,0,3,2,3,4,0,0
A2MP1,NC_000012.12,9228533,9228698,-,1201,10,22,5,34,27,16,12,30,9,16,79,17,13
A3GALT2,NC_000001.11,33306766,33307453,-,1023,9,2,8,2,6,0,0,6,0,1,3,3,5
A4GALT,NC_000022.11,42692121,42693997,-,4266,100,56,89,137,509,561,272,277,405,420,357,249,683
A4GNT,NC_000003.12,138123713,138124878,-,2068,4,0,0,8,2,2,2,0,2,0,0,0,2
AA06,NC_000017.11,33529787,33530198,-,632,0,0,0,1,0,0,0,0,0,0,0,0,0
AAAS,NC_000012.12,53307460,53307713,-,1815,26,21,65,110,104,65,51,31,69,38,65,73,28
AAAS_1,NW_025791795.1,31210,31463,-,1815,0,0,0,0,2,0,0,0,0,0,0,0,0
AACS,NC_000012.12,125065435,125065717,+,7750,2491,2536,2127,3153,2115,2318,2303,2635,1674,1978,2320,1826,2017
AACSP1,NC_000005.10,178764861,178766175,-,2825,2,0,0,4,4,2,2,0,3,2,2,6,3
AADAC,NC_000003.12,151814116,151814300,+,1563,2,0,0,2,2,5,10,2,0,0,0,0,1
AADACL2,NC_000003.12,151733927,151734173,+,5060,2,2,2,14,3,6,14,0,0,2,6,0,0
AADACL2-AS1,NC_000003.12,151751179,151751511,-,772,0,0,2,1,2,1,0,1,4,0,8,0,1
AADACL2-AS1_1,NW_003315913.1,172352,172684,-,398,0,0,0,0,0,0,0,0,0,0,0,0,0
