gene_id,gene_name,TPM,counts,length
ENSMUSG00000000001,Gnai3,20.25877,1402,2304.326
ENSMUSG00000000003,Pbsn,0,0,483.5
ENSMUSG00000000028,Cdc45,1.536173,88.029,1908.0724136038064
ENSMUSG00000000037,Scml2,0.053208,6,3754.7666724928577
ENSMUSG00000000049,Apoh,9.90073,267.528,899.7260000000001
ENSMUSG00000000056,Narf,4.934583,586,3954.176
ENSMUSG00000000058,Cav2,4.255285,186,1455.4366908709992
ENSMUSG00000000078,Klf6,9.033552,925,3409.511
ENSMUSG00000000085,Scmh1,6.479863,424.999,2183.8959065758027
ENSMUSG00000000088,Cox5a,82.428533,792.0060000000001,319.93351392677334
ENSMUSG00000000093,Tbx2,0.520289,90,5759.788
ENSMUSG00000000094,Tbx4,0.034629,3,2884.643
ENSMUSG00000000103,Zfy2,0,0,2508
ENSMUSG00000000120,Ngfr,0.907569,105,3852.288
ENSMUSG00000000125,Wnt3,0.02117,2,3145.7
ENSMUSG00000000126,Wnt9a,0.257753,26,3358.754
ENSMUSG00000000127,Fer,1.864306,146,2607.6221006953792
ENSMUSG00000000131,Xpo6,8.956663,1144.999,4256.65222382242
ENSMUSG00000000134,Tfe3,3.749479,448.413,3982.137382212036
ENSMUSG00000000142,Axin2,1.4224329999999998,157,3675.1645277858433
ENSMUSG00000000148,Brat1,3.320498,328,3289.118397653605
ENSMUSG00000000149,Gna12,6.528435,738.073,3764.429
ENSMUSG00000000154,Slc22a18,3.692876,136,1226.2613388480954
ENSMUSG00000000157,Itgb2l,0.7252689999999999,17,780.4757270461031
ENSMUSG00000000159,Igsf5,6.27861,243,1288.6997846464426
ENSMUSG00000000167,Pih1d2,0.602813,14,773.3120383667901
ENSMUSG00000000168,Dlat,7.600204000000001,800.9999999999999,3509.2656311835835
ENSMUSG00000000171,Sdhd,46.201248,1097,790.6089999999999
ENSMUSG00000000182,Fgf23,0,0,1491
ENSMUSG00000000183,Fgf6,0,0,4334
ENSMUSG00000000184,Ccnd2,11.680005,1957,5579.005109234885
ENSMUSG00000000194,Gpr107,4.6744699999999995,710.9300000000001,5064.121384798277
ENSMUSG00000000197,Nalcn,0.067817,13,6382.815
ENSMUSG00000000202,Btbd17,0.014086,1,2363.789
ENSMUSG00000000204,Slfn4,0.114444,11,3200.419
ENSMUSG00000000214,Th,0,0,943
ENSMUSG00000000215,Ins2,4.045488,24,197.53734530914443
ENSMUSG00000000216,Scnn1g,1.112085,97,2904.308
ENSMUSG00000000223,Drp2,0.11424799999999999,20,5828.976056438625
ENSMUSG00000000244,Tspan32,17.356767,651.0000000000001,1248.8808171978687
ENSMUSG00000000247,Lhx2,0.23918899999999998,15,2088.1296689312635
