PG.MolecularWeight,PG.NrOfStrippedSequencesIdentified (Experiment-wide),PG.ProteinAccessions,PG.Genes,PG.Organisms,PG.ProteinDescriptions,[1] 20251205_SR_saliva_set2_#1.raw.PG.NrOfStrippedSequencesIdentified,[2] 20251205_SR_saliva_set2_#2.raw.PG.NrOfStrippedSequencesIdentified,[3] 20251205_SR_saliva_set2_#3.raw.PG.NrOfStrippedSequencesIdentified,[4] 20251205_SR_saliva_set2_#4.raw.PG.NrOfStrippedSequencesIdentified,[5] 20251205_SR_saliva_set2_#5.raw.PG.NrOfStrippedSequencesIdentified,[6] 20251205_SR_saliva_set2_#6.raw.PG.NrOfStrippedSequencesIdentified,[7] 20251205_SR_saliva_set2_#7.raw.PG.NrOfStrippedSequencesIdentified,[8] 20251205_SR_saliva_set2_#8.raw.PG.NrOfStrippedSequencesIdentified,[9] 20251205_SR_saliva_set2_#9.raw.PG.NrOfStrippedSequencesIdentified,[10] 20251205_SR_saliva_set2_#10.raw.PG.NrOfStrippedSequencesIdentified,[11] 20251205_SR_saliva_set2_#11.raw.PG.NrOfStrippedSequencesIdentified,[12] 20251205_SR_saliva_set2_#12.raw.PG.NrOfStrippedSequencesIdentified,[13] 20251205_SR_saliva_set2_#13.raw.PG.NrOfStrippedSequencesIdentified,[1] 20251205_SR_saliva_set2_#1.raw.PG.Quantity,[2] 20251205_SR_saliva_set2_#2.raw.PG.Quantity,[3] 20251205_SR_saliva_set2_#3.raw.PG.Quantity,[4] 20251205_SR_saliva_set2_#4.raw.PG.Quantity,[5] 20251205_SR_saliva_set2_#5.raw.PG.Quantity,[6] 20251205_SR_saliva_set2_#6.raw.PG.Quantity,[7] 20251205_SR_saliva_set2_#7.raw.PG.Quantity,[8] 20251205_SR_saliva_set2_#8.raw.PG.Quantity,[9] 20251205_SR_saliva_set2_#9.raw.PG.Quantity,[10] 20251205_SR_saliva_set2_#10.raw.PG.Quantity,[11] 20251205_SR_saliva_set2_#11.raw.PG.Quantity,[12] 20251205_SR_saliva_set2_#12.raw.PG.Quantity,[13] 20251205_SR_saliva_set2_#13.raw.PG.Quantity,[1] 20251205_SR_saliva_set2_#1.raw.PG.IBAQ,[2] 20251205_SR_saliva_set2_#2.raw.PG.IBAQ,[3] 20251205_SR_saliva_set2_#3.raw.PG.IBAQ,[4] 20251205_SR_saliva_set2_#4.raw.PG.IBAQ,[5] 20251205_SR_saliva_set2_#5.raw.PG.IBAQ,[6] 20251205_SR_saliva_set2_#6.raw.PG.IBAQ,[7] 20251205_SR_saliva_set2_#7.raw.PG.IBAQ,[8] 20251205_SR_saliva_set2_#8.raw.PG.IBAQ,[9] 20251205_SR_saliva_set2_#9.raw.PG.IBAQ,[10] 20251205_SR_saliva_set2_#10.raw.PG.IBAQ,[11] 20251205_SR_saliva_set2_#11.raw.PG.IBAQ,[12] 20251205_SR_saliva_set2_#12.raw.PG.IBAQ,[13] 20251205_SR_saliva_set2_#13.raw.PG.IBAQ
5822.91,1,A0A140LHV9,Smim27,Mus musculus,Small integral membrane protein 27,1,1,1,1,1,1,1,1,1,1,1,1,1,11319.38086,34928.48828,22705.19336,34510.28125,14797.46094,37514.30469,15553.94336,39004.38281,47154.57813,30388.30859,9503.591797,28401.35742,13942.21289,11319.4,34928.5,22705.199,34510.301,14797.5,37514.301,15553.9,39004.398,47154.602,30388.301,9503.6,28401.4,13942.2
54040.91,16,A1L317,Krt24,Mus musculus,"Keratin, type I cytoskeletal 24",16,7,12,2,10,12,8,10,9,11,13,10,12,2136866.25,162330.8281,247196.0469,51364.22266,292652.5625,668941.3125,141209.0156,425493.0625,343996.1875,472102.0625,445461.625,411152.5,384299.625,294787.5,20117.801,38374.199,4534,45437.398,95860.602,17850,62125.898,45129.898,68509.797,60720,59163.199,54599.602
202239.61,2,A2A5R2,Arfgef2,Mus musculus,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,1,0,2,2,2,1,0,1,0,1,2,1,1,4212.864746,NaN,6757.686035,11440.11816,12836.37305,7438.511719,NaN,7800.830566,NaN,1431.828003,10675.23242,4832.813477,2913.127686,57.7,NaN,138,227.7,257.5,101.9,NaN,47.5,NaN,19.6,212.5,66.2,39.9
211489.31,16,A2A8L5,Ptprf,Mus musculus,Receptor-type tyrosine-protein phosphatase F,11,11,11,11,11,14,14,16,14,15,11,15,12,18879.83203,35068.87109,33183.61719,38572.27344,24356.16211,35758.76563,43787.01953,55439.80859,84148.29688,47052.49609,21880.05078,45122.26563,31098.53711,2277.1,4008.9,2697.3,3877.9,1729.2,4327.4,4082.8,6179.2,7309.9,4717.7,2302.5,4947.6,2792.2
44590.62,3,A2ADY9,Ddi2,Mus musculus,Protein DDI1 homolog 2,0,0,0,0,3,0,0,0,0,0,1,0,0,NaN,NaN,NaN,NaN,14138.57617,NaN,NaN,NaN,NaN,NaN,3794.59375,NaN,NaN,NaN,NaN,NaN,NaN,2038.6,NaN,NaN,NaN,NaN,NaN,100.2,NaN,NaN
19394.1,23,A2AEP0,Obp1b,Mus musculus,Odorant-binding protein 1b,21,21,22,19,22,19,23,22,19,20,20,20,21,108882472,92146928,171676656,67966952,94247032,66356984,63268680,82752040,90527688,72170168,87706256,62842588,67819568,41630956,27392778,47550924,20011752,23500294,22166252,24117348,30349902,34200672,22750332,22281268,25690632,16101184
244561.11,1,A2AGH6,Med12,Mus musculus,Mediator of RNA polymerase II transcription subunit 12,1,1,1,1,1,1,1,1,1,1,1,1,1,65687.94531,29542.34375,35161.51563,17053.20898,62291.21875,56873.88281,32802.01172,51452.34375,19356.76367,57300.84375,24827.95508,45732.80078,48763.28125,581.3,261.4,311.2,150.9,551.2,503.3,290.3,455.3,171.3,507.1,219.7,404.7,431.5
551327.86,1,A2AGL3,Ryr3,Mus musculus,Ryanodine receptor 3,0,0,0,0,0,1,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,9506.834961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50440.93,4,A2AQ07,Tubb1,Mus musculus,Tubulin beta-1 chain,0,0,0,0,4,0,0,0,0,0,3,0,0,NaN,NaN,NaN,NaN,55796.13672,NaN,NaN,NaN,NaN,NaN,15309.61426,NaN,NaN,NaN,NaN,NaN,NaN,9138.5,NaN,NaN,NaN,NaN,NaN,2445.7,NaN,NaN
221496.92,3,A2AQP0,Myh7b,Mus musculus,Myosin-7B,2,2,2,2,2,3,1,1,1,1,2,1,1,23994.46875,19953.19922,9208.973633,18875.12109,6787.725586,20143.81641,38802.84766,29504.44727,28261.20313,16407.63672,13491.1123,18834.79883,20041.60547,766.7,671.2,258.3,349.6,141.7,1371.1,323,245.6,235.2,136.6,359.5,156.8,166.8
