Geneid,mouse_gene,ortholog_type,Secretome location,Secretome function,Level,Reliability,Cell type,Mean_TPM,adult_SL_01,adult_SL_02,adult_SL_03
A1BG,A1bg,one-to-one,Secreted to blood,No annotated function,Not detected,Supported,glandular cells,1.310416603234925,1.49589492160702,1.53298491784002,0.902369970257735
A1BG-AS1,NA,human-specific,NA,NA,NA,NA,NA,0.49026598335967364,0.362314391850676,0.801459892291558,0.307023665936787
A1CF,A1cf,one-to-one,NA,NA,Not detected,Enhanced,glandular cells,0.240239566799849,0.253236652603151,0.346774241153703,0.120707806642693
A2M,A2m,one-to-one,Secreted to blood,Enzyme inhibitor,Not detected,Supported,glandular cells,126.34010173008328,243.083645270814,89.2670583182727,46.6696016011631
A2M-AS1,NA,human-specific,NA,NA,NA,NA,NA,1.3746919390600654,2.34874242717112,1.0171184236956201,0.758214966313456
A2ML1,NA,human-specific,Secreted in other tissues,Enzyme inhibitor,Not detected,Enhanced,glandular cells,0.7558070071418447,0.564790438116173,0.546011496358531,1.15661908695083
A2ML1-AS1,NA,human-specific,NA,NA,NA,NA,NA,0.21503121780540768,0.104698094511184,0.540395558905039,0
A2MP1,NA,human-specific,NA,NA,NA,NA,NA,1.1048486979298935,1.92771770518386,0.842315142606356,0.544513245999464
A3GALT2,A3galt2,one-to-one,NA,NA,NA,NA,NA,0.16763976423198435,0.502919292695953,0,0
A4GALT,A4galt,one-to-one,NA,NA,NA,NA,NA,7.3401035511994195,10.2310359486573,8.31456711201361,3.47470759292735
A4GNT,A4gnt,one-to-one,Intracellular and membrane,Enzyme,Not detected,Enhanced,glandular cells,0.06559339796915833,0.0829281812424177,0.0611472731062762,0.0527047395587811
AA06,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
AAAS,Aaas,one-to-one,NA,NA,Medium,Approved,glandular cells,2.902994464545497,4.91336908985379,2.26430205260211,1.53131225118059
AAAS_1,NA,human-specific,NA,NA,NA,NA,NA,0.03149595570419097,0.0944878671125729,0,0
AACS,Aacs,one-to-one,NA,NA,High,Approved,glandular cells,19.501973699357467,23.4008346891427,18.910776509471,16.1943098994587
AACSP1,NA,human-specific,NA,NA,NA,NA,NA,0.06825214393038076,0.12141272836058,0.0447619684190369,0.0385817350115254
AADAC,Aadac,one-to-one,NA,NA,Not detected,Approved,glandular cells,0.22021622687280104,0.109721995399437,0.202259374254285,0.348667310964681
AADACL2,Aadacl2,one-to-one,Secreted in other tissues,Enzyme,NA,NA,NA,0.09219728000120113,0.0508385806746996,0.0749718739824778,0.150781385346426
AADACL2-AS1,NA,human-specific,NA,NA,NA,NA,NA,0.10134790984508184,0.222144402602746,0.0818993269324995,0
AADACL2-AS1_1,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
AADACL2_1,NA,human-specific,NA,NA,NA,NA,NA,0,0,0,0
AADACL3,Aadacl3,one-to-one,NA,NA,NA,NA,NA,0,0,0,0
AADACL4,Aadacl4 | Aadacl4fm1 | Aadacl4fm2 | AAdacl4fm3 | Aadacl4fm4 | Aadacl4fm5,one-to-many (human-to-mouse),NA,NA,NA,NA,NA,0.017289111400571402,0,0.0518673342017142,0
