gene_id,gene_name,TPM,counts,length
ENSMUSG00000000001,Gnai3,7.655911,414,2549.717
ENSMUSG00000000003,Pbsn,0,0,492
ENSMUSG00000000028,Cdc45,0.419033,10,1125.2272962272662
ENSMUSG00000000037,Scml2,0,0,2605.4444444444443
ENSMUSG00000000049,Apoh,15.462384,327,997.1479983525825
ENSMUSG00000000056,Narf,2.341505,224,4510.674
ENSMUSG00000000058,Cav2,4.296968,85,932.707
ENSMUSG00000000078,Klf6,4.037516,264,3083.033
ENSMUSG00000000085,Scmh1,2.186627,92,1983.8172202543003
ENSMUSG00000000088,Cox5a,37.542544,309.00000000000006,388.08162450642664
ENSMUSG00000000093,Tbx2,0.37255,36,4556.235
ENSMUSG00000000094,Tbx4,0.01723,1,2736.581
ENSMUSG00000000103,Zfy2,0,0,2518
ENSMUSG00000000120,Ngfr,0.037216,3,3800.8330000000005
ENSMUSG00000000125,Wnt3,0.046644,3,3032.588
ENSMUSG00000000126,Wnt9a,0.417499,29,3275.1449999999995
ENSMUSG00000000127,Fer,0.255853,18,3317.185
ENSMUSG00000000131,Xpo6,4.835745,240.00000000000003,2340.1091980728925
ENSMUSG00000000134,Tfe3,1.526813,121.99900000000001,3767.5772482543703
ENSMUSG00000000142,Axin2,0.535631,40,3521.1317349611954
ENSMUSG00000000148,Brat1,1.337863,100,3524.3339290480417
ENSMUSG00000000149,Gna12,4.098067,307.916,3542.763
ENSMUSG00000000154,Slc22a18,2.284626,54,1114.467
ENSMUSG00000000157,Itgb2l,0.133249,4,1415.423848599239
ENSMUSG00000000159,Igsf5,2.219447,71,1508.349636460794
ENSMUSG00000000167,Pih1d2,0.241788,7,1365.061
ENSMUSG00000000168,Dlat,2.88156,224,3665.2950000000005
ENSMUSG00000000171,Sdhd,16.12667,316,923.913
ENSMUSG00000000182,Fgf23,0.02617,1,1801.718
ENSMUSG00000000183,Fgf6,0,0,4344
ENSMUSG00000000184,Ccnd2,6.1076690000000005,750,5789.9420836829895
ENSMUSG00000000194,Gpr107,2.225267,279,5911.6738688579835
ENSMUSG00000000197,Nalcn,0.032565,5,7239.444
ENSMUSG00000000202,Btbd17,0.057478,4,3281.317
ENSMUSG00000000204,Slfn4,0,0,2850.6666666666665
ENSMUSG00000000214,Th,0.123443,2,763.925
ENSMUSG00000000215,Ins2,797.722828,3569.0170000000003,210.95282569736992
ENSMUSG00000000216,Scnn1g,0.061859,4,3048.901
ENSMUSG00000000223,Drp2,0.050885,8,7412.852
ENSMUSG00000000244,Tspan32,0.164088,7,2011.4609869582173
ENSMUSG00000000247,Lhx2,0,0,861.5714285714286
ENSMUSG00000000248,Clec2g,0,0,1005.3333333333334
ENSMUSG00000000253,Gmpr,0.265546,9,1598.052
ENSMUSG00000000263,Glra1,0,0,1761.6666666666667
ENSMUSG00000000266,Mid2,1.1383079999999999,90,3727.9607937825267
ENSMUSG00000000275,Trim25,1.875963,231,5805.988574820504
ENSMUSG00000000276,Dgke,0.252228,44,8225.212
ENSMUSG00000000278,Scpep1,4.076073,180,2082.183
ENSMUSG00000000282,Mnt,1.247049,141,5331.188
ENSMUSG00000000290,Itgb2,1.627852,103,2983.3950446717513
ENSMUSG00000000295,Hddc2,2.467994,37,706.8799726385072
ENSMUSG00000000296,Tpd52l1,3.5924920000000005,73,958.1106650341878
ENSMUSG00000000301,Pemt,5.406147,78,680.291539851025
ENSMUSG00000000303,Cdh1,8.656886,887,4831.148
ENSMUSG00000000305,Cdh4,0,0,1289.6666666666667
ENSMUSG00000000308,Ckmt1,4.144023,128,1456.3855657806434
ENSMUSG00000000317,Bcl6b,0.228483,17,3508.191
ENSMUSG00000000318,Clec10a,0.8693569999999999,24.012999999999998,1302.3504757723238
ENSMUSG00000000320,Alox12,0.490298,30,2885.025120808162
ENSMUSG00000000326,Comt,7.173691,231,1518.3008126263035
ENSMUSG00000000339,Rtca,2.574147,88.99999999999999,1630.215698707572
ENSMUSG00000000340,Dbt,11.296629,615,2566.9344553409696
ENSMUSG00000000346,Dazap2,7.929614000000001,316,1878.9856945122422
ENSMUSG00000000355,Mcts1,13.727364,85.00000000000001,291.95790495538694
ENSMUSG00000000359,Rem1,0.450808,18,1882.649
ENSMUSG00000000365,Rnf17,0.054121,1,871.211
ENSMUSG00000000374,Trappc10,3.247561,344,4994.47214163737
ENSMUSG00000000378,Ccm2,3.740008,131,1651.532639850236
ENSMUSG00000000381,Wap,0,0,367.6666666666667
ENSMUSG00000000384,Tbrg4,4.52128,166.001,1731.1518647856358
ENSMUSG00000000385,Tmprss2,2.05892,122,2793.886703954015
ENSMUSG00000000386,Mx1,0.033958,2,2777.01
ENSMUSG00000000392,Fap,0.39273800000000003,18,2161.012919900799
ENSMUSG00000000394,Gcg,48.309553,795,775.9296882136748
ENSMUSG00000000399,Ndufa9,16.216109,482,1401.486
ENSMUSG00000000402,Egfl6,0,0,2391
ENSMUSG00000000409,Lck,0.085576,4,2203.933
ENSMUSG00000000411,Tssk3,0,0,967
ENSMUSG00000000416,Cttnbp2,0.125666,11,4127.273063819966
ENSMUSG00000000420,Galnt1,8.716125,542.999,2937.412099289535
ENSMUSG00000000435,Myf5,0,0,1770
ENSMUSG00000000439,Mkrn2,0.843233,108.076,6043.265
ENSMUSG00000000440,Pparg,0.7514970000000001,35,2195.984661453073
ENSMUSG00000000441,Raf1,4.079548,246.924,2853.901448517336
ENSMUSG00000000486,Septin1,1.194653,17,670.958839302291
ENSMUSG00000000489,Pdgfb,2.871474,190,3119.875744735979
ENSMUSG00000000530,Acvrl1,2.719907,141,2444.2946223139247
ENSMUSG00000000531,Tamalin,2.940072,139,2229.181
ENSMUSG00000000532,Acvr1b,3.157801,296,4419.727
ENSMUSG00000000538,Tom1l2,3.2951369999999995,231.00000000000006,3305.422499044805
ENSMUSG00000000544,Gpa33,0,0,1204.75
ENSMUSG00000000552,Zfp385a,1.3773369999999998,76,2601.727316565953
ENSMUSG00000000555,Itga5,1.1894689999999999,97,3845.095127028952
ENSMUSG00000000560,Gabra2,0,0,2348.8333333333335
ENSMUSG00000000561,Wdr77,3.3353070000000002,177,2502.222496361804
ENSMUSG00000000562,Adora3,0.040561,1,1162.477
ENSMUSG00000000563,Atp5pb,23.697257999999998,711.876,1416.428598442782
ENSMUSG00000000567,Sox9,2.670516,226,3990.2639999999997
ENSMUSG00000000568,Hnrnpd,15.152594999999998,422.99899999999997,1316.2603067678508
ENSMUSG00000000579,Dynlt1c,0.685277,27.188,1870.696687387728
ENSMUSG00000000581,C1d,6.386843,95,701.3353010836496
ENSMUSG00000000594,Gm2a,1.672787,142,4002.544
ENSMUSG00000000600,Krit1,2.7226400000000006,132.001,2285.980507082096
